src,instr,star,method,target
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/CRIRES/ADP.2025-10-09T15:03:59.417.fits,CRIRES,REVIEW,LABEL-UNVERIFIED(target='alf Cen B'),alf Cen B
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/CRIRES/ADP.2025-10-09T15:03:59.396.fits,CRIRES,A,LABEL-UNVERIFIED(target='alf Cen A'),alf Cen A
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/CRIRES/ADP.2025-10-09T15:03:59.420.fits,CRIRES,REVIEW,LABEL-UNVERIFIED(target='alf Cen B'),alf Cen B
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/CRIRES/ADP.2025-10-09T15:03:59.411.fits,CRIRES,REVIEW,LABEL-UNVERIFIED(target='alf Cen B'),alf Cen B
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/CRIRES/ADP.2025-11-12T13:32:27.598.fits,CRIRES,REVIEW,LABEL-UNVERIFIED(target='Star S5'),Star S5
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/CRIRES/ADP.2025-10-09T15:03:59.426.fits,CRIRES,REVIEW,LABEL-UNVERIFIED(target='alf Cen B'),alf Cen B
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/CRIRES/ADP.2025-11-12T13:32:27.604.fits,CRIRES,B,CO-bandhead(0.351) [IR-tentative],Star S5
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/CRIRES/ADP.2025-11-12T13:32:27.607.fits,CRIRES,B,CO-bandhead(0.393) [IR-tentative],Star S5
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/CRIRES/ADP.2025-10-09T15:03:59.405.fits,CRIRES,A,CO-bandhead(0.035) [IR-tentative],alf Cen A
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/CRIRES/ADP.2025-10-09T15:03:59.393.fits,CRIRES,A,LABEL-UNVERIFIED(target='alf Cen A'),alf Cen A
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/CRIRES/ADP.2025-10-09T15:03:59.408.fits,CRIRES,A,LABEL-UNVERIFIED(target='alf Cen A'),alf Cen A
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/CRIRES/ADP.2025-10-09T15:03:59.423.fits,CRIRES,B,CO-bandhead(0.075) [IR-tentative],alf Cen B
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/CRIRES/ADP.2025-10-09T15:03:59.399.fits,CRIRES,A,LABEL-UNVERIFIED(target='alf Cen A'),alf Cen A
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/CRIRES/ADP.2025-11-12T13:32:27.601.fits,CRIRES,REVIEW,LABEL-UNVERIFIED(target='Star S5'),Star S5
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/CRIRES/ADP.2025-10-09T15:03:59.402.fits,CRIRES,A,LABEL-UNVERIFIED(target='alf Cen A'),alf Cen A
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/CRIRES/ADP.2025-10-09T15:03:59.414.fits,CRIRES,REVIEW,LABEL-UNVERIFIED(target='alf Cen B'),alf Cen B
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/FEROS/ADP.2016-09-20T10:06:32.253.fits,FEROS,REVIEW,LABEL-UNVERIFIED(target='Gl-559') weakCC(A0.36/B0.02),Gl-559
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/FEROS/ADP.2016-09-20T10:06:32.257.fits,FEROS,REVIEW,LABEL-UNVERIFIED(target='Gl-559') weakCC(A0.37/B0.03),Gl-559
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/GIRAFFE/ESO GIRAFFE/ADP.2019-05-01T08:51:25.296.fits,GIRAFFE,REVIEW,LABEL-UNVERIFIED(target='14393592-6050069'),14393592-6050069
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/GIRAFFE/ESO GIRAFFE/ADP.2023-06-01T16:03:04.242.fits,GIRAFFE,REVIEW,LABEL-UNVERIFIED(target='14393029-6049565'),14393029-6049565
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/GIRAFFE/ESO GIRAFFE/ADP.2019-01-28T20:14:54.034.fits,GIRAFFE,A,LABEL-UNVERIFIED(target='alf_Cen_A'),alf_Cen_A
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/GIRAFFE/ESO GIRAFFE/ADP.2019-05-01T08:51:25.536.fits,GIRAFFE,REVIEW,LABEL-UNVERIFIED(target='14393592-6050069'),14393592-6050069
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/GIRAFFE/ESO GIRAFFE/ADP.2019-01-28T20:14:54.613.fits,GIRAFFE,A,LABEL-UNVERIFIED(target='alf_Cen_A'),alf_Cen_A
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/GIRAFFE/ESO GIRAFFE/ADP.2019-05-01T08:51:26.912.fits,GIRAFFE,REVIEW,LABEL-UNVERIFIED(target='14393592-6050069'),14393592-6050069
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/GIRAFFE/ESO GIRAFFE/ADP.2019-05-01T08:51:26.050.fits,GIRAFFE,REVIEW,LABEL-UNVERIFIED(target='14393592-6050069'),14393592-6050069
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/GIRAFFE/ESO GIRAFFE/ADP.2023-06-01T16:03:04.243.fits,GIRAFFE,REVIEW,LABEL-UNVERIFIED(target='14393029-6049565'),14393029-6049565
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/GIRAFFE/ESO GIRAFFE/ADP.2019-01-28T20:14:53.845.fits,GIRAFFE,A,LABEL-UNVERIFIED(target='alf_Cen_A'),alf_Cen_A
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/GIRAFFE/ESO GIRAFFE/ADP.2023-06-01T16:03:04.244.fits,GIRAFFE,REVIEW,LABEL-UNVERIFIED(target='14393029-6049565'),14393029-6049565
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/GIRAFFE/ESO GIRAFFE/ADP.2019-05-01T11:02:39.360.fits,GIRAFFE,A,LABEL-UNVERIFIED(target='alf_Cen_A'),alf_Cen_A
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/GIRAFFE/ESO GIRAFFE/ADP.2019-05-01T11:02:39.233.fits,GIRAFFE,A,LABEL-UNVERIFIED(target='alf_Cen_A'),alf_Cen_A
