sha256,filename,folder,folder_component,relpath,abspath,size_bytes
87b94d1b45b63c3b9f01bdd8b115cdd8821fd7c5c7fd8a657846e6fbea3cf129,o53p02010_x1d.fits,Alpha Centauri A,A,Alpha Centauri A/nuv-e230h/mastDownload/HST/o53p02010/o53p02010_x1d.fits,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/nuv-e230h/mastDownload/HST/o53p02010/o53p02010_x1d.fits,2652480
533da083c05102924ee55d65ea51e068591da96321d742e4b1327aa5baf5ade5,o53p02020_x1d.fits,Alpha Centauri A,A,Alpha Centauri A/nuv-e230h/mastDownload/HST/o53p02020/o53p02020_x1d.fits,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/nuv-e230h/mastDownload/HST/o53p02020/o53p02020_x1d.fits,2027520
6bc9588f522f353ec3349732cbe7fa6ba01c5a40c892e009009e40168ddea0bf,o53p02030_x1d.fits,Alpha Centauri A,A,Alpha Centauri A/nuv-e230h/mastDownload/HST/o53p02030/o53p02030_x1d.fits,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/nuv-e230h/mastDownload/HST/o53p02030/o53p02030_x1d.fits,1598400
3677c34f6e5d5e092c1213c49ea2f223e88d5cb4a3bf08ad01aa5832cfb36d05,o53p02040_x1d.fits,Alpha Centauri A,A,Alpha Centauri A/nuv-e230h/mastDownload/HST/o53p02040/o53p02040_x1d.fits,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/nuv-e230h/mastDownload/HST/o53p02040/o53p02040_x1d.fits,1598400
74254416a14c3b6e7b6648f2a8ece28c9c7551388817a2017c475a5691d2137b,o53p02050_x1d.fits,Alpha Centauri A,A,Alpha Centauri A/nuv-e230h/mastDownload/HST/o53p02050/o53p02050_x1d.fits,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/nuv-e230h/mastDownload/HST/o53p02050/o53p02050_x1d.fits,1327680
9f4630bc63e29d8d14dda03528ea1f4043cebfb1d1ec198ca45167265f3aadfb,o53p02060_x1d.fits,Alpha Centauri A,A,Alpha Centauri A/nuv-e230h/mastDownload/HST/o53p02060/o53p02060_x1d.fits,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/nuv-e230h/mastDownload/HST/o53p02060/o53p02060_x1d.fits,1094400
14dd2a0a3fbe1ca87733a928fdf721fef872257d1d3244ef6579559b0ffb9b59,o53p02070_x1d.fits,Alpha Centauri A,A,Alpha Centauri A/nuv-e230h/mastDownload/HST/o53p02070/o53p02070_x1d.fits,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/nuv-e230h/mastDownload/HST/o53p02070/o53p02070_x1d.fits,938880
788c53260b2ce52160155152fcf206c7dec2d905c8203ebf252d2d19c491ab8d,ob8w01040_x1d.fits,Alpha Centauri A,A,Alpha Centauri A/nuv-e230h/mastDownload/HST/ob8w01040/ob8w01040_x1d.fits,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/nuv-e230h/mastDownload/HST/ob8w01040/ob8w01040_x1d.fits,2704320
e1a539be2328076e1263dd54d1f91b8c5c5749ec97dd653ce6bdc5d36b95ee9d,ob8w01050_x1d.fits,Alpha Centauri A,A,Alpha Centauri A/nuv-e230h/mastDownload/HST/ob8w01050/ob8w01050_x1d.fits,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/nuv-e230h/mastDownload/HST/ob8w01050/ob8w01050_x1d.fits,2162880
38b38c34ef771a13470ab15ceea48c2f2b34e5a9ad67ba2f470eec87fc141155,ob8w02030_x1d.fits,Alpha Centauri A,A,Alpha Centauri A/nuv-e230h/mastDownload/HST/ob8w02030/ob8w02030_x1d.fits,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/nuv-e230h/mastDownload/HST/ob8w02030/ob8w02030_x1d.fits,2784960
ce8509110af1c25eafd62157d0c4bbc7b5d07faaac1a5337b59c5336cf75abb0,ob8w02040_x1d.fits,Alpha Centauri A,A,Alpha Centauri A/nuv-e230h/mastDownload/HST/ob8w02040/ob8w02040_x1d.fits,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/nuv-e230h/mastDownload/HST/ob8w02040/ob8w02040_x1d.fits,2318400
426e35d2d152b9327196e34053679c6efdbfbb139d12a846240ffe8cb60af39a,ocre10020_x1d.fits,Alpha Centauri A,A,Alpha Centauri A/nuv-e230h/mastDownload/HST/ocre10020/ocre10020_x1d.fits,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/nuv-e230h/mastDownload/HST/ocre10020/ocre10020_x1d.fits,1094400
faa53d386ce7f604d0fc98550d1d950e8e5c373ad6d041ee887d77259d9eba09,ocre10050_x1d.fits,Alpha Centauri A,A,Alpha Centauri A/nuv-e230h/mastDownload/HST/ocre10050/ocre10050_x1d.fits,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/nuv-e230h/mastDownload/HST/ocre10050/ocre10050_x1d.fits,1172160
15abc23ce4272b598dde977df164d688b15033aff5f6fb5367bc53c2161033bb,ocre10060_x1d.fits,Alpha Centauri A,A,Alpha Centauri A/nuv-e230h/mastDownload/HST/ocre10060/ocre10060_x1d.fits,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/nuv-e230h/mastDownload/HST/ocre10060/ocre10060_x1d.fits,1054080
29511c8bed74526f6d406a6d493aa9d3f40768111c39d387bf0358f71736f063,ocre11020_x1d.fits,Alpha Centauri A,A,Alpha Centauri A/nuv-e230h/mastDownload/HST/ocre11020/ocre11020_x1d.fits,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/nuv-e230h/mastDownload/HST/ocre11020/ocre11020_x1d.fits,1094400
b63968907facc7bbf46c301f4650473d4e5c9feacd21c9e0453d271e6cef2ade,ocre11050_x1d.fits,Alpha Centauri A,A,Alpha Centauri A/nuv-e230h/mastDownload/HST/ocre11050/ocre11050_x1d.fits,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/nuv-e230h/mastDownload/HST/ocre11050/ocre11050_x1d.fits,1172160
fb7878d2f6a0fbcfcf619de435a54bfcce5d5d6212121a5190ec92cf752546b3,ocre11060_x1d.fits,Alpha Centauri A,A,Alpha Centauri A/nuv-e230h/mastDownload/HST/ocre11060/ocre11060_x1d.fits,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/nuv-e230h/mastDownload/HST/ocre11060/ocre11060_x1d.fits,1054080
ea7b70f64b83fc1694034e3c274c603225672d93692b53e5255100496a76ba9e,octr10020_x1d.fits,Alpha Centauri A,A,Alpha Centauri A/nuv-e230h/mastDownload/HST/octr10020/octr10020_x1d.fits,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/nuv-e230h/mastDownload/HST/octr10020/octr10020_x1d.fits,1094400
1198f158c1ee4ab918228d52f4aff1b41b58b1fc931daccc8661e3f466240f28,octr10050_x1d.fits,Alpha Centauri A,A,Alpha Centauri A/nuv-e230h/mastDownload/HST/octr10050/octr10050_x1d.fits,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/nuv-e230h/mastDownload/HST/octr10050/octr10050_x1d.fits,1172160
93184ee05e1ca00cff6dc3a974622e2b2d8898214909535de00f42df5ab405f5,octr10060_x1d.fits,Alpha Centauri A,A,Alpha Centauri A/nuv-e230h/mastDownload/HST/octr10060/octr10060_x1d.fits,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/nuv-e230h/mastDownload/HST/octr10060/octr10060_x1d.fits,1054080
ad3422908140c4d640f70f8bc97b1f91f027464be9f4e8e150a48aa3b2456a7f,octr11020_x1d.fits,Alpha Centauri A,A,Alpha Centauri A/nuv-e230h/mastDownload/HST/octr11020/octr11020_x1d.fits,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/nuv-e230h/mastDownload/HST/octr11020/octr11020_x1d.fits,1094400
1d873e72a013873bb9e63b6203e20d0a9223bb2a76e41e49a40e2384246568e9,octr11050_x1d.fits,Alpha Centauri A,A,Alpha Centauri A/nuv-e230h/mastDownload/HST/octr11050/octr11050_x1d.fits,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/nuv-e230h/mastDownload/HST/octr11050/octr11050_x1d.fits,1172160
4f1c10fdf6b71b61e84f0768f41704532ab427f0428353dae0cdb3c17e6ae5bb,octr11060_x1d.fits,Alpha Centauri A,A,Alpha Centauri A/nuv-e230h/mastDownload/HST/octr11060/octr11060_x1d.fits,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/nuv-e230h/mastDownload/HST/octr11060/octr11060_x1d.fits,1054080
77e623303b10806984853dd589f29bc4e3b15b312c92c667f4d48227edb99c96,od5c10020_x1d.fits,Alpha Centauri A,A,Alpha Centauri A/nuv-e230h/mastDownload/HST/od5c10020/od5c10020_x1d.fits,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/nuv-e230h/mastDownload/HST/od5c10020/od5c10020_x1d.fits,1094400
ca2bbf011af63b98f6606070121712105eccba406db46e50fddcbb10850d8d3f,od5c10050_x1d.fits,Alpha Centauri A,A,Alpha Centauri A/nuv-e230h/mastDownload/HST/od5c10050/od5c10050_x1d.fits,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/nuv-e230h/mastDownload/HST/od5c10050/od5c10050_x1d.fits,1172160
a7e61b50676efc4f70abf9a02cf211c765174130bce5e4af58f4b0296f367f79,od5c10060_x1d.fits,Alpha Centauri A,A,Alpha Centauri A/nuv-e230h/mastDownload/HST/od5c10060/od5c10060_x1d.fits,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/nuv-e230h/mastDownload/HST/od5c10060/od5c10060_x1d.fits,1054080
86c438e550feec520f0c93273b9bab0f8dff5436221397054862a6a3aecce660,od5c11020_x1d.fits,Alpha Centauri A,A,Alpha Centauri A/nuv-e230h/mastDownload/HST/od5c11020/od5c11020_x1d.fits,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/nuv-e230h/mastDownload/HST/od5c11020/od5c11020_x1d.fits,1094400
149baf1e0944f399787c2a43a8e7391787553b9822b6d485ba82022f1db937f5,od5c11050_x1d.fits,Alpha Centauri A,A,Alpha Centauri A/nuv-e230h/mastDownload/HST/od5c11050/od5c11050_x1d.fits,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/nuv-e230h/mastDownload/HST/od5c11050/od5c11050_x1d.fits,1172160
