sha256,filename,component,attribution_method,targname,object_hdr,opt_elem,band,detector,proposid,pi,date_obs,exptime,ra_targ,dec_targ,pm_nearest,sep_A_arcsec,sep_B_arcsec,wl_min_A,wl_max_A,wavelength_frame,found_in_folder,abspath,flags,opp_dt_days,opp_sep_arcsec
225be3124c1fedbdaf7c2d7de4c33ca9c075b6a0f82d28d2c03fa3d7ea910de7,o53p01020_x1d.fits,A,OBJECT(HD),HD128620,,E140H,FUV,FUV-MAMA,7263,Linsky,1999-02-12,4695.198875,219.9044758421,-60.83369074659,A,1.7374059039848944,24.812015370003397,1316.436312491126,1518.0531433165313,VACUUM,A,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/uv-e140h/mastDownload/HST/o53p01020/o53p01020_x1d.fits,,3999.0,48.21030683799414
962edcb08aa6bfe144e4e1a70c7c7c9b89985d0a06bd0bd7117608e9757a7c4e,o53p01010_x1d.fits,A,OBJECT(HD),HD128620,,E140H,FUV,FUV-MAMA,7263,Linsky,1999-02-12,4695.1925,219.9044762644,-60.83369063137,A,1.738167078111442,24.812724738456307,1141.208833706824,1335.5397765817215,VACUUM,A,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/uv-e140h/mastDownload/HST/o53p01010/o53p01010_x1d.fits,,3999.0,48.21106225006339
f0d0f915c96199e4c15321087b192fb6b2f4aa8c017e84d7a92f2b16711eea56,o53p01030_x1d.fits,A,OBJECT(HD),HD128620,,E140H,FUV,FUV-MAMA,7263,Linsky,1999-02-12,4695.19475,219.9044754198,-60.83369086161,A,1.7366454052396956,24.811306649453485,1494.511065465842,1688.105450623997,VACUUM,A,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/uv-e140h/mastDownload/HST/o53p01030/o53p01030_x1d.fits,,3999.0,48.20955145506673
05b8b3bfa7f99d4908189da214e45dfcc2853bda940dcd7674c9c251999a139a,ob8w01010_x1d.fits,A,OBJECT(HD),HD128620,,E140M,FUV,FUV-MAMA,11839,Ayres,2010-01-24,1900.0,219.8806522548,-60.83326623855,A,2.2930232457044233,17.39447203118202,1140.1553678987411,1729.7146303874572,VACUUM,A,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/uv-e140m/mastDownload/HST/ob8w01010/ob8w01010_x1d.fits,,0.0,7.166974873867397
ae8b76ba5fe0639af000eff1ebfc882c67b2a7e6f4b9d9bd4265649e7a14e7de,oblh01020_x1d.fits,A,OBJECT(HD),HD128620,,E140M,FUV,FUV-MAMA,12374,Ayres,2011-02-09,1650.0,219.8783643138,-60.83301844399,A,1.964791061871974,17.312600450672946,1140.2091787283875,1729.7950811748942,VACUUM,A,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/uv-e140m/mastDownload/HST/oblh01020/oblh01020_x1d.fits,,0.0,5.9112830652043815
38f3877c0f5c0cca916436dce48f617464de4abf9e408679ea082670edffe0ab,oblh02020_x1d.fits,A,OBJECT(HD),HD128620,,E140M,FUV,FUV-MAMA,12374,Ayres,2011-05-30,1650.0,219.8771246242,-60.83303698655,A,2.7034925686489206,16.503461300969732,1140.1031291601578,1729.6337883209355,VACUUM,A,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/uv-e140m/mastDownload/HST/oblh02020/oblh02020_x1d.fits,,1.0,5.911784337324651
1c3267d4507d9b62b76416c60e925732cb214a6380aeb7358c4d57a4a30f81cc,obua01010_x1d.fits,A,OBJECT(HD),HD128620,,E140M,FUV,FUV-MAMA,12758,Ayres,2012-03-01,1425.0,219.8760325831,-60.83297053664,A,2.3457869157611806,16.593614643018345,1140.1595469801105,1729.7211451373353,VACUUM,A,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/uv-e140m/mastDownload/HST/obua01010/obua01010_x1d.fits,,0.0,5.280887248114254
bfdbac1c9a90f231b01b2d7309a1796977cbfd14bc4f7bc03fed08f2ef697116,obua02010_x1d.fits,A,OBJECT(HD),HD128620,,E140M,FUV,FUV-MAMA,12758,Ayres,2012-10-06,1425.0,219.8741821574,-60.83265292375,A,2.3412145628932546,16.63904145544755,1140.0194332084213,1729.508339882437,VACUUM,A,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/uv-e140m/mastDownload/HST/obua02010/obua02010_x1d.fits,,0.0,4.936677121166969
37346d22de207d90ea5dcfc8a68a14c4624942dc8b254a14835d960706726a6c,oc1i10010_x1d.fits,A,OBJECT(HD),HD128620,,E140M,FUV,FUV-MAMA,13060,Ayres,2013-03-22,1425.0,219.8739545834,-60.83311977098,A,3.27173835218643,15.528904171456924,1140.1531692207548,1729.7114113730913,VACUUM,A,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/uv-e140m/mastDownload/HST/oc1i10010/oc1i10010_x1d.fits,,0.0,4.705578299226706
a45209c918b0a27d153ea51d58ea975ca7068ab6a665935b8cb1533d441b0976,oc1i11010_x1d.fits,A,OBJECT(HD),HD128620,,E140M,FUV,FUV-MAMA,13060,Ayres,2013-09-01,1425.0,219.8723963958,-60.83285837297,A,3.032056771524449,15.41695927910726,1140.001579330123,1729.481410445969,VACUUM,A,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri A/uv-e140m/mastDownload/HST/oc1i11010/oc1i11010_x1d.fits,,0.0,4.499877841374436
