# RYA-373 conditioned CRIRES+ Vesta K-band CO (PROVISIONAL) — snapshot @ rya-373 2eadc4d, input to RYA-390 Part B validation.
# wave_vac_A: VACUUM wavelength (Angstrom; CRIRES IDP / molecfit WAVELENGTH_FRAME=VAC). flux_norm: continuum-normalized. err.
# RYA = RYA-373
# PROVIS = True
# TELL = molecfit
# CONTNORM = True
# RESTFRM = False
# SPECSYS = TOPOCENT
# WLEN = K2217
# GATE = 0.0653
# SNRFRAME = 78.8
# RVSTATUS = RV-INSUFFICIENT: ADP.2025-06-06T16:14:11.206.fits: frame-RV INSUFFIC
# GAP1 = FTS solar IR atlas (RYA-162) absent - telluric-gate final cal pending
# GAP2 = revalidate after RYA-387 0.001 re-extraction (anchors from RYA-381)
wave_vac_A,flux_norm,err
22835.39826,nan,nan
22835.46826,nan,nan
22835.53826,nan,nan
22835.60825,nan,nan
22835.67824,nan,nan
22835.74823,nan,nan
22835.81822,nan,nan
22835.88821,nan,nan
22835.95820,nan,nan
22836.02818,nan,nan
22836.09817,nan,nan
22836.16815,nan,nan
22836.23813,nan,198.1877
22836.30811,nan,197.8313
22836.37809,nan,197.4466
22836.44806,nan,197.6578
22836.51804,nan,197.8254
22836.58801,nan,197.4477
22836.65798,nan,197.2251
22836.72795,nan,197.4714
22836.79792,nan,197.8440
22836.86789,nan,198.0954
22836.93786,nan,197.6814
22837.00782,nan,196.9319
22837.07778,nan,197.2155
22837.14774,nan,197.1082
22837.21770,nan,196.3747
22837.28766,nan,195.9744
22837.35762,nan,196.8316
22837.42758,nan,195.4712
22837.49753,nan,196.7281
22837.56748,nan,196.5010
22837.63743,nan,195.8969
22837.70738,nan,195.0818
22837.77733,nan,195.3527
22837.84728,nan,194.6274
22837.91722,nan,194.7986
22837.98717,nan,195.0633
22838.05711,nan,193.3235
22838.12705,nan,194.5058
22838.19699,nan,194.3069
22838.26693,nan,193.6645
22838.33686,nan,192.7317
22838.40680,nan,193.9908
22838.47673,nan,193.7484
22838.54666,nan,192.6466
22838.61659,nan,193.2085
22838.68652,nan,193.3475
22838.75645,nan,192.7500
22838.82637,nan,192.9956
22838.89630,nan,192.0283
22838.96622,nan,193.0715
22839.03614,nan,192.4571
22839.10606,nan,191.4492
22839.17598,nan,190.7227
22839.24590,nan,188.4484
22839.31581,nan,187.6937
22839.38573,nan,184.7886
22839.45564,nan,180.6177
22839.52555,nan,175.6961
22839.59546,nan,174.0493
22839.66537,nan,175.4255
22839.73527,nan,178.8031
22839.80518,nan,182.0431
22839.87508,nan,183.7950
22839.94498,nan,184.1981
22840.01488,nan,184.3901
22840.08478,nan,183.6796
22840.15468,nan,181.5180
22840.22458,nan,179.7855
22840.29447,nan,175.9893
22840.36437,nan,171.9370
22840.43426,0.728127,164.8818
22840.50415,0.746647,155.4764
22840.57404,0.771726,141.2846
22840.64392,0.808211,122.6718
22840.71381,0.829886,104.5849
22840.78369,0.864759,95.8454
22840.85358,0.888927,103.4011
22840.92346,0.906540,120.0375
22840.99334,0.924255,135.8934
22841.06322,0.939811,147.5136
22841.13309,0.942098,155.0807
22841.20297,0.954945,160.2187
22841.27284,0.945845,164.9826
22841.34271,0.947773,167.0606
22841.41258,0.946378,169.3785
22841.48245,0.936998,173.2571
22841.55232,0.939235,175.3024
22841.62219,0.942499,178.6662
22841.69205,0.951086,181.0710
22841.76192,0.954149,182.6713
22841.83178,0.959701,184.3120
22841.90164,0.941119,185.6668
22841.97150,0.940560,185.9397
22842.04136,0.930632,187.0265
22842.11121,0.889231,186.1933
22842.18107,0.845952,186.2299
22842.25092,0.805223,186.0820
22842.32077,0.788464,185.1558
22842.39062,0.818193,185.3101
22842.46047,0.871468,185.5200
22842.53032,0.914755,186.2487
22842.60016,0.931428,186.4853
22842.67001,0.960202,187.0859
22842.73985,0.963389,185.2227
22842.80969,0.971993,185.0605
22842.87953,0.980528,183.9497
22842.94937,0.977063,180.1337
22843.01920,0.977393,175.7233
22843.08904,0.984051,171.7167
22843.15887,0.977676,169.9914
