wavelength_air_A,excitation_potential_eV,ew_mA,REW,log_gf,ges_gf,gf_vs_ges,a_1dlte,resid,vald_proximity_flag,saturation_score,ew_snr_score,line_grade
5481.243,4.103,94.0,-4.76575120248085,-1.243,-1.243,0.0,8.003,0.49350000000000005,1.0,0.0,1.0,C
5104.03,3.017,47.6,-5.030306265656439,-2.87,-2.77,-0.10000000000000009,7.878,0.36850000000000005,0.2022,0.0,0.7556,C
4924.301,4.796,27.2,-5.257775687471979,-1.633,-1.633,0.0,7.877,0.3674999999999997,0.0872,0.0,0.4121,C
5076.264,4.301,84.4,-4.779201753629516,-0.809,-0.809,0.0,7.807,0.2975000000000003,0.3757,0.0,1.0,B
5432.948,4.446,72.9,-4.872308020002856,-1.04,-0.94,-0.10000000000000009,7.773,0.2634999999999996,0.8853,0.0,1.0,C
5902.473,4.593,23.9,-5.392636108190542,-1.81,-1.71,-0.10000000000000009,7.759,0.24950000000000028,0.0166,0.0,0.3187,C
5284.425,3.634,36.7,-5.158331674238542,-2.418,-2.417,-0.001000000000000334,7.758,0.24849999999999994,0.3802,0.0,0.7646,C
4800.649,4.143,72.5,-4.820961947068293,-1.029,-1.028,-0.0009999999999998899,7.75,0.24049999999999994,0.2518,0.0,1.0,B
5257.655,3.573,24.1,-5.338775042331265,-2.753,-2.753,0.0,7.75,0.24049999999999994,1.0,0.0,0.6694,C
5329.989,4.076,69.1,-4.887248265358897,-1.189,-1.196,0.006999999999999895,7.731,0.2214999999999998,0.1361,0.0,1.0,B
6085.258,2.759,45.1,-5.130102454098315,-3.095,-3.051,-0.04400000000000004,7.714,0.20450000000000035,0.7902,0.0,1.0,C
4977.648,3.929,35.8,-5.143141155089779,-2.035,-2.035,0.0,7.658,0.1485000000000003,0.2583,0.0,0.5967,B
5317.525,4.143,12.8,-5.618499570739127,-2.462,-2.462,0.0,7.639,0.12950000000000017,0.2584,0.0,0.2667,C
5949.346,4.608,52.3,-5.05596753833994,-1.038,-1.038,0.0,7.627,0.11749999999999972,0.1369,0.0,1.0,B
4984.629,4.608,23.4,-5.328416982419329,-1.6513,-1.6513,0.0,7.611,0.1014999999999997,0.7818,0.0,0.3714,C
5298.776,3.642,47.8,-5.044747663962758,-2.016,-2.016,0.0,7.609,0.09949999999999992,0.6783,0.0,1.0,B
5031.914,4.371,32.7,-5.187185457351527,-1.67,-1.57,-0.09999999999999987,7.608,0.09849999999999959,0.0339,0.0,0.7267,B
5222.395,2.279,25.5,-5.311329536503884,-3.832,-3.832,0.0,7.601,0.09149999999999991,1.0,0.0,0.5,C
4985.983,4.256,26.5,-5.274504919481092,-1.9,-1.9,0.0,7.593,0.08349999999999991,0.6285,0.0,0.4417,C
6136.994,2.198,71.7,-4.932436543016463,-2.95,-2.95,0.0,7.58,0.07050000000000001,0.0323,0.0,1.0,B
5987.065,4.796,73.2,-4.912702892134576,-0.429,-0.429,0.0,7.577,0.0674999999999999,0.014,0.0,1.0,B
6609.11,2.559,68.7,-4.9831862431352025,-2.692,-2.691,-0.001000000000000334,7.561,0.05149999999999988,0.0251,0.0,1.0,B
6408.017,3.686,100.0,-4.806723655229177,-1.018,-1.005,-0.013000000000000123,7.56,0.050499999999999545,0.0097,0.0,1.0,B
4984.605,4.607,21.3,-5.369251145343906,-1.6513,-1.6513,0.0,7.552,0.04249999999999954,0.9417,0.0,0.3737,C
