species,wavelength_air_A,ew_mA,rew,log_gf,gf_tier,loggf_reference,pre_grade_kept,cull_reason,blocker,action,manual_pull_source,note
Mn I,4036.222,14.28,-5.451,-0.227,MED,VALD3,False,HIERR,SAT/BLEND/HIERR (not gf-fixable),NO_ACTION_not_gf_limited,,culled upstream of the grade firewall
Mn I,4998.121,63.37,-4.897,-0.505,LOW,K07,False,"SAT,BLEND",SAT/BLEND/HIERR (not gf-fixable),NO_ACTION_not_gf_limited,,culled upstream of the grade firewall
Mn I,5289.387,75.47,-4.846,-0.282,LOW,K07,False,"SAT,BLEND",SAT/BLEND/HIERR (not gf-fixable),NO_ACTION_not_gf_limited,,culled upstream of the grade firewall
Mn I,5495.008,23.44,-5.37,-0.952,LOW,K07,True,,GRADE_ONLY -> unlock candidate,FLAG_MANUAL_PULL,NIST ASD; Den Hartog Lawler Sneden Wood Nave & Cowan 2011 ApJS 194 35 (Mn I lab gf),"clean pre-grade (RYA-395) but culled by the RYA-398 graded firewall (K07 Kurucz, GF_UNVERIFIED) -> needs independent graded gf"
Mn I,5718.26,85.01,-4.828,0.175,LOW,K07,False,SAT,SAT/BLEND/HIERR (not gf-fixable),NO_ACTION_not_gf_limited,,culled upstream of the grade firewall
Mn I,5720.179,43.37,-5.12,0.308,LOW,K07,True,,GRADE_ONLY -> unlock candidate,FLAG_MANUAL_PULL,NIST ASD; Den Hartog Lawler Sneden Wood Nave & Cowan 2011 ApJS 194 35 (Mn I lab gf),"clean pre-grade (RYA-395) but culled by the RYA-398 graded firewall (K07 Kurucz, GF_UNVERIFIED) -> needs independent graded gf"
Mn I,6304.929,52.68,-5.078,-0.532,LOW,K07,False,HIERR,SAT/BLEND/HIERR (not gf-fixable),NO_ACTION_not_gf_limited,,culled upstream of the grade firewall
Mn I,6306.365,31.96,-5.295,-0.656,LOW,K07,True,,GRADE_ONLY -> unlock candidate,FLAG_MANUAL_PULL,NIST ASD; Den Hartog Lawler Sneden Wood Nave & Cowan 2011 ApJS 194 35 (Mn I lab gf),"clean pre-grade (RYA-395) but culled by the RYA-398 graded firewall (K07 Kurucz, GF_UNVERIFIED) -> needs independent graded gf"
Mn I,6867.014,276.35,-4.395,-0.68,LOW,K07,False,"SAT,HIERR",SAT/BLEND/HIERR (not gf-fixable),NO_ACTION_not_gf_limited,,culled upstream of the grade firewall
Cu I,,,,,,VALD3/GES,False,not_measured,UPSTREAM (not gf),NO_ACTION_not_gf_limited,,NOT gf-grade-limited: 0 measured lines reach curation (absent RYA-395/398) -> upstream measurement/selection blocker. ALSO genuine VALD-vs-GES value disagreement median 0.275 dex; all HFS-split. Source for a future pull: NIST ASD / Kock & Richter 1968 (Cu I).
V I,,,,,,VALD3/GES,False,not_measured,UPSTREAM (not gf),NO_ACTION_not_gf_limited,,NOT gf-grade-limited: 0 measured lines reach curation -> upstream blocker. VALD/GES agree (median 0.003); 21/38 single-component. Source for a future pull: Lawler Wood Den Hartog Nave Sneden & Cowan 2014 ApJS 215 20 (V I).
V II,,,,,,VALD3/GES,False,not_measured,UPSTREAM (not gf),NO_ACTION_not_gf_limited,,NOT gf-grade-limited: 0 measured lines reach curation -> upstream blocker. No HFS (single-component). Source for a future pull: Wood Lawler Sneden & Cowan 2014 ApJS 214 18 (V II).
