species,n,n_gt01,n_gt05,n_gt10,median_dgf,mean_dgf
Fe I,4708,3427,2319,1612,0.0,-0.03166974994947895
Co I,1174,749,712,624,0.11586457118408316,0.18162023034450847
Cr I,1481,1061,711,490,0.0,-0.02622080069628799
V I,948,484,405,335,0.0,0.07473824526202433
Ni I,811,246,133,117,0.0,0.044236685991917025
Pr II,174,124,124,117,0.1205350978975179,0.23066407144261353
Sc I,208,115,98,84,0.0033897201010704495,0.12269398824186775
Mn I,451,96,92,87,0.0,0.06619530470142299
V II,142,42,42,41,4.766576022774416e-09,0.07006210385089312
Nd II,481,39,39,39,0.0,0.06852096184466586
Cr II,145,46,33,17,0.0,-0.03862758602316115
Ti I,1448,38,32,26,0.0,0.0027568139226938743
Y II,44,32,26,22,0.06950828614253579,0.046647818470631215
Mn II,74,25,24,22,0.0,0.04702075347755025
Sc II,45,29,20,14,0.0019123775200434456,0.10138088084608206
Si I,476,19,17,6,0.0,0.005463776243884313
Fe II,434,32,16,10,0.0,-0.001514123609412395
Gd I,22,20,16,6,-0.06449999999999996,-0.07509090909090908
La I,14,14,14,14,-0.6749999999999999,-0.6535714285714286
Tb II,26,8,8,8,5.2843539328606415e-05,0.09266742637173891
S I,95,12,7,5,0.0,0.011323060167184942
Cu I,46,6,6,6,0.0,0.042070062253741186
Eu II,10,6,6,5,0.1849337360792132,0.15716776264260185
Ca II,12,6,6,6,0.0039025556543205372,0.272944078640834
Ca I,469,10,6,3,0.0,-0.0009601809434451138
Hf II,25,6,6,5,0.0,0.08584
O I,10,7,5,2,0.05101981348618859,0.050459729359765414
Sm II,378,4,4,4,0.0,0.008942437195587181
Ti II,178,6,4,4,0.0,0.010928167677118605
Ba II,7,4,4,4,0.6655775989251049,0.4130414616078312
Lu II,4,4,4,4,0.3085766332258487,0.3047434664394447
Nd I,12,10,3,2,-0.021000000000000026,-0.022749999999999982
Ce II,1390,3,3,2,0.0,0.0007081530188426943
Al I,18,2,2,2,0.0,-0.011930648203007217
Nb II,5,2,2,1,7.928105273791175e-05,0.12403884122093714
Co II,13,2,2,0,0.0,0.015281173345621256
La II,135,22,1,1,-3.5842413670383877e-07,0.009242476051815681
Sr II,2,2,1,0,-0.03349999999999998,-0.03349999999999998
C I,73,6,1,0,0.0,0.002355733158774842
Nb I,63,3,1,0,0.0,9.52380952380918e-05
Li I,2,2,1,1,0.2724234995720786,0.2724234995720786
Sm I,6,0,0,0,0.0,0.0
Ru II,1,0,0,0,0.0,0.0
Zr I,188,0,0,0,0.0,0.0
Zn I,8,2,0,0,0.0,-0.004125000000000004
Yb II,6,0,0,0,0.0,0.0
Yb I,2,0,0,0,0.0,0.0
Si II,6,0,0,0,0.0,-0.0008333333333333387
Y I,104,0,0,0,0.0,0.0
W I,58,0,0,0,0.0,0.0
W II,4,0,0,0,0.0,0.0
U II,2,0,0,0,0.0,0.0
Tm II,7,0,0,0,-0.00014687316566663888,-9.943810105915243e-05
Sn I,1,0,0,0,0.0,0.0
Sr I,49,0,0,0,0.0,0.0
Tl I,1,0,0,0,-0.00010123612663699016,-0.00010123612663699016
Rh I,3,0,0,0,0.0,0.0
Ta II,1,0,0,0,-1.978576380823327e-05,-1.978576380823327e-05
Th II,31,0,0,0,0.0,0.0
Ru I,102,0,0,0,0.0,0.0
Ag I,1,0,0,0,0.0,0.0
Re I,6,0,0,0,0.0,0.0
Rb I,2,0,0,0,0.0,0.0
Al II,1,0,0,0,0.0,0.0
Au I,1,0,0,0,0.0,0.0
Ba I,30,0,0,0,0.0,0.0
Bi I,1,0,0,0,0.0,0.0
Cd I,3,0,0,0,0.0,0.0
Dy I,8,0,0,0,0.0,0.0
Dy II,86,0,0,0,0.0,0.0
Er I,1,1,0,0,0.02400000000000002,0.02400000000000002
Er II,69,0,0,0,0.0,0.0
Eu I,3,0,0,0,0.0,0.0
Ga I,2,0,0,0,0.0,0.0
Gd II,201,0,0,0,0.0,0.0
Ge I,2,0,0,0,0.0,0.0
Hf I,9,0,0,0,0.0,0.0
In I,1,0,0,0,0.0,0.0
Ir I,8,0,0,0,0.0,0.0
K I,31,9,0,0,0.0,0.013181747386478034
Mg I,31,0,0,0,0.0,3.494870858661113e-09
Mg II,6,2,0,0,0.0034974281986439315,0.008245276704299701
Mo I,54,0,0,0,0.0,0.0
Mo II,7,0,0,0,0.0,0.0
Na I,34,1,0,0,-0.00010615504477695659,0.0014510619232689995
Nd III,6,0,0,0,0.0,0.0
Ni II,20,0,0,0,0.0,0.0
Os I,52,0,0,0,0.0,0.0
P I,12,0,0,0,0.0,0.0
Pb I,1,0,0,0,0.0,0.0
Pd I,7,0,0,0,0.0,0.0
Pt I,13,0,0,0,0.0,0.0
Zr II,72,0,0,0,0.0,0.0
