key,species,wl,gf_ll,gf_synth,dgf,ep,n_comp_ll,n_comp_synth,nist_grade,ll_source,synth_ref,hfs
"(47, 1)",Ag I,5465.498,0.326,0.326,0.0,3.7781,1,1,,VALD3,JMG,False
"(13, 1)",Al I,4592.250001059048,-3.1148987421594647,-3.1148987421594647,0.0,3.1427,2,2,,VALD3,K75,True
"(13, 1)",Al I,4652.446668170822,-2.948898742159465,-2.948898742159465,0.0,3.1427,2,2,,VALD3,K75,True
"(13, 1)",Al I,4740.265,-2.93,-2.93,0.0,3.1427,1,1,,VALD3,K75,False
"(13, 1)",Al I,4740.412,-3.231,-3.231,0.0,3.1427,1,1,,VALD3,K75,False
"(13, 1)",Al I,4876.583998364457,-2.692816096202919,-2.693,-0.00018390379708099758,3.1427,6,1,,VALD3,K75,True
"(13, 1)",Al I,4876.819,-2.994,-2.994,0.0,3.1427,1,1,,VALD3,K75,False
"(13, 1)",Al I,5107.519999592619,-2.3948160962029186,-2.395,-0.00018390379708144167,3.1427,6,1,,VALD3,K75,True
"(13, 1)",Al I,5107.9429989232285,-2.6966613158447315,-2.697,-0.0003386841552686093,3.1427,4,1,,VALD3,K75,True
"(13, 1)",Al I,5557.062998575617,-2.109816096202919,-2.104,0.005816096202918786,3.1427,6,1,,VALD3,1995JPhB..,True
"(13, 1)",Al I,5557.9480012737,-2.409661315844732,-2.41,-0.0003386841552681652,3.1427,4,1,,VALD3,WSM,True
"(13, 1)",Al I,6631.218,-1.7,-1.7,0.0,4.0215,1,1,,VALD3,K75,False
"(13, 1)",Al I,6696.014997411764,-1.4598160962029187,-1.569,-0.1091839037970812,3.1427,6,1,,VALD3,1995JPhB..,True
"(13, 1)",Al I,6696.185,-1.576,-1.576,0.0,4.0215,1,1,,VALD3,K75,False
"(13, 1)",Al I,6696.788,-1.3998092725181315,-1.3998092725181315,0.0,4.0216,2,2,,VALD3,K75,True
"(13, 1)",Al I,6698.672998518681,-1.7596613158447318,-1.87,-0.11033868415526826,3.1427,4,1,,VALD3,1995JPhB..,True
"(13, 1)",Al I,6783.638,-1.44,-1.44,0.0,4.0215,1,1,,VALD3,K75,False
"(13, 1)",Al I,6784.256000000001,-1.2638092725181314,-1.2638092725181314,0.0,4.0216,2,2,,VALD3,K75,True
"(13, 1)",Al I,6906.287,-1.1108092725181316,-1.1108092725181316,0.0,4.0216,2,2,,VALD3,K75,True
"(13, 2)",Al II,4663.046,-0.284,-0.284,0.0,10.5983,1,1,,VALD3,WSM,False
"(79, 1)",Au I,6278.172,-1.4,-1.4,0.0,2.6576,1,1,,VALD3,HLL,False
"(56, 1)",Ba I,4283.094,0.09000000000000002,0.09000000000000002,0.0,1.4128,1,1,,VALD3,MW,False
"(56, 1)",Ba I,4350.325,-0.07000000000000002,-0.07000000000000002,0.0,1.5667,1,1,,VALD3,MW,False
"(56, 1)",Ba I,4402.535,0.009999999999999986,0.009999999999999986,0.0,1.5667,1,1,,VALD3,MW,False
"(56, 1)",Ba I,4431.891,0.03,0.03,0.0,1.5208,1,1,,VALD3,MW,False
"(56, 1)",Ba I,4488.973,-0.04999999999999998,-0.04999999999999998,0.0,1.6756,1,1,,VALD3,MW,False
"(56, 1)",Ba I,4505.92,-0.01999999999999998,-0.01999999999999998,0.0,1.5667,1,1,,VALD3,MW,False
"(56, 1)",Ba I,4523.166,0.17,0.17,0.0,1.6756,1,1,,VALD3,MW,False
"(56, 1)",Ba I,4573.852,-0.03999999999999999,-0.03999999999999999,0.0,1.5667,1,1,,VALD3,MW,False
"(56, 1)",Ba I,4579.635,0.45,0.45,0.0,1.6756,1,1,,VALD3,MW,False
"(56, 1)",Ba I,4691.61,0.21000000000000002,0.21000000000000002,0.0,1.6756,1,1,,VALD3,MW,False
"(56, 1)",Ba I,4726.432,-0.15999999999999998,-0.15999999999999998,0.0,1.4128,1,1,,VALD3,MW,False
"(56, 1)",Ba I,5424.554,0.0,0.0,0.0,1.5208,1,1,,VALD3,CB,False
"(56, 1)",Ba I,5519.043,0.20000000000000004,0.20000000000000004,0.0,1.5667,1,1,,VALD3,CB,False
"(56, 1)",Ba I,5535.479999999999,0.201,0.201,0.0,0.0,1,1,,VALD3,MW,False
"(56, 1)",Ba I,5777.618,0.72,0.72,0.0,1.6756,1,1,,VALD3,MW,False
"(56, 1)",Ba I,5800.225,0.08000000000000002,0.08000000000000002,0.0,1.6756,1,1,,VALD3,MW,False
"(56, 1)",Ba I,5826.273,0.17,0.17,0.0,1.4128,1,1,,VALD3,MW,False
"(56, 1)",Ba I,5971.694,-0.11,-0.11,0.0,1.1426,1,1,,VALD3,MW,False
"(56, 1)",Ba I,5997.082999999999,-0.12,-0.12,0.0,1.1201,1,1,,VALD3,MW,False
"(56, 1)",Ba I,6019.465000000001,-0.1,-0.1,0.0,1.1201,1,1,,VALD3,MW,False
"(56, 1)",Ba I,6063.109,0.21000000000000002,0.21000000000000002,0.0,1.1426,1,1,,VALD3,MW,False
"(56, 1)",Ba I,6110.779,0.43999999999999995,0.43999999999999995,0.0,1.1898,1,1,,VALD3,MW,False
"(56, 1)",Ba I,6341.677,-0.11,-0.11,0.0,1.1426,1,1,,VALD3,MW,False
"(56, 1)",Ba I,6450.850000000001,-0.47000000000000003,-0.47000000000000003,0.0,1.1201,1,1,,VALD3,MW,False
"(56, 1)",Ba I,6482.91,0.29,0.29,0.0,1.4128,1,1,,VALD3,MW,False
"(56, 1)",Ba I,6498.757,0.58,0.58,0.0,1.1898,1,1,,VALD3,MW,False
"(56, 1)",Ba I,6527.309,0.27,0.27,0.0,1.1426,1,1,,VALD3,MW,False
"(56, 1)",Ba I,6595.323,0.15000000000000002,0.15000000000000002,0.0,1.1201,1,1,,VALD3,MW,False
"(56, 1)",Ba I,6675.267,-0.15,-0.15,0.0,1.1426,1,1,,VALD3,MW,False
"(56, 1)",Ba I,6693.84,-0.01999999999999998,-0.01999999999999998,0.0,1.1898,1,1,,VALD3,MW,False
"(56, 2)",Ba II,4524.925,-0.36,-0.36,0.0,2.5121,1,1,,VALD3,MW,False
"(56, 2)",Ba II,4554.033062898383,0.17030552630555226,0.17,-0.0003055263055522506,0.0,17,1,,VALD3,MW,True
"(56, 2)",Ba II,4899.929,-0.08000000000000002,-0.08000000000000002,0.0,2.7218,1,1,,VALD3,MW,False
"(56, 2)",Ba II,4934.076695497179,-0.14968700497352586,0.5420292518575763,0.6917162568311022,0.0,13,11,,VALD3,1992A&A...,True
"(56, 2)",Ba II,5853.674393476872,-0.9997129216685156,-0.20807262663655404,0.7916402950319615,0.6043000000000001,23,6,A,VALD3,1992A&A...,True
"(56, 2)",Ba II,6141.713148531284,-0.07571330316001869,0.666948303612183,0.7426616067722017,0.7036,23,6,,VALD3,1992A&A...,True
"(56, 2)",Ba II,6496.897949797157,-0.37669447369444786,0.288883125230657,0.6655775989251049,0.6043,17,7,,VALD3,1992A&A...,True
"(83, 1)",Bi I,4722.536,-1.0,-1.0,0.0,1.4158,1,1,,VALD3,AMS,False
"(6, 1)",C I,4371.367,-1.962,-1.962,0.0,7.6848,1,1,,VALD3,NIST10,False
"(6, 1)",C I,4734.26,-2.366,-2.366,0.0,7.9458,1,1,,VALD3,NIST10,False
"(6, 1)",C I,4738.46,-2.638,-2.638,0.0,7.9463,1,1,,VALD3,NIST10,False
"(6, 1)",C I,4742.561,-2.99,-2.99,0.0,7.9461,1,1,,VALD3,NIST10,False
