element,tier,pool_lines,usable,reachable,measured,unmeasured_reachable,no_instrument
Al,owed,2,55,26,0,26,29
Ba,owed,2,20,7,1,6,13
C,gold,4,152,46,1,45,106
Ca,owed,29,372,211,12,199,161
Co,owed,0,1638,805,0,805,833
Cr,gf_floor,80,3378,1618,34,1584,1760
Cu,owed,2,148,38,0,38,110
Eu,owed,1,32,10,0,10,22
Fe,gold,444,7541,4223,223,4000,3318
K,gold,0,12,10,0,10,2
Li,upper_limit,1,0,0,0,0,0
Mg,owed,5,317,127,3,124,190
Mn,gold,9,2130,562,2,560,1568
N,owed,0,17,0,0,0,17
Na,owed,4,65,36,4,32,29
Ni,owed,26,1263,829,10,819,434
O,gold,2,10,5,0,5,5
P,owed,2,108,1,0,1,107
S,owed,7,110,31,1,30,79
Sc,gold,0,120,81,0,81,39
Si,gf_floor,80,673,388,36,352,285
Sr,owed,1,27,9,0,9,18
Ti,owed,91,1813,1158,39,1119,655
V,owed,7,1385,653,0,653,732
Y,owed,3,107,66,2,64,41
Zr,owed,6,335,280,0,280,55
