line_id,species,ion,our_wavelength,our_EP,our_loggf,our_source,our_gf_tier,our_hfs_n_components,our_lab_source_tag,linemake_matched,linemake_wavelength,linemake_EP,linemake_loggf,delta_loggf,our_loggf_printed,linemake_loggf_printed,agreement_threshold_dex,delta_within_threshold,linemake_primary_source,linemake_reference_class,linemake_source_tag,linemake_source_class,linemake_file,linemake_hfs_expanded,linemake_n_components,hfs_collapse,bulk_counterpart,linemake_readme_caveat,linemake_caveat_wavelength_A,linemake_caveat_tol_A,verdict,ambiguity
gf_000028,Al I,1.0,6906.287,4.022,-1.1108,K75,KURUCZ,2,,True,6906.279,4.02,-2.48,1.3692,-1.1108,-2.48,0.00505,False,(catalogue only),UNSOURCED,NIST/E,CATALOG,alI.moog,False,1.0,ours_only,True,,,,DISAGREES_GF,
gf_117782,Si I,1.0,6553.883,5.964,-3.161,K07,KURUCZ,1,,True,6553.88,5.9639,-2.45,-0.7109999999999999,-3.161,-2.45,0.0055,False,"Den Hartog et al. (2023, ApJS, 265, 42); Pehlivan Rhodin et al. (2024, A&A, 682, A184)",PRIMARY_LAB,NIST/E,CATALOG,siI.moog,False,1.0,neither,True,,,,DISAGREES_GF,
gf_117962,Si I,1.0,7097.473,5.984,-3.918,K07,KURUCZ,1,,True,7097.47,5.984,-3.212,-0.706,-3.918,-3.212,0.001,False,"Den Hartog et al. (2023, ApJS, 265, 42); Pehlivan Rhodin et al. (2024, A&A, 682, A184)",PRIMARY_LAB,NIST/E,CATALOG,siI.moog,False,1.0,neither,True,,,,DISAGREES_GF,
gf_001465,Ba II,2.0,4934.0742,0.0,0.542,1992A&A...,OTHER,11,,True,4934.076,0.0,-0.157,0.6990000000000001,0.542,-0.157,0.001,False,,,GALNOHFS,PRIMARY_LAB,baII.mooghfs,True,11.0,both,True,,,,DISAGREES_GF,
gf_118233,Si I,1.0,8029.166,6.083,-2.286,K07,KURUCZ,1,,True,8029.17,6.0827,-1.677,-0.609,-2.286,-1.677,0.001,False,"Den Hartog et al. (2023, ApJS, 265, 42); Pehlivan Rhodin et al. (2024, A&A, 682, A184)",PRIMARY_LAB,NIST/E,CATALOG,siI.moog,False,1.0,neither,True,,,,DISAGREES_GF,
gf_117937,Si I,1.0,7016.787,5.964,-2.243,K07,KURUCZ,1,,True,7016.79,5.9639,-1.658,-0.585,-2.243,-1.658,0.001,False,"Den Hartog et al. (2023, ApJS, 265, 42); Pehlivan Rhodin et al. (2024, A&A, 682, A184)",PRIMARY_LAB,NIST/E,CATALOG,siI.moog,False,1.0,neither,True,,,,DISAGREES_GF,
gf_118294,Si I,1.0,8353.719,6.223,-2.279,K07,KURUCZ,1,,True,8353.719,6.2226,-1.75,-0.5289999999999999,-2.279,-1.750,0.001,False,"Den Hartog et al. (2023, ApJS, 265, 42); Pehlivan Rhodin et al. (2024, A&A, 682, A184)",PRIMARY_LAB,NIST/D,CATALOG,siI.moog,False,1.0,neither,True,,,,DISAGREES_GF,
gf_117992,Si I,1.0,7193.553,6.079,-2.284,K07,KURUCZ,1,,True,7193.55,6.0787,-1.777,-0.5069999999999999,-2.284,-1.777,0.001,False,"Den Hartog et al. (2023, ApJS, 265, 42); Pehlivan Rhodin et al. (2024, A&A, 682, A184)",PRIMARY_LAB,NIST/E,CATALOG,siI.moog,False,1.0,neither,True,,,,DISAGREES_GF,
gf_118038,Si I,1.0,7289.603,6.083,-1.863,K07,KURUCZ,1,,True,7289.6,6.0827,-1.429,-0.43399999999999994,-1.863,-1.429,0.001,False,"Den Hartog et al. (2023, ApJS, 265, 42); Pehlivan Rhodin et al. (2024, A&A, 682, A184)",PRIMARY_LAB,NIST/E,CATALOG,siI.moog,False,1.0,neither,True,,,,DISAGREES_GF,
gf_117815,Si I,1.0,6624.22,5.984,-4.429,K07,KURUCZ,1,,True,6624.22,5.984,-4.02,-0.4090000000000007,-4.429,-4.02,0.0055,False,"Den Hartog et al. (2023, ApJS, 265, 42); Pehlivan Rhodin et al. (2024, A&A, 682, A184)",PRIMARY_LAB,NIST/E,CATALOG,siI.moog,False,1.0,neither,True,,,,DISAGREES_GF,
