line_id,species,ion,our_wavelength,our_EP,our_loggf,our_source,our_gf_tier,our_hfs_n_components,our_lab_source_tag,our_loggf_printed,agreement_threshold_dex,linemake_matched,linemake_wavelength,linemake_EP,linemake_loggf,delta_loggf,linemake_source_tag,linemake_source_class,linemake_file,linemake_hfs_expanded,linemake_n_components,linemake_primary_source,linemake_reference_class,linemake_readme_caveat,linemake_caveat_wavelength_A,linemake_caveat_tol_A,lines_below_air_vac_boundary,verdict,linemake_loggf_printed,linemake_hfs_reconciled,linemake_hfs_max_dev_dex,linemake_row,ambiguity,delta_within_threshold,hfs_collapse,gf_synth_ges,gf_linelist_vald,hfs_n_components,published_minus_vald,vald_minus_linemake,multiplier,offset_dex
gf_051789,Eu II,2.0,5818.7392,1.23,-0.9489,LWHS,OTHER,8,,-0.9489,0.00505,True,5818.75,1.229,-1.25,0.30110000000000003,LAWNOHFS,PRIMARY_LAB,euII.mooghfs,True,28.0,"Lawler et al. (2001, ApJ, 563, 1075)",PRIMARY_LAB,,,,0,LINEMAKE_STRONGER_SOURCE,-1.25,True,7.981158287595491e-05,13774.0,,False,both,-0.9489,-1.2495,8,0.3006000000000001,0.0004999999999999449,2,0.30050000000000004
gf_051794,Eu II,2.0,6049.5033,1.279,-0.4991,LWHS,OTHER,7,,-0.4991,0.00505,True,6049.51,1.278,-0.8,0.30090000000000006,LAWNOHFS,PRIMARY_LAB,euII.mooghfs,True,32.0,"Lawler et al. (2001, ApJ, 563, 1075)",PRIMARY_LAB,,,,0,LINEMAKE_STRONGER_SOURCE,-0.80,True,0.00017514829781473118,13777.0,,False,both,-0.4991,-0.7994,7,0.3003,0.0006000000000000449,2,0.30050000000000004
gf_051795,Eu II,2.0,6173.0215,1.32,-0.559,LWHS,OTHER,6,,-0.559,0.0055,True,6173.03,1.319,-0.86,0.30099999999999993,LAWNOHFS,PRIMARY_LAB,euII.mooghfs,True,30.0,"Lawler et al. (2001, ApJ, 563, 1075)",PRIMARY_LAB,,,,0,LINEMAKE_STRONGER_SOURCE,-0.86,True,0.00013968671218078654,13778.0,,False,both,-0.559,-0.8594,6,0.3004,0.0005999999999999339,2,0.30050000000000004
gf_051797,Eu II,2.0,6437.6315,1.32,-0.0186,LWHS,OTHER,9,,-0.0186,0.00505,True,6437.64,1.319,-0.32,0.3014,LAWNOHFS,PRIMARY_LAB,euII.mooghfs,True,32.0,"Lawler et al. (2001, ApJ, 563, 1075)",PRIMARY_LAB,,,,0,LINEMAKE_STRONGER_SOURCE,-0.32,True,0.00016979294486441088,13780.0,,False,both,-0.0186,-0.3195,9,0.3009,0.0005000000000000004,2,0.30050000000000004
gf_098693,Nd II,2.0,4859.027,0.321,0.4051,HLSC,OTHER,13,,0.4051,0.00505,True,4859.03,0.32,-0.44,0.8451,LAWLER,PRIMARY_LAB,ndII.moog,False,1.0,"Den Hartog et al. (2003, ApJS, 148, 543); Roederer et al. (2008, ApJ, 675, 723)",PRIMARY_LAB,non-primary: solar-derived (astrophysical) log gf; scoped to 4314.50 A only,4314.5,0.005,0,LINEMAKE_STRONGER_SOURCE,-0.44,True,0.0,8952.0,,False,ours_only,0.4051,-0.44,13,0.8451,0.0,7,0.8451
gf_098701,Nd II,2.0,4902.0294,0.064,-0.4949,HLSC,OTHER,17,,-0.4949,0.00505,True,4902.04,0.064,-1.34,0.8451000000000001,LAWLER,PRIMARY_LAB,ndII.moog,False,1.0,"Den Hartog et al. (2003, ApJS, 148, 543); Roederer et al. (2008, ApJ, 675, 723)",PRIMARY_LAB,non-primary: solar-derived (astrophysical) log gf; scoped to 4314.50 A only,4314.5,0.005,0,LINEMAKE_STRONGER_SOURCE,-1.34,True,0.0,8957.0,,False,ours_only,-0.4949,-1.34,17,0.8451000000000001,0.0,7,0.8451
gf_098702,Nd II,2.0,4914.3774,0.38,0.1451,HLSC,OTHER,12,,0.1451,0.00505,True,4914.38,0.38,-0.7,0.8451,LAWLER,PRIMARY_LAB,ndII.moog,False,1.0,"Den Hartog et al. (2003, ApJS, 148, 543); Roederer et al. (2008, ApJ, 675, 723)",PRIMARY_LAB,non-primary: solar-derived (astrophysical) log gf; scoped to 4314.50 A only,4314.5,0.005,0,LINEMAKE_STRONGER_SOURCE,-0.70,True,0.0,8958.0,,False,ours_only,0.1451,-0.7,12,0.8451,0.0,7,0.8451
gf_098713,Nd II,2.0,4947.017,0.559,-0.2849,HLSC,OTHER,15,,-0.2849,0.00505,True,4947.02,0.559,-1.13,0.8451,LAWLER,PRIMARY_LAB,ndII.moog,False,1.0,"Den Hartog et al. (2003, ApJS, 148, 543); Roederer et al. (2008, ApJ, 675, 723)",PRIMARY_LAB,non-primary: solar-derived (astrophysical) log gf; scoped to 4314.50 A only,4314.5,0.005,0,LINEMAKE_STRONGER_SOURCE,-1.13,True,0.0,8967.0,,False,ours_only,-0.2849,-1.13,15,0.8451,0.0,7,0.8451
gf_098716,Nd II,2.0,4959.1119,0.064,0.0451,HLSC,OTHER,17,,0.0451,0.00505,True,4959.12,0.064,-0.8,0.8451000000000001,LAWLER,PRIMARY_LAB,ndII.moog,False,1.0,"Den Hartog et al. (2003, ApJS, 148, 543); Roederer et al. (2008, ApJ, 675, 723)",PRIMARY_LAB,non-primary: solar-derived (astrophysical) log gf; scoped to 4314.50 A only,4314.5,0.005,0,LINEMAKE_STRONGER_SOURCE,-0.80,True,0.0,8969.0,,False,ours_only,0.0451,-0.8,17,0.8451000000000001,0.0,7,0.8451
gf_098720,Nd II,2.0,4970.9085,0.321,-0.5449,HLSC,OTHER,14,,-0.5449,0.00505,True,4970.91,0.32,-1.39,0.8450999999999999,LAWLER,PRIMARY_LAB,ndII.moog,False,1.0,"Den Hartog et al. (2003, ApJS, 148, 543); Roederer et al. (2008, ApJ, 675, 723)",PRIMARY_LAB,non-primary: solar-derived (astrophysical) log gf; scoped to 4314.50 A only,4314.5,0.005,0,LINEMAKE_STRONGER_SOURCE,-1.39,True,0.0,8972.0,,False,ours_only,-0.5449,-1.39,14,0.8450999999999999,0.0,7,0.8451
