line_id,species,ion,our_wavelength,our_EP,our_loggf,our_source,our_gf_tier,our_hfs_n_components,our_lab_source_tag,linemake_matched,linemake_wavelength,linemake_EP,linemake_loggf,delta_loggf,our_loggf_printed,linemake_loggf_printed,agreement_threshold_dex,delta_within_threshold,linemake_primary_source,linemake_reference_class,linemake_source_tag,linemake_source_class,linemake_file,linemake_hfs_expanded,linemake_n_components,hfs_collapse,bulk_counterpart,linemake_readme_caveat,linemake_caveat_wavelength_A,linemake_caveat_tol_A,verdict,ambiguity
gf_000000,Ag I,1.0,4210.956,3.778,-0.381,JMG,OTHER,1,,False,,,,,-0.381,,,False,,,,,,False,,,True,,,,NO_MATCH,
gf_000001,Ag I,1.0,5209.068,3.664,0.048,JMG,OTHER,1,,False,,,,,0.048,,,False,,,,,,False,,,True,,,,NO_MATCH,
gf_000002,Ag I,1.0,5465.498,3.778,0.326,JMG,OTHER,1,,False,,,,,0.326,,,False,,,,,,False,,,True,,,,NO_MATCH,
gf_000003,Ag I,1.0,5471.547,3.778,-0.626,JMG,OTHER,1,,False,,,,,-0.626,,,False,,,,,,False,,,True,,,,NO_MATCH,
gf_000004,Ag I,1.0,7687.766,3.664,-0.503,JMG,OTHER,1,,False,,,,,-0.503,,,False,,,,,,False,,,True,,,,NO_MATCH,
gf_000005,Ag I,1.0,8273.515,3.778,-0.178,JMG,OTHER,1,,False,,,,,-0.178,,,False,,,,,,False,,,True,,,,NO_MATCH,
gf_154177,Ag I,1.0,3280.679,0.0,-0.0499999999999999,VALD3,VALD3,1,,True,3280.679,0.0,-0.022,-0.0279999999999999,-0.0499999999999999,-0.022,0.00050000000000005,False,"Hansen et al. (2012, A&A, 545, 31)",PRIMARY_LAB,Hanse12TOT,PRIMARY_LAB,agI.mooghfs,True,6.0,linemake_only,True,,,,LINEMAKE_STRONGER_SOURCE,
gf_157164,Ag I,1.0,3382.889,0.0,-0.377,VALD3,VALD3,1,,True,3382.889,0.0,-0.334,-0.04299999999999998,-0.377,-0.334,0.001,False,"Hansen et al. (2012, A&A, 545, 31)",PRIMARY_LAB,Hanse12TOT,PRIMARY_LAB,agI.mooghfs,True,6.0,linemake_only,True,,,,LINEMAKE_STRONGER_SOURCE,
gf_000006,Al I,1.0,3944.006,0.0,-0.6227,VALD3,VALD3,1,,False,,,,,-0.6227,,,False,,,,,,False,,,True,,,,NO_MATCH,
gf_000007,Al I,1.0,3961.52,0.0139,-0.3228,VALD3,VALD3,1,,False,,,,,-0.3228,,,False,,,,,,False,,,True,,,,NO_MATCH,
gf_000008,Al I,1.0,4592.25,3.143,-3.1149,K75,KURUCZ,2,,False,,,,,-3.1149,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_000009,Al I,1.0,4652.4467,3.143,-2.9489,K75,KURUCZ,2,,False,,,,,-2.9489,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_000010,Al I,1.0,4740.265,3.143,-2.93,K75,KURUCZ,1,,False,,,,,-2.93,,,False,,,,,,False,,,True,,,,NO_MATCH,
gf_000011,Al I,1.0,4740.412,3.143,-3.231,K75,KURUCZ,1,,False,,,,,-3.231,,,False,,,,,,False,,,True,,,,NO_MATCH,
gf_000012,Al I,1.0,4876.584,3.143,-2.693,K75,KURUCZ,1,,False,,,,,-2.693,,,False,,,,,,False,,,True,,,,NO_MATCH,
gf_000013,Al I,1.0,4876.819,3.143,-2.994,K75,KURUCZ,1,,False,,,,,-2.994,,,False,,,,,,False,,,True,,,,NO_MATCH,
gf_000014,Al I,1.0,5107.52,3.143,-2.395,K75,KURUCZ,1,,False,,,,,-2.395,,,False,,,,,,False,,,True,,,,NO_MATCH,
gf_000015,Al I,1.0,5107.943,3.143,-2.697,K75,KURUCZ,1,,False,,,,,-2.697,,,False,,,,,,False,,,True,,,,NO_MATCH,
gf_000016,Al I,1.0,5557.063,3.143,-2.104,1995JPhB..,OTHER,1,,False,,,,,-2.104,,,False,,,,,,False,,,True,,,,NO_MATCH,
gf_000017,Al I,1.0,5557.948,3.143,-2.41,WSM,OTHER,1,,False,,,,,-2.41,,,False,,,,,,False,,,True,,,,NO_MATCH,
gf_000018,Al I,1.0,6631.218,4.022,-1.7,K75,KURUCZ,1,,False,,,,,-1.7,,,False,,,,,,False,,,True,,,,NO_MATCH,
gf_000019,Al I,1.0,6631.809,4.022,-1.5288,K75,KURUCZ,2,,False,,,,,-1.5288,,,False,,,,,,False,,,True,,,,NO_MATCH,
