species,our_line_count,matched,AGREES,DISAGREES_GF,LINEMAKE_STRONGER_SOURCE,NO_MATCH,AMBIGUOUS_MATCH,HFS_AMBIGUOUS,LINEMAKE_NONPRIMARY,comparable,within_threshold,mean_abs_delta_loggf,median_abs_delta_loggf,linemake_lines_not_in_our_pool,linemake_primary_source,linemake_reference_class
Ce II,9289,1320,0,0,1320,7969,0,0,0,1320,1307,0.0075,0.0,60,"Lawler et al. (2009, ApJS, 182, 51)",PRIMARY_LAB
Sm II,1298,931,0,0,931,367,0,0,0,931,927,0.0036,0.0,27,"Lawler et al. (2006, ApJS, 162, 227); Roederer & Lawler (2012, ApJ, 750, 76)",PRIMARY_LAB
Ti I,8644,846,0,1,845,7798,0,0,0,846,837,0.0019,0.0,102,"Lawler et al. (2013, ApJS, 205, 11)",PRIMARY_LAB
V I,6388,754,0,0,754,5633,1,0,0,754,398,0.1052,0.0002,82,"Lawler et al. (2014, ApJS, 215, 20); Wood et al. (2018, ApJS, 234, 25); Holmes et al. (2016, ApJS, 224, 35)",PRIMARY_LAB
Fe I,25671,748,572,140,35,24923,0,0,0,747,603,0.0119,0.0,325,"Ruffoni et al. (2014, MNRAS, 441, 3127); Den Hartog (2014, ApJS, 215, 23); Belmonte et al. (2017, ApJ, 848, 126); O'Brian et al. (1991, JOSAB, 8, 1185)",PRIMARY_LAB
Nd II,1271,707,0,0,706,564,0,0,1,706,679,0.0322,0.0,2,"Den Hartog et al. (2003, ApJS, 148, 543); Roederer et al. (2008, ApJ, 675, 723)",PRIMARY_LAB
Co I,4966,609,0,0,609,4357,0,0,0,609,14,0.2372,0.12,289,"Lawler et al. (2015, ApJS, 220, 13)",PRIMARY_LAB
Gd II,866,497,0,0,497,368,1,0,0,497,247,0.0345,0.01,101,"Den Hartog et al. (2006, ApJS, 167, 292)",PRIMARY_LAB
Dy II,796,329,0,0,329,467,0,0,0,329,313,0.0371,0.0,31,"Sneden et al. (2009, ApJS, 182, 80)",PRIMARY_LAB
Er II,546,307,0,0,307,239,0,0,0,307,291,0.0021,0.0,111,"Lawler et al. (2008, ApJS, 178, 71)",PRIMARY_LAB
Ti II,1732,305,0,0,305,1427,0,0,0,305,305,0.0,0.0,59,"Wood et al. (2013, ApJS, 208, 27)",PRIMARY_LAB
Ni I,3436,247,0,0,247,3189,0,0,0,247,185,0.0264,0.0001,124,"Wood et al. (2014, ApJS, 211, 20)",PRIMARY_LAB
Cr II,7142,230,0,0,230,6910,2,0,0,230,78,0.0868,0.04,301,"Lawler et al. (2017, ApJS, 228, 10); Nilsson et al. (2006, A&A, 445, 1165); Gurell et al. (2010, A&A, 511, A68); Ward et al. (2023, ApJ, 959, 8)",PRIMARY_LAB
Zr II,397,215,0,0,215,182,0,0,0,215,214,0.0013,0.0,48,"Ljung et al. (2006, A&A, 456, 1181); Malcheva et al. (2006, MNRAS, 367, 754)",PRIMARY_LAB
Cr I,10993,213,0,0,213,10780,0,0,0,213,186,0.0103,0.0,50,"Sobeck et al. (2007, ApJ, 667, 1267)",MIXED
Pr II,510,204,0,0,200,305,5,0,0,200,8,0.1779,0.11,66,"Sneden et al. (2009, ApJS, 182, 80); Ivarsson et al. (2001, Phys. Scr., 64, 455); Li et al. (2007, Phys. Scr., 76, 577); Biemont et al. (2003, Eur. Phys. J. D, 27, 33)",PRIMARY_LAB
Tb II,222,182,0,0,181,40,0,1,0,181,139,0.019,0.0001,18,"Lawler et al. (2001, ApJS, 137, 341)",PRIMARY_LAB
Sc I,2990,182,0,0,179,2808,2,1,0,179,76,0.0446,0.008,13,"Lawler et al. (2019, ApJS, 241, 21)",PRIMARY_LAB
