wave_A,loggf,ep_eV,strength,theo_depth,half_width_A,status,reason,a_synth,red_chi2,n_pix,cont_ratio
3000.468,-2.266,2.6085,-4.543692307692307,0.899,0.6,ok,,8.366,77.386,671,1.0167892036997488
3006.605,-2.334,2.5592,-4.568644490644491,0.896,0.6,ok,,7.225,369.88,364,0.812459611348375
3031.476,-2.262,2.5881,-4.521879417879418,0.898,0.6,ok,,8.289,122.961,359,0.890328362456345
3087.431,-1.465,3.241,-4.294979209979211,0.898,0.6,ok,,7.369,807.738,345,1.7607202146773222
3099.921,-1.322,3.332,-4.23143866943867,0.9,0.6,ok,,8.297,179.155,343,1.1224891312301593
3110.108,-1.277,3.3965,-4.242758835758836,0.897,0.6,ok,,7.248,397.448,341,1.2258906110656274
3123.199,-2.299,2.4327,-4.4231871101871105,0.9,0.6,ok,,7.145,831.91,337,1.5291888481023275
3162.329,-2.244,2.4496,-4.382943866943867,0.898,0.6,ok,,7.546,39.896,329,1.16091029444668
3175.31,-3.296,1.4849,-4.592586278586278,0.9,0.6,ok,,8.042,520.302,326,1.1937196264108068
3225.606,-2.185,2.4327,-4.309187110187111,0.898,0.6,ok,,8.037,106.259,316,1.0166249004897816
3249.191,-2.004,2.5592,-4.238644490644491,0.898,0.6,ok,,7.91,122.692,311,1.0339529726916812
3253.942,-1.971,2.6085,-4.248692307692307,0.896,0.6,ok,,7.479,104.321,311,1.0862987938974904
3261.325,-0.984,3.417,-3.9676590436590438,0.9,0.6,ok,,7.57,75.737,310,1.0521679887080937
3292.033,-1.422,3.0176,-4.056910602910603,0.898,0.6,ok,,7.701,138.43,304,1.0368443796332458
3312.698,-1.564,2.8581,-4.059638253638253,0.899,0.6,ok,,8.285,177.245,310,1.026340220187748
3334.218,-2.046,2.4327,-4.17018711018711,0.898,0.6,ok,,7.886,536.861,306,1.3844901106451077
3387.405,-1.579,2.7586,-3.987756756756757,0.899,0.6,ok,,7.777,61.046,296,0.990924600070227
3393.588,-1.58,2.7586,-3.988756756756757,0.899,0.6,ok,,7.432,68.417,296,0.8606753655497513
3439.035,-1.556,2.7275,-3.937600831600832,0.899,0.6,ok,,7.657,88.038,288,0.9912359327502717
3457.086,-0.556,3.6025,-3.701634095634096,0.896,0.6,ok,,7.223,144.921,284,1.0532298335426218
3469.83,-1.633,2.6085,-3.9106923076923077,0.9,0.6,ok,,7.406,90.291,282,1.1050737484048077
3476.344,-0.465,3.6025,-3.610634095634096,0.9,0.6,ok,,7.315,53.467,282,1.0013547935938552
3509.862,-2.07,2.2227,-4.010819126819127,0.897,0.6,ok,,6.979,95.988,276,0.9034261032939047
3559.503,-0.97,3.0713,-3.651800415800416,0.9,0.6,ok,,7.759,167.851,291,0.9939108536123837
3572.59,-1.244,2.8512,-3.7336133056133054,0.898,0.6,ok,,7.279,112.175,267,0.9698419512089036
3576.758,-0.78,3.2671,-3.632769230769231,0.896,0.6,ok,,8.272,285.608,266,1.17592644655407
3599.625,-0.39,3.5732,-3.5100498960498965,0.896,0.6,ok,,7.82,733.12,311,1.2689038995101871
3617.318,-0.493,3.4149,-3.4748253638253637,0.9,0.6,ok,,7.482,97.26,260,0.9411811064596102
3624.28,0.062,3.8835,-3.3289979209979217,0.899,0.6,ok,,7.55,78.416,259,1.0976764229282803
3632.555,-1.03,2.9488,-3.604835758835759,0.899,0.6,ok,,7.565,105.26,258,1.0429148855611103
3636.994,-1.456,2.5881,-3.715879417879418,0.899,0.6,ok,,7.33,176.332,258,0.9508734718249288
3643.715,-1.439,2.6085,-3.7166923076923077,0.898,0.6,ok,,7.288,149.278,256,1.0137283428948949
3650.098,0.069,3.9841,-3.409839916839917,0.899,0.6,ok,,7.21,252.521,255,0.923861894806136
3656.21,-0.76,3.274,-3.618794178794179,0.899,0.6,ok,,7.646,637.272,254,1.0774119818487387
3664.537,-1.071,2.998,-3.688796257796258,0.899,0.6,ok,,7.823,272.988,253,1.2299322932328518
3680.784,0.098,3.9841,-3.3808399168399172,0.898,0.6,ok,,7.527,196.546,422,0.9366776638924356
3703.821,-1.201,2.8581,-3.6966382536382536,0.898,0.6,ok,,7.547,86.654,247,1.028495881346894
3731.373,-1.453,2.6085,-3.7306923076923075,0.898,0.6,ok,,7.762,92.904,244,1.0097714577509456
3756.937,-0.25,3.5732,-3.3700498960498964,0.9,0.6,ok,,7.485,37.348,241,0.9770078038348148
3778.793,-0.617,3.2671,-3.469769230769231,0.898,0.6,ok,,6.999,109.041,239,0.9937942989133713
