key_z,ion,element_raw,wavelength_air_A,excitation_potential_eV,gf_linelist_vald,reference_code,hfs_n_components,nist_log_gf,nist_grade,nist_acc_pct,nist_ref_tp,nist_ref_line,nist_wavelength_A,nist_ei_eV,n_nist_candidates,adjudicated,delta_nist_minus_vald
26,1,Fe 1,3000.003,3.3009,-4.771,VALD3,1,,,,,,,,0,False,
24,2,Cr 2,3000.047,8.2269,-0.578,VALD3,1,,,,,,,,0,False,
26,2,Fe 2,3000.062,3.8143,-1.608,VALD3,1,,,,,,,,0,False,
58,2,Ce 2,3000.0680000000007,0.357,-1.06,VALD3,1,,,,,,,,0,False,
23,1,V 1,3000.085261956878,1.2181,-2.4308878507483915,VALD3,18,,,,,,,,0,False,
72,2,Hf 2,3000.1,0.3783,-1.13,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3000.139,3.2671,-4.196,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3000.205,3.6025,-2.596,VALD3,1,,,,,,,,0,False,
74,1,W 1,3000.238,2.422,-0.12000000000000001,VALD3,1,,,,,,,,0,False,
26,2,Fe 2,3000.244,9.1257,-1.179,VALD3,1,,,,,,,,0,False,
22,1,Ti 1,3000.245,1.4601,-1.583,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3000.266,2.9904,-5.642,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3000.2786523022796,3.2671,-3.262385468325679,VALD3,2,,,,,,,,0,False,
26,2,Fe 2,3000.291,7.1388,-2.359,VALD3,1,,,,,,,,0,False,
58,2,Ce 2,3000.327,0.9768,-1.18,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3000.3775419293265,3.3014,-2.7075687242776345,VALD3,2,,,,,,,,0,False,
26,2,Fe 2,3000.386,8.1845,-1.752,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3000.451,1.4849,-1.095,VALD3,1,-1.095392636184552,B+,7.0,T5720,L11631,3000.4509,1.48486439,1,True,-0.0003926361845520976
70,2,Yb 2,3000.4640000000004,5.3208,0.76,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3000.468,2.6085,-2.266,VALD3,1,,,,,,,,0,False,
27,1,Co 1,3000.5474833084236,0.10116666666666665,-2.1197536124848813,VALD3,21,,,,,,,,0,False,
26,1,Fe 1,3000.577,3.2112,-1.464,VALD3,1,,,,,,,,0,False,
