filepath,filename,is_science_product,instrume,opt_elem,cenwave,object,date_obs,exptime,proposid,pr_inv_l,detector,wl_min_A,wl_max_A,target_confirmed,is_science_grating,flags
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Procyon/Procyon HST/MAST_2026-06-11T0446/HST/o6l501010/o6l501010_sx1.fits,o6l501010_sx1.fits,True,STIS,G230MB,2276,HD61421,2002-09-09,79.800003,9368,Allende-Prieto,CCD,2198.1738238020844,2352.7612178055215,True,True,[]
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Procyon/Procyon HST/MAST_2026-06-11T0446/HST/o6l501020/o6l501020_sx1.fits,o6l501020_sx1.fits,True,STIS,G230MB,2276,HD61421,2002-09-09,79.800003,9368,Allende-Prieto,CCD,2198.1524115354096,2352.7391983530615,True,True,[]
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Procyon/Procyon HST/MAST_2026-06-11T0446/HST/o6l501030/o6l501030_sx1.fits,o6l501030_sx1.fits,True,STIS,G230MB,2416,HD61421,2002-09-09,105.89999,9368,Allende-Prieto,CCD,2338.5827629476157,2492.927847297772,True,True,[]
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Procyon/Procyon HST/MAST_2026-06-11T0446/HST/o6l501040/o6l501040_sx1.fits,o6l501040_sx1.fits,True,STIS,G230MB,2416,HD61421,2002-09-09,105.89999,9368,Allende-Prieto,CCD,2338.561077133684,2492.906828256038,True,True,[]
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Procyon/Procyon HST/MAST_2026-06-11T0446/HST/o6l501050/o6l501050_sx1.fits,o6l501050_sx1.fits,True,STIS,G230MB,2557,HD61421,2002-09-09,44.699997,9368,Allende-Prieto,CCD,2479.3072666391718,2633.405439679675,True,True,[]
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Procyon/Procyon HST/MAST_2026-06-11T0446/HST/o6l501060/o6l501060_sx1.fits,o6l501060_sx1.fits,True,STIS,G230MB,2557,HD61421,2002-09-09,44.699997,9368,Allende-Prieto,CCD,2479.2861826515523,2633.38631194979,True,True,[]
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Procyon/Procyon HST/MAST_2026-06-11T0446/HST/o6l501070/o6l501070_sx1.fits,o6l501070_sx1.fits,True,STIS,G230MB,2697,HD61421,2002-09-09,23.099998,9368,Allende-Prieto,CCD,2620.160869656959,2773.9588195261304,True,True,[]
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Procyon/Procyon HST/MAST_2026-06-11T0446/HST/o6l501080/o6l501080_sx1.fits,o6l501080_sx1.fits,True,STIS,G230MB,2697,HD61421,2002-09-09,23.099998,9368,Allende-Prieto,CCD,2620.13894140157,2773.937503950122,True,True,[]
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Procyon/Procyon HST/MAST_2026-06-11T0446/HST/o6l501090/o6l501090_sx1.fits,o6l501090_sx1.fits,True,STIS,G230MB,2836,HD61421,2002-09-09,12.900001,9368,Allende-Prieto,CCD,2758.7802654116135,2912.236679151479,True,True,[]
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Procyon/Procyon HST/MAST_2026-06-11T0446/HST/o6l5010a0/o6l5010a0_sx1.fits,o6l5010a0_sx1.fits,True,STIS,G230MB,2836,HD61421,2002-09-09,12.900001,9368,Allende-Prieto,CCD,2758.760433119764,2912.2160149367746,True,True,[]
