measured_wavelength_air_A,candidate_wavelength_air_A,separation_mA,excitation_potential_eV,log_gf,gf_tier
4771.88344,4771.881,-2.44,4.473,-4.589,KURUCZ
4771.88344,4771.884,0.56,4.371,-3.105,KURUCZ
4924.30076,4924.301,0.24,4.796,-1.633,VALD3
4924.30076,4924.303,2.24,4.988,-4.449,KURUCZ
5879.487,5879.485,-2.0,4.966,-4.285,KURUCZ
5879.487,5879.487,0.0,4.607,-2.04,OTHER
6065.482,6065.482,0.0,2.609,-1.53,NIST-C+
6065.482,6065.485,3.0,4.956,-3.471,KURUCZ
6696.31523,6696.316,0.77,4.835,-1.67,OTHER
6696.31523,6696.319,3.77,5.793,-2.975,KURUCZ
6793.25776,6793.256,-1.76,4.584,-4.275,KURUCZ
6793.25776,6793.258,0.24,4.076,-2.3256,NIST-C+
6854.32684,6854.327,0.16,4.186,-2.904,KURUCZ
6854.32684,6854.331,4.16,5.539,-3.977,KURUCZ
