measured_wavelength_air_A,canonical_wavelength_air_A,separation_mA,key_measured,key_canonical,gf_tier,loggf_reference,adjudication_status
4787.49462,4787.495,0.38,4787.49,4787.49,KURUCZ,K07,single_source
5281.165,5281.166,1.0,5281.16,5281.17,KURUCZ,K07,single_source
5513.86524,5513.865,-0.24,5513.87,5513.86,KURUCZ,K07,pending
5650.70512,5650.705,-0.12,5650.71,5650.7,OTHER,MRW,pending
5770.15492,5770.156,1.08,5770.15,5770.16,KURUCZ,K07,pending
5793.91435,5793.915,0.65,5793.91,5793.91,OTHER,MRW,pending
5833.92489,5833.926,1.11,5833.92,5833.93,OTHER,MRW,pending
5963.05425,5963.055,0.75,5963.05,5963.06,KURUCZ,K07,pending
5984.81467,5984.815,0.33,5984.81,5984.81,KURUCZ,K07,single_source
6013.91474,6013.915,0.26,6013.91,6013.91,KURUCZ,K07,single_source
6034.03465,6034.035,0.35,6034.03,6034.03,KURUCZ,K07,pending
6034.89465,6034.895,0.35,6034.89,6034.9,KURUCZ,K07,pending
6252.55455,6252.555,0.45,6252.55,6252.56,NIST-C+,NIST-C+ T4187,nist_rya945
6364.69383,6364.695,1.17,6364.69,6364.69,KURUCZ,K07,single_source
6713.19471,6713.195,0.29,6713.19,6713.19,KURUCZ,K07,single_source
6845.93488,6845.935,0.12,6845.93,6845.94,KURUCZ,K07,pending
6875.44503,6875.445,-0.03,6875.45,6875.44,KURUCZ,K07,pending
