species,band,lo_A,hi_A,band_defined,crires_reaches,lab_lines,graded_shallow,deepgraded,below_floor,depth_min,depth_median,depth_max
Fe I,near-UV,3000.0,3780.0,True,False,59,0,58,1,0.033,0.941,0.994
Fe I,VIS,3780.0,6910.0,True,False,243,66,174,3,0.01,0.713,0.928
Fe I,red-optical,6910.0,9199.0,True,False,70,66,0,4,0.003,0.342,0.583
Fe I,NIR,9199.0,13000.0,True,True,29,29,0,0,0.053,0.159,0.409
Fe I,H (proposed),15007.0,17500.0,False,True,25,25,0,0,0.095,0.412,0.508
Fe I,K (proposed),17500.0,21400.0,False,True,0,0,0,0,,,
Fe II,near-UV,3000.0,3780.0,True,False,12,0,12,0,0.966,0.981,0.992
Fe II,VIS,3780.0,6910.0,True,False,10,0,10,0,0.742,0.795,0.869
Fe II,red-optical,6910.0,9199.0,True,False,0,0,0,0,,,
Fe II,NIR,9199.0,13000.0,True,True,0,0,0,0,,,
Fe II,H (proposed),15007.0,17500.0,False,True,0,0,0,0,,,
Fe II,K (proposed),17500.0,21400.0,False,True,0,0,0,0,,,
