species,element,ion,wavelength_air_A,excitation_potential_eV,log_gf,hfs_n_components,reference_code,gf_tier
Mn I,Mn,1,12975.999861711609,2.8884000000000003,-1.3452119852306978,6,VALD3,VALD3
Si I,Si,1,12977.1078,6.7606,-2.625,1,K07,KURUCZ
Fe I,Fe,1,12977.5592,4.9658,-3.845,1,K14,KURUCZ
Fe I,Fe,1,12978.7656,6.5107,-2.37,1,K14,KURUCZ
Fe I,Fe,1,12979.333399999998,5.8492,-2.275,1,K14,KURUCZ
Cr I,Cr,1,12979.4514,3.847,-1.991,1,K16,KURUCZ
Ca I,Ca,1,12979.6805,5.0486,-1.48,1,K07,KURUCZ
S I,S,1,12982.691,9.66,-0.661,1,K04,KURUCZ
Ni I,Ni,1,12986.365699999998,5.3025,-1.929,1,K08,KURUCZ
Si I,Si,1,12986.5479,6.7606,-2.83,1,K07,KURUCZ
Ti I,Ti,1,12987.5672,2.5057,-1.55,1,VALD3,VALD3
Fe I,Fe,1,12991.973800000002,6.1324,-2.766,1,K14,KURUCZ
Fe I,Fe,1,12993.7924,5.7203,-3.129,1,K14,KURUCZ
Fe I,Fe,1,12995.2568,6.2771,-2.03,1,K14,KURUCZ
Si I,Si,1,12998.5061,6.1807,-3.268,1,K07,KURUCZ
Cr I,Cr,1,12999.9259,5.0798,-1.217,1,K16,KURUCZ
Ca I,Ca,1,13001.4018,4.441,-1.139,1,K07,KURUCZ
Fe I,Fe,1,13001.8211,5.5022,-3.16,1,K14,KURUCZ
Ti I,Ti,1,13002.1948,3.7159,-0.485,1,K16,KURUCZ
Ti I,Ti,1,13005.361200000001,2.1747,-2.287,1,K16,KURUCZ
Fe I,Fe,1,13007.4019,6.3327,-2.203,1,K14,KURUCZ
Ti I,Ti,1,13011.2501,2.1603,-2.18,1,VALD3,VALD3
Si I,Si,1,13011.4734,7.0917,-2.082,1,K07,KURUCZ
Fe I,Fe,1,13011.5445,6.4496,-1.843,1,K14,KURUCZ
Ti I,Ti,1,13011.896800000002,1.4432,-2.27,1,VALD3,VALD3
Fe I,Fe,1,13012.4811,6.3999,-1.948,1,K14,KURUCZ
Cr I,Cr,1,13014.0717,3.8496,-2.629,1,K16,KURUCZ
Cr I,Cr,1,13015.6135,3.4493,-2.645,1,K16,KURUCZ
Fe I,Fe,1,13015.7728,5.3342,-2.827,1,K14,KURUCZ
Fe I,Fe,1,13018.3219,6.6531,-2.048,1,K14,KURUCZ
S I,S,1,13018.5169,8.7005,-1.93,1,K04,KURUCZ
Ti I,Ti,1,13018.935600000003,2.1603,-2.563,1,K16,KURUCZ
Cr I,Cr,1,13019.446,5.0812,-0.794,1,K16,KURUCZ
Fe I,Fe,1,13020.7958,6.1807,-2.634,1,K14,KURUCZ
V I,V,1,13022.02034687524,3.932999999999998,-0.2739602424776095,21,K09,KURUCZ
Si I,Si,1,13022.8447,7.0644,-2.542,1,K07,KURUCZ
Fe I,Fe,1,13024.3717,6.323,-2.566,1,K14,KURUCZ
Fe I,Fe,1,13026.3997,5.3139,-2.8,1,K14,KURUCZ
Si I,Si,1,13029.5235,6.0827,-0.924,1,K07,KURUCZ
Si I,Si,1,13030.9212,6.0787,-0.669,1,K07,KURUCZ
Fe I,Fe,1,13031.7281,5.5022,-2.902,1,K14,KURUCZ
Fe I,Fe,1,13032.4909,5.4759,-2.643,1,K14,KURUCZ
Ca I,Ca,1,13033.5545,4.441,-0.06400000000000003,1,K07,KURUCZ
Si I,Si,1,13033.7788,7.0693,-1.776,1,K07,KURUCZ
Ni I,Ni,1,13034.2427,6.1141,-1.553,1,K08,KURUCZ
Ni I,Ni,1,13034.742300000002,5.831,-1.653,1,K08,KURUCZ
Ni I,Ni,1,13035.5394,6.257,-1.588,1,K08,KURUCZ
Si I,Si,1,13036.8382,7.0644,-1.766,1,K07,KURUCZ
Ni I,Ni,1,13037.3346,5.3053,-1.279,1,K08,KURUCZ
Fe I,Fe,1,13038.0249,6.3597,-2.384,1,K14,KURUCZ
Fe I,Fe,1,13038.0708,6.4496,-2.452,1,K14,KURUCZ
Fe I,Fe,1,13040.817500000001,5.8294,-2.745,1,K14,KURUCZ
