band,species,wavelength_A,depth,unsaturated,purity,gof,robust,canonical_line_id,action
Y,FeI,9800.308,Y,Y,Y,N,N,gf_167310,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,9800.798,Y,Y,Y,N,N,gf_167311,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,9801.206,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,9811.504,Y,Y,Y,Y,Y,gf_167312,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,TiI,9813.516, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,9820.241,Y,Y,Y,Y,Y,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,ZrI,9822.564, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,MgI,9828.132, , , , , ,gf_167314,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,TiI,9832.14,Y,Y,Y,N,N,gf_167315,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,9834.185,Y,Y,Y,Y,Y,gf_167316,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,SiI,9839.328,Y,Y,N, ,N,gf_167317,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,9839.341, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,9847.457, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,9850.097,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,9851.782,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,CaII,9854.759,N, , , ,N,gf_167318,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,9855.487,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,9861.734,Y,Y,Y,Y,Y,gf_167319,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,9868.089,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,9868.186,Y,Y,Y,Y,Y,gf_167320,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,SiI,9872.207,N, , , ,N,gf_167321,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,TiI,9879.582, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,9881.522,Y,Y,U,Y,N,gf_167322,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,9886.081,Y,Y,Y,Y,Y,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,SiI,9887.047,Y,Y,U,Y,N,gf_167323,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,9889.035,Y,Y,Y,Y,Y,gf_167324,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,CaII,9890.628,Y,Y,N, ,N,gf_167325,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,CoI,9891.035, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,SiI,9891.725,Y,Y,Y,N,N,gf_167326,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,SiI,9896.212,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,9898.006,Y,Y,U,N,N,gf_167327,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,EuII,9898.3, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,NiI,9898.928, , , , , ,gf_167328,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,CrI,9900.909,Y,Y,U,Y,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,CrI,9904.48,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,CoI,9912.815, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,SiI,9913.04, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,9913.18,Y,Y,U,Y,N,gf_167329,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,TiI,9923.209, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,9923.947,Y,Y,N, ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,CeII,9924.383, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
