band,species,total_transitions,robust_sun,robust_procyon,robust_eps_eri,robust_any,rejected_all,dominant_sun_failure
H,AlI,6,0,0,0,0,6,depth
H,CI,33,5,6,1,11,22,gof
H,CaI,18,3,2,1,3,15,gof
H,CaII,2,0,0,0,0,2,gof
H,CeI,4,0,0,0,0,4,saturation
H,CeII,2,0,0,0,0,2,depth
H,CoI,17,0,0,0,0,17,purity
H,CrI,11,0,1,0,1,10,depth
H,CuI,2,0,0,0,0,2,depth
H,FeI,677,53,5,72,145,532,gof
H,HI,4,0,0,0,0,4,gof
H,KI,2,1,1,0,1,1,depth
H,LuII,1,0,0,0,0,1,depth
H,MgI,48,4,0,1,5,43,purity
H,MnI,31,0,0,0,0,31,purity
H,NaI,4,0,0,0,0,4,depth
H,NiI,85,7,0,1,8,77,gof
H,PI,4,0,1,0,1,3,depth
H,SI,16,3,4,0,4,12,purity
H,SiI,62,8,11,6,19,43,gof
H,TiI,45,0,0,1,3,42,gof
H,TiII,1,0,0,0,0,1,depth
H,VI,7,0,0,0,0,7,depth
H,YI,3,0,0,0,0,3,depth
J,AlI,4,0,0,0,0,4,purity
J,CI,14,10,9,1,13,1,depth
J,CaI,17,4,1,5,9,8,depth
J,CaII,2,0,1,0,1,1,depth
J,CoI,5,0,0,0,0,5,depth
J,CrI,18,2,0,1,2,16,depth
J,FeI,104,21,0,19,34,70,gof
J,HI,1,0,0,0,0,1,depth
J,KI,2,0,0,0,0,2,depth
J,MgI,14,6,2,5,6,8,depth
J,MnI,3,0,0,0,0,3,purity
J,NaI,5,0,0,0,0,5,depth
J,NiI,19,1,1,0,1,18,purity
J,OI,1,0,0,0,0,1,depth
J,SiI,43,16,5,12,24,19,gof
J,TiI,38,2,0,3,11,27,purity
J,ZnI,2,1,1,0,1,1,depth
Y,AlI,2,0,0,0,0,2,depth
Y,CI,8,7,4,0,8,0,
Y,CaI,6,1,0,2,2,4,depth
Y,CaII,3,0,0,0,1,2,purity
Y,CeII,3,0,0,0,0,3,depth
Y,CoI,8,0,0,0,0,8,depth
Y,CrI,15,5,1,6,8,7,depth
Y,DyII,1,0,0,0,0,1,depth
Y,EuII,1,0,0,0,0,1,depth
Y,FeI,141,0,6,46,64,77,saturation
Y,FeII,5,0,2,0,3,2,depth
Y,HI,1,0,0,0,0,1,gof
Y,MgI,6,2,1,0,4,2,depth
Y,MgII,1,0,0,0,0,1,depth
Y,NI,3,0,2,0,2,1,depth
Y,NaI,2,0,0,0,0,2,purity
Y,NiI,16,2,1,1,2,14,purity
Y,PI,6,2,5,0,5,1,depth
Y,SI,4,2,2,2,3,1,depth
Y,SiI,39,18,9,12,24,15,purity
Y,SrII,2,1,0,1,2,0,
Y,TiI,44,2,0,12,25,19,depth
Y,YII,4,0,0,0,0,4,depth
Y,ZrI,2,0,0,0,0,2,depth
