band,species,element,wavelength_A,lower_ep_eV,elgueta_loggf,c6,procyon_Fd_depth,procyon_Fd_sat,procyon_Fd_pur,procyon_Fd_gof,procyon_Fd_rob,sun_Gd_depth,sun_Gd_sat,sun_Gd_pur,sun_Gd_gof,sun_Gd_rob,eps_eri_Kd_depth,eps_eri_Kd_sat,eps_eri_Kd_pur,eps_eri_Kd_gof,eps_eri_Kd_rob,beta_hyi_FGKsg_depth,beta_hyi_FGKsg_sat,beta_hyi_FGKsg_pur,beta_hyi_FGKsg_gof,beta_hyi_FGKsg_rob,arcturus_FGKg_depth,arcturus_FGKg_sat,arcturus_FGKg_pur,arcturus_FGKg_gof,arcturus_FGKg_rob,gamma_sge_Mg_depth,gamma_sge_Mg_sat,gamma_sge_Mg_pur,gamma_sge_Mg_gof,gamma_sge_Mg_rob,robust_any,source_file,source_md5,doi,canonical_line_id,canonical_loggf,canonical_source,canonical_grade,delta_loggf,match_status,primary_source_trace,action
Y,FeI,Fe,9811.504,5.012,-1.362,-7.54,N, , , ,N, , , , , ,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,True,atomicy.dat,d068e93c574645a644872cb252697268,10.1051/0004-6361/202659148,gf_167312,-1.362,VALD3,VALD3,0.0,PHYSICAL_KEY_UNIQUE,UNTRACED_ELGUETA_TABLE_HAS_NO_GF_REFERENCE,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,Fe,9820.241,2.424,-5.073,-7.78, , , , , , , , , , ,Y,Y,Y,Y,Y, , , , , ,Y,Y,Y,Y,Y,Y,Y,Y,N,N,True,atomicy.dat,d068e93c574645a644872cb252697268,10.1051/0004-6361/202659148,,,,,,NO_PHYSICAL_KEY_MATCH,UNTRACED_ELGUETA_TABLE_HAS_NO_GF_REFERENCE,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,MgI,Mg,9828.132,5.933,-1.89,0.0, , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y,Y, , , , , ,True,atomicy.dat,d068e93c574645a644872cb252697268,10.1051/0004-6361/202659148,gf_167314,-1.89,VALD3,VALD3,0.0,PHYSICAL_KEY_UNIQUE,UNTRACED_ELGUETA_TABLE_HAS_NO_GF_REFERENCE,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,TiI,Ti,9832.14,1.887,-1.13,-7.634, , , , , ,Y,Y,Y,Y,Y,Y,Y,Y,N,N, , , , , ,Y,Y,Y,Y,Y,Y,Y,Y,N,N,True,atomicy.dat,d068e93c574645a644872cb252697268,10.1051/0004-6361/202659148,gf_167315,-1.13,VALD3,VALD3,0.0,PHYSICAL_KEY_UNIQUE,UNTRACED_ELGUETA_TABLE_HAS_NO_GF_REFERENCE,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,Fe,9834.185,4.991,-1.214,-7.55,Y,Y,Y,Y,Y, , , , , ,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y, , , , , ,Y,Y,U,N,N,True,atomicy.dat,d068e93c574645a644872cb252697268,10.1051/0004-6361/202659148,gf_167316,-1.214,VALD3,VALD3,0.0,PHYSICAL_KEY_UNIQUE,UNTRACED_ELGUETA_TABLE_HAS_NO_GF_REFERENCE,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,SiI,Si,9839.328,6.083,-1.726,-7.2,Y,Y,Y,Y,Y,Y,Y,U,Y,N,Y,Y,N, ,N,N, , , ,N, , , , , , , , , , ,True,atomicy.dat,d068e93c574645a644872cb252697268,10.1051/0004-6361/202659148,gf_167317,-1.726,VALD3,VALD3,0.0,PHYSICAL_KEY_UNIQUE,UNTRACED_ELGUETA_TABLE_HAS_NO_GF_REFERENCE,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,CaII,Ca,9854.759,7.505,-0.205,-7.43,Y,Y,Y,Y,N, , , , , ,N, , , ,N,Y,Y,Y,Y,Y, , , , , , , , , , ,True,atomicy.dat,d068e93c574645a644872cb252697268,10.1051/0004-6361/202659148,gf_167318,-0.205,VALD3,VALD3,0.0,PHYSICAL_KEY_UNIQUE,UNTRACED_ELGUETA_TABLE_HAS_NO_GF_REFERENCE,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,Fe,9861.734,5.064,-0.142,-7.55,Y,Y,Y,N,N, , , , , ,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,U,N,N,Y,Y,U,Y,N,True,atomicy.dat,d068e93c574645a644872cb252697268,10.1051/0004-6361/202659148,gf_167319,-0.142,VALD3,VALD3,0.0,PHYSICAL_KEY_UNIQUE,UNTRACED_ELGUETA_TABLE_HAS_NO_GF_REFERENCE,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,Fe,9868.186,5.086,-0.979,-7.54,Y,Y,Y,Y,Y, , , , , ,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,True,atomicy.dat,d068e93c574645a644872cb252697268,10.1051/0004-6361/202659148,gf_167320,-0.979,VALD3,VALD3,0.0,PHYSICAL_KEY_UNIQUE,UNTRACED_ELGUETA_TABLE_HAS_NO_GF_REFERENCE,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,SiI,Si,9872.207,6.616,-1.102,-6.86,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N, , , ,N,Y,Y,Y,N,N,N, , , ,N, , , , , ,True,atomicy.dat,d068e93c574645a644872cb252697268,10.1051/0004-6361/202659148,gf_167321,-1.102,VALD3,VALD3,0.0,PHYSICAL_KEY_UNIQUE,UNTRACED_ELGUETA_TABLE_HAS_NO_GF_REFERENCE,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,TiI,Ti,9879.582,1.873,-2.4,-7.75, , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,True,atomicy.dat,d068e93c574645a644872cb252697268,10.1051/0004-6361/202659148,,,,,,NO_PHYSICAL_KEY_MATCH,UNTRACED_ELGUETA_TABLE_HAS_NO_GF_REFERENCE,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,Fe,9881.522,4.584,-1.711,-7.81, , , , , , , , , , ,Y,Y,U,Y,N,Y,Y,Y,Y,Y,Y,Y,N, ,N,Y,Y,N, ,N,True,atomicy.dat,d068e93c574645a644872cb252697268,10.1051/0004-6361/202659148,gf_167322,-1.711,VALD3,VALD3,0.0,PHYSICAL_KEY_UNIQUE,UNTRACED_ELGUETA_TABLE_HAS_NO_GF_REFERENCE,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,Fe,9886.081,5.012,-1.953,-7.54, , , , , , , , , , ,Y,Y,Y,Y,Y,N, , , ,N,Y,Y,U,Y,N,Y,Y,U,Y,N,True,atomicy.dat,d068e93c574645a644872cb252697268,10.1051/0004-6361/202659148,,,,,,NO_PHYSICAL_KEY_MATCH,UNTRACED_ELGUETA_TABLE_HAS_NO_GF_REFERENCE,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,SiI,Si,9887.047,6.223,-1.326,-7.17,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,U,Y,N,Y,Y,Y,Y,Y,N, , , ,N, , , , , ,True,atomicy.dat,d068e93c574645a644872cb252697268,10.1051/0004-6361/202659148,gf_167323,-1.326,VALD3,VALD3,0.0,PHYSICAL_KEY_UNIQUE,UNTRACED_ELGUETA_TABLE_HAS_NO_GF_REFERENCE,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,Fe,9889.035,5.033,-0.446,-7.54,Y,Y,Y,Y,N, , , , , ,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,True,atomicy.dat,d068e93c574645a644872cb252697268,10.1051/0004-6361/202659148,gf_167324,-0.446,VALD3,VALD3,0.0,PHYSICAL_KEY_UNIQUE,UNTRACED_ELGUETA_TABLE_HAS_NO_GF_REFERENCE,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,SiI,Si,9891.725,6.125,-1.321,-7.2,N, , , ,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N, , , ,N,Y,Y,N, ,N, , , , , ,True,atomicy.dat,d068e93c574645a644872cb252697268,10.1051/0004-6361/202659148,gf_167326,-1.321,VALD3,VALD3,0.0,PHYSICAL_KEY_UNIQUE,UNTRACED_ELGUETA_TABLE_HAS_NO_GF_REFERENCE,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,NiI,Ni,9898.928,4.236,-1.249,-7.56,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , ,N, , , ,N,True,atomicy.dat,d068e93c574645a644872cb252697268,10.1051/0004-6361/202659148,gf_167328,-1.249,VALD3,VALD3,0.0,PHYSICAL_KEY_UNIQUE,UNTRACED_ELGUETA_TABLE_HAS_NO_GF_REFERENCE,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,TiI,Ti,9927.35,1.879,-1.29,-7.637, , , , , ,N, , , ,N,Y,Y,Y,Y,Y,N, , , ,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,True,atomicy.dat,d068e93c574645a644872cb252697268,10.1051/0004-6361/202659148,gf_167331,-1.29,VALD3,VALD3,0.0,PHYSICAL_KEY_UNIQUE,UNTRACED_ELGUETA_TABLE_HAS_NO_GF_REFERENCE,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,Fe,9937.09,4.593,-2.442,-7.82, , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,True,atomicy.dat,d068e93c574645a644872cb252697268,10.1051/0004-6361/202659148,,,,,,NO_PHYSICAL_KEY_MATCH,UNTRACED_ELGUETA_TABLE_HAS_NO_GF_REFERENCE,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,Fe,9944.207,5.012,-1.338,-7.55,Y,Y,Y,Y,Y, , , , , ,N, , , ,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,U,N,N,True,atomicy.dat,d068e93c574645a644872cb252697268,10.1051/0004-6361/202659148,gf_167334,-1.28,PRIMARY LAB DenHartog2014,LAB,-0.05800000000000005,PHYSICAL_KEY_UNIQUE,UNTRACED_ELGUETA_TABLE_HAS_NO_GF_REFERENCE,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,CrI,Cr,9949.073,3.556,-1.093,-7.78, , , , , ,Y,Y,Y,Y,Y,N, , , ,N, , , , , ,Y,Y,U,N,N, , , , , ,True,atomicy.dat,d068e93c574645a644872cb252697268,10.1051/0004-6361/202659148,gf_167335,-1.093,VALD3,VALD3,0.0,PHYSICAL_KEY_UNIQUE,UNTRACED_ELGUETA_TABLE_HAS_NO_GF_REFERENCE,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,Fe,9951.157,5.393,-1.267,-7.51, , , , , , , , , , ,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,True,atomicy.dat,d068e93c574645a644872cb252697268,10.1051/0004-6361/202659148,gf_167336,-1.267,VALD3,VALD3,0.0,PHYSICAL_KEY_UNIQUE,UNTRACED_ELGUETA_TABLE_HAS_NO_GF_REFERENCE,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,Fe,9953.47,5.446,-1.309,-7.51, , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,True,atomicy.dat,d068e93c574645a644872cb252697268,10.1051/0004-6361/202659148,gf_167337,-1.309,VALD3,VALD3,0.0,PHYSICAL_KEY_UNIQUE,UNTRACED_ELGUETA_TABLE_HAS_NO_GF_REFERENCE,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,SiI,Si,9969.132,6.079,-1.996,-7.23, , , , , ,N, , , ,N, , , , , ,Y,Y,Y,Y,Y, , , , , , , , , , ,True,atomicy.dat,d068e93c574645a644872cb252697268,10.1051/0004-6361/202659148,,,,,,NO_PHYSICAL_KEY_MATCH,UNTRACED_ELGUETA_TABLE_HAS_NO_GF_REFERENCE,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,Fe,9977.641,5.064,-1.66,-7.54, , , , , , , , , , ,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,U,Y,N,Y,Y,U,Y,N,True,atomicy.dat,d068e93c574645a644872cb252697268,10.1051/0004-6361/202659148,gf_167339,-1.66,VALD3,VALD3,0.0,PHYSICAL_KEY_UNIQUE,UNTRACED_ELGUETA_TABLE_HAS_NO_GF_REFERENCE,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,Fe,9980.463,5.033,-1.379,-7.54,Y,Y,Y,Y,Y, , , , , ,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,U,Y,N,True,atomicy.dat,d068e93c574645a644872cb252697268,10.1051/0004-6361/202659148,gf_167340,-1.379,VALD3,VALD3,0.0,PHYSICAL_KEY_UNIQUE,UNTRACED_ELGUETA_TABLE_HAS_NO_GF_REFERENCE,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,TiI,Ti,9981.275,3.113,-0.994,-7.75, , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y,Y,True,atomicy.dat,d068e93c574645a644872cb252697268,10.1051/0004-6361/202659148,,,,,,NO_PHYSICAL_KEY_MATCH,UNTRACED_ELGUETA_TABLE_HAS_NO_GF_REFERENCE,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,MgI,Mg,9986.475,5.932,-1.676,0.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y, , , , , ,Y,Y,Y,Y,Y, , , , , , , , , , ,True,atomicy.dat,d068e93c574645a644872cb252697268,10.1051/0004-6361/202659148,gf_167341,-1.676,VALD3,VALD3,0.0,PHYSICAL_KEY_UNIQUE,UNTRACED_ELGUETA_TABLE_HAS_NO_GF_REFERENCE,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,MgI,Mg,9993.209,5.933,-1.455,0.0,Y,Y,Y,Y,N,Y,Y,Y,Y,Y, , , , , ,Y,Y,Y,Y,Y, , , , , , , , , , ,True,atomicy.dat,d068e93c574645a644872cb252697268,10.1051/0004-6361/202659148,gf_167342,-1.455,VALD3,VALD3,0.0,PHYSICAL_KEY_UNIQUE,UNTRACED_ELGUETA_TABLE_HAS_NO_GF_REFERENCE,TRACE_PRIMARY_GF_BEFORE_PROMOTION
