source_species,species,element,ion_or_molecule,atomic_or_molecular,wavelength_air_A,wavelength_system,excitation_potential_eV,loggf_used,band,crires_setup,stated_gf_source,traced_primary_source,gf_grade,gf_sigma,hfs_isotope_flag,diagnostic_role,source_ref,canonical_match_status,canonical_line_id,canonical_loggf,canonical_gf_tier,canonical_gf_source,delta_loggf,promotion_allowed,action,transferability,route_to,al_classification
Fe I,Fe I,Fe,I,atomic,14988.778,air,6.169,0.186,H,H1582,VALD3,UNTRACED_BEYOND_VALD3,VALD3_FALLBACK,,,atomic abundance line,10.3847/1538-4357/ae7de8,PHYSICAL_KEY_UNIQUE,gf_168775,0.186,KURUCZ,K14,0.0,False,TRACE_PRIMARY_GF_BEFORE_PROMOTION,,,
Fe I,Fe I,Fe,I,atomic,15013.771,air,6.222,0.087,H,H1582,VALD3,UNTRACED_BEYOND_VALD3,VALD3_FALLBACK,,,atomic abundance line,10.3847/1538-4357/ae7de8,PHYSICAL_KEY_UNIQUE,gf_168785,0.087,KURUCZ,K14,0.0,False,TRACE_PRIMARY_GF_BEFORE_PROMOTION,,,
Fe I,Fe I,Fe,I,atomic,15239.712,air,6.419,-0.032,H,H1582,VALD3,UNTRACED_BEYOND_VALD3,VALD3_FALLBACK,,,atomic abundance line,10.3847/1538-4357/ae7de8,PHYSICAL_KEY_UNIQUE,gf_168879,-0.032,KURUCZ,K14,0.0,False,TRACE_PRIMARY_GF_BEFORE_PROMOTION,,,
Fe I,Fe I,Fe,I,atomic,15301.558,air,5.921,-0.687,H,H1582,VALD3,UNTRACED_BEYOND_VALD3,VALD3_FALLBACK,,,atomic abundance line,10.3847/1538-4357/ae7de8,PHYSICAL_KEY_UNIQUE,gf_168911,-0.687,KURUCZ,K14,0.0,False,TRACE_PRIMARY_GF_BEFORE_PROMOTION,,,
Fe I,Fe I,Fe,I,atomic,15343.788,air,5.653,-0.582,H,H1582,VALD3,UNTRACED_BEYOND_VALD3,VALD3_FALLBACK,,,atomic abundance line,10.3847/1538-4357/ae7de8,PHYSICAL_KEY_UNIQUE,gf_168922,-0.582,KURUCZ,K14,0.0,False,TRACE_PRIMARY_GF_BEFORE_PROMOTION,,,
Fe I,Fe I,Fe,I,atomic,15381.96,air,5.979,-0.46,H,H1582,VALD3,UNTRACED_BEYOND_VALD3,VALD3_FALLBACK,,,atomic abundance line,10.3847/1538-4357/ae7de8,PHYSICAL_KEY_UNIQUE,gf_168934,-0.46,KURUCZ,K14,0.0,False,TRACE_PRIMARY_GF_BEFORE_PROMOTION,,,
Fe I,Fe I,Fe,I,atomic,15671.004,air,6.329,-0.221,H,H1582,VALD3,UNTRACED_BEYOND_VALD3,VALD3_FALLBACK,,,atomic abundance line,10.3847/1538-4357/ae7de8,PHYSICAL_KEY_UNIQUE,gf_169072,-0.221,KURUCZ,K14,0.0,False,TRACE_PRIMARY_GF_BEFORE_PROMOTION,,,
Fe I,Fe I,Fe,I,atomic,15723.586,air,5.621,-0.143,H,H1582,VALD3,UNTRACED_BEYOND_VALD3,VALD3_FALLBACK,,,atomic abundance line,10.3847/1538-4357/ae7de8,PHYSICAL_KEY_UNIQUE,gf_169096,-0.143,KURUCZ,K14,0.0,False,TRACE_PRIMARY_GF_BEFORE_PROMOTION,,,
Fe I,Fe I,Fe,I,atomic,15741.917,air,5.653,-0.099,H,H1582,VALD3,UNTRACED_BEYOND_VALD3,VALD3_FALLBACK,,,atomic abundance line,10.3847/1538-4357/ae7de8,PHYSICAL_KEY_UNIQUE,gf_169103,-0.099,KURUCZ,K14,0.0,False,TRACE_PRIMARY_GF_BEFORE_PROMOTION,,,
Fe I,Fe I,Fe,I,atomic,15821.712,air,5.642,-0.792,H,H1582,VALD3,UNTRACED_BEYOND_VALD3,VALD3_FALLBACK,,,atomic abundance line,10.3847/1538-4357/ae7de8,PHYSICAL_KEY_UNIQUE,gf_169141,-0.792,KURUCZ,K14,0.0,False,TRACE_PRIMARY_GF_BEFORE_PROMOTION,,,
