band,species,wavelength_A,lower_ep_eV,elgueta_loggf,gd_depth,gd_saturation,gd_purity,gd_gof,gd_robust,elgueta_status,failure_reasons,canonical_match,canonical_line_id,canonical_grade,canonical_gf_source,gf_sigma_dex,gradeable_currently,in_current_main_rya904,in_recent_rya1054_commit,implementation_artifact,conditioned_spectrum_reaches,coverage_note,gap_class,recommended_next_action
J,FeI,12053.082,4.559,-1.543,Y,Y,Y,Y,Y,robust,,True,gf_167648,VALD3,VALD3,,True,False,False,,False,no conditioned J derivative in current main,NOT_REACHED_OR_UNCONDITIONED,measurement_required
J,FeI,12190.098,3.635,-2.33,Y,Y,Y,Y,Y,robust,,True,gf_167663,VALD3,VALD3,,True,False,False,,False,no conditioned J derivative in current main,NOT_REACHED_OR_UNCONDITIONED,measurement_required
J,FeI,12227.112,4.607,-1.368,Y,Y,Y,Y,Y,robust,,True,gf_167668,VALD3,VALD3,,False,False,False,,False,no conditioned J derivative in current main,NOT_REACHED_OR_UNCONDITIONED,condition_and_measure
J,FeI,12283.298,6.169,-0.537,Y,Y,Y,Y,Y,robust,,True,gf_167671,VALD3,VALD3,,False,False,False,,False,no conditioned J derivative in current main,NOT_REACHED_OR_UNCONDITIONED,condition_and_measure
J,FeI,12297.197,6.325,-0.278,Y,Y,Y,Y,Y,robust,,True,gf_167672,VALD3,VALD3,,False,False,False,,False,no conditioned J derivative in current main,NOT_REACHED_OR_UNCONDITIONED,condition_and_measure
J,FeI,12342.916,4.638,-1.463,Y,Y,Y,Y,Y,robust,,True,gf_167677,VALD3,VALD3,,False,False,False,,False,no conditioned J derivative in current main,NOT_REACHED_OR_UNCONDITIONED,condition_and_measure
J,FeI,12556.996,2.279,-3.626,Y,Y,Y,Y,Y,robust,,True,gf_167696,VALD3,VALD3,0.0719,True,False,False,,False,no conditioned J derivative in current main,NOT_REACHED_OR_UNCONDITIONED,measurement_required
J,FeI,12615.928,4.638,-1.517,Y,Y,Y,Y,Y,robust,,True,gf_167705,VALD3,VALD3,,False,False,False,,False,no conditioned J derivative in current main,NOT_REACHED_OR_UNCONDITIONED,condition_and_measure
J,FeI,12638.703,4.559,-0.783,Y,Y,Y,Y,Y,robust,,True,gf_167707,VALD3,VALD3,,False,False,False,,False,no conditioned J derivative in current main,NOT_REACHED_OR_UNCONDITIONED,condition_and_measure
J,FeI,12648.741,4.607,-1.14,Y,Y,Y,Y,Y,robust,,True,gf_167708,VALD3,VALD3,0.0719,True,False,False,,False,no conditioned J derivative in current main,NOT_REACHED_OR_UNCONDITIONED,measurement_required
J,FeI,12807.152,3.64,-2.452,Y,Y,Y,Y,Y,robust,,True,gf_167715,VALD3,VALD3,,False,False,False,,False,no conditioned J derivative in current main,NOT_REACHED_OR_UNCONDITIONED,condition_and_measure
J,FeI,12808.243,4.988,-1.362,Y,Y,Y,Y,Y,robust,,True,gf_167716,VALD3,VALD3,,False,False,False,,False,no conditioned J derivative in current main,NOT_REACHED_OR_UNCONDITIONED,condition_and_measure
J,FeI,12840.574,4.956,-1.329,Y,Y,Y,Y,Y,robust,,True,gf_167723,VALD3,VALD3,,False,False,False,,False,no conditioned J derivative in current main,NOT_REACHED_OR_UNCONDITIONED,condition_and_measure
J,FeI,12879.766,2.279,-3.458,Y,Y,Y,Y,Y,robust,,True,gf_167728,VALD3,VALD3,0.0719,True,False,False,,False,no conditioned J derivative in current main,NOT_REACHED_OR_UNCONDITIONED,measurement_required
J,FeI,12896.118,4.913,-1.424,Y,Y,Y,Y,Y,robust,,True,gf_167729,VALD3,VALD3,,False,False,False,,False,no conditioned J derivative in current main,NOT_REACHED_OR_UNCONDITIONED,condition_and_measure
J,FeI,12933.006,5.02,-1.548,Y,Y,Y,Y,Y,robust,,True,gf_167734,VALD3,VALD3,,False,False,False,,False,no conditioned J derivative in current main,NOT_REACHED_OR_UNCONDITIONED,condition_and_measure
J,FeI,12934.666,5.393,-0.948,Y,Y,Y,Y,Y,robust,,True,gf_167735,VALD3,VALD3,,False,False,False,,False,no conditioned J derivative in current main,NOT_REACHED_OR_UNCONDITIONED,condition_and_measure
J,FeI,13014.841,5.446,-1.693,Y,Y,Y,Y,Y,robust,,True,gf_168314,KURUCZ,K14,,False,False,False,,False,no conditioned J derivative in current main,NOT_REACHED_OR_UNCONDITIONED,condition_and_measure
J,FeI,13039.647,5.655,-0.731,Y,Y,Y,Y,Y,robust,,True,gf_168315,KURUCZ,K14,,False,False,False,,False,no conditioned J derivative in current main,NOT_REACHED_OR_UNCONDITIONED,condition_and_measure
J,FeI,13098.876,5.01,-1.29,Y,Y,Y,Y,Y,robust,,True,gf_168318,KURUCZ,K14,,False,False,False,,False,no conditioned J derivative in current main,NOT_REACHED_OR_UNCONDITIONED,condition_and_measure
J,FeI,13147.92,5.393,-0.814,Y,Y,Y,Y,Y,robust,,True,gf_168323,KURUCZ,K14,,False,False,False,,False,no conditioned J derivative in current main,NOT_REACHED_OR_UNCONDITIONED,condition_and_measure
H,FeI,16042.716,6.266,0.353,Y,Y,Y,Y,Y,robust,,True,gf_169280,KURUCZ,K14,,False,False,False,,False,no conditioned H derivative in current main,NOT_REACHED_OR_UNCONDITIONED,condition_and_measure
H,FeI,16051.734,6.264,-0.942,Y,Y,Y,Y,Y,robust,,True,gf_169286,KURUCZ,K14,,False,False,False,,False,no conditioned H derivative in current main,NOT_REACHED_OR_UNCONDITIONED,condition_and_measure
H,FeI,16070.18,5.956,-0.569,Y,Y,Y,Y,Y,robust,,True,gf_169292,KURUCZ,K14,,False,False,False,,False,no conditioned H derivative in current main,NOT_REACHED_OR_UNCONDITIONED,condition_and_measure
