species,canonical_uv_rows,lab_rows,nist_cplus_rows,vald3_rows,verdict,route
Fe I,4274,59,501,3610,PARTIAL_PRIMARY_LAB,KEEP_CURRENT_AND_AUDIT_GAPS
Ce II,2082,0,0,2082,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Cr I,1629,0,0,1629,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Co I,1042,0,0,1042,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Ti I,972,0,0,972,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Mn I,913,0,0,913,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Cr II,826,0,0,826,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Ni I,680,0,0,680,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Fe II,665,12,35,618,PARTIAL_PRIMARY_LAB,KEEP_CURRENT_AND_AUDIT_GAPS
V I,661,0,0,661,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
V II,547,0,0,547,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Ti II,523,0,0,523,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Mn II,450,0,0,450,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Th II,439,0,0,439,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Dy II,437,0,0,437,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Sm II,380,0,0,380,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Gd II,285,0,0,285,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Er II,283,0,0,283,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Zr II,247,0,0,247,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Nd II,245,0,0,245,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Ru I,227,0,0,227,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Mo I,212,0,0,212,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Os I,194,0,0,194,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Cu I,188,0,0,188,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Ca I,184,0,0,184,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Nb II,162,0,0,162,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Nb I,145,0,0,145,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Sc I,143,0,0,143,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
W I,140,0,0,140,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Tm II,121,0,0,121,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Tb II,116,0,0,116,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Y II,115,0,0,115,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Rh I,114,0,0,114,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Co II,110,0,0,110,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Ir I,107,0,0,107,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Hf II,103,0,0,103,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Re I,102,0,0,102,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Sc II,96,0,0,96,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Yb II,94,0,0,94,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Zr I,92,0,0,92,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
U II,85,0,0,85,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Hf I,81,0,0,81,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Mo II,72,0,0,72,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Eu II,52,0,0,52,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Y I,51,0,0,51,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Ca II,42,0,0,42,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Ni II,40,0,0,40,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Ta II,37,0,0,37,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Pt I,35,0,0,35,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
W II,34,0,0,34,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
La II,33,0,0,33,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Ta I,28,0,0,28,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Pd I,26,0,0,26,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
S I,23,0,0,23,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Si I,21,0,0,21,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Gd I,20,0,0,20,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Ru II,20,0,0,20,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Rh II,17,0,0,17,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Ho II,13,0,0,13,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Dy I,11,0,0,11,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Lu II,11,0,0,11,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Mg I,11,0,0,11,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Al I,10,0,0,10,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Er I,10,0,0,10,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Mg II,10,0,0,10,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
