wavelength_air_A,verdict,disposition,depth,transmission_min,clean_max_depth,saturated_min_depth,snr_continuum,corrected,reason
6916.6800,CLEAN,MEASURE,0.000000,1.000000,0.000723,0.979070,1382.4,False,
6945.2040,CLEAN,MEASURE,0.000000,1.000000,0.000723,0.979070,1382.4,False,
6971.9320,CLEAN,MEASURE,0.000000,1.000000,0.000723,0.979070,1382.4,False,
6977.4290,CLEAN,MEASURE,0.000000,1.000000,0.000723,0.979070,1382.4,False,
6978.8510,CLEAN,MEASURE,0.000000,1.000000,0.000723,0.979070,1382.4,False,
6999.8830,CLEAN,MEASURE,0.000000,1.000000,0.000723,0.979070,1382.4,False,
7000.6150,CLEAN,MEASURE,0.000000,1.000000,0.000723,0.979070,1382.4,False,
7007.9660,CLEAN,MEASURE,0.000000,1.000000,0.000723,0.979070,1382.4,False,
7016.3900,CLEAN,MEASURE,0.000000,1.000000,0.000723,0.979070,1382.4,False,
7022.9520,CLEAN,MEASURE,0.000000,1.000000,0.000723,0.979070,1382.4,False,
7024.6410,CLEAN,MEASURE,0.000000,1.000000,0.000723,0.979070,1382.4,False,
7071.8600,CLEAN,MEASURE,0.000000,1.000000,0.000723,0.979070,1382.4,False,
7130.9210,CLEAN,MEASURE,0.000000,1.000000,0.000723,0.979070,1382.4,False,
7401.6830,CLEAN,MEASURE,0.000000,1.000000,0.000723,0.979070,1382.4,False,
7411.1530,CLEAN,MEASURE,0.000000,1.000000,0.000723,0.979070,1382.4,False,
7418.6670,CLEAN,MEASURE,0.000000,1.000000,0.000723,0.979070,1382.4,False,
7443.0220,CLEAN,MEASURE,0.000000,1.000000,0.000723,0.979070,1382.4,False,
7445.7490,CLEAN,MEASURE,0.000000,1.000000,0.000723,0.979070,1382.4,False,
7491.6470,CLEAN,MEASURE,0.000000,1.000000,0.000723,0.979070,1382.4,False,
7495.0660,CLEAN,MEASURE,0.000000,1.000000,0.000723,0.979070,1382.4,False,
7511.0190,CLEAN,MEASURE,0.000000,1.000000,0.000723,0.979070,1382.4,False,
7568.8990,CLEAN,MEASURE,0.000000,1.000000,0.000723,0.979070,1382.4,False,
