line_id,physical_id,key_z,ion,species,wavelength_air_A,excitation_potential_eV,hfs_n_components,log_gf,loggf_reference,nist_grade,seed_source,adjudication_status,gf_synth_ges,gf_regions_vald,gf_linelist_vald,in_synth,in_regions,in_linelist,delta_synth_minus_ew,lab_source_tag,gf_sigma_dex,gf_source_doi,is_diagnostic,gf_tier,diagnostic_excluded_by_registry,w,band,depth,tier,ionx
gf_145981,pk_6e41a12859a1,26,2.0,Fe II,3002.644,1.6953,1,-0.87,PRIMARY LAB DenHartog2019,,nearuv_vald(RYA-759),lab_rya945,,,-0.93,False,False,True,,DH19,0.04,10.3847/1538-4365/ab322e,True,LAB,False,3002.644,near-UV,0.992,DEEPGRADED,2.0
gf_146700,pk_c1ed3e3a3d1c,26,1.0,Fe I,3026.056,2.1759,1,-2.077,PRIMARY LAB Belmonte2017,,nearuv_vald(RYA-759),lab_rya945,,,-5.038,False,False,True,,BEL17,0.1,10.3847/1538-4357/aa8cd3,True,LAB,False,3026.056,near-UV,0.033,below floor,1.0
gf_147951,pk_304954604524,26,1.0,Fe I,3067.244,0.9146,1,-0.42,PRIMARY LAB Belmonte2017,C+,nearuv_vald(RYA-759),lab_rya945,,,-0.511,False,False,True,,BEL17,0.03,10.3847/1538-4357/aa8cd3,False,LAB,False,3067.244,near-UV,0.994,DEEPGRADED,1.0
gf_148480,pk_724e90ec9345,26,1.0,Fe I,3083.741,0.9901,1,-1.0,PRIMARY LAB Belmonte2017,C+,nearuv_vald(RYA-759),lab_rya945,,,-0.8800000000000001,False,False,True,,BEL17,0.03,10.3847/1538-4357/aa8cd3,False,LAB,False,3083.741,near-UV,0.992,DEEPGRADED,1.0
gf_148988,pk_5c7e148ac692,26,1.0,Fe I,3099.894,1.0111,1,-1.19,PRIMARY LAB Belmonte2017,C+,nearuv_vald(RYA-759),lab_rya945,,,-1.079,False,False,True,,BEL17,0.03,10.3847/1538-4357/aa8cd3,False,LAB,False,3099.894,near-UV,0.992,DEEPGRADED,1.0
gf_149014,pk_61a4f026ed44,26,1.0,Fe I,3100.665,0.9582,1,-0.85,PRIMARY LAB Belmonte2017,C,nearuv_vald(RYA-759),lab_rya945,,,-0.866,False,False,True,,BEL17,0.03,10.3847/1538-4357/aa8cd3,False,LAB,False,3100.665,near-UV,0.992,DEEPGRADED,1.0
gf_149754,pk_61a9eddd2f6b,26,1.0,Fe I,3125.651,0.9901,1,-1.71,PRIMARY LAB Belmonte2017,C,nearuv_vald(RYA-759),lab_rya945,,,-1.663,False,False,True,,BEL17,0.04,10.3847/1538-4357/aa8cd3,False,LAB,False,3125.651,near-UV,0.987,DEEPGRADED,1.0
gf_151098,pk_9b85a1408c07,26,2.0,Fe II,3170.337,1.6953,1,-2.38,PRIMARY LAB DenHartog2019,,nearuv_vald(RYA-759),lab_rya945,,,-2.42,False,False,True,,DH19,0.07,10.3847/1538-4365/ab322e,True,LAB,False,3170.337,near-UV,0.966,DEEPGRADED,2.0
gf_151454,pk_61d3f8242dfd,26,2.0,Fe II,3183.114,1.6953,1,-2.01,PRIMARY LAB DenHartog2019,,nearuv_vald(RYA-759),lab_rya945,,,-2.0,False,False,True,,DH19,0.04,10.3847/1538-4365/ab322e,True,LAB,False,3183.114,near-UV,0.975,DEEPGRADED,2.0
gf_151571,pk_27a007d728be,26,2.0,Fe II,3186.737,1.6953,1,-1.64,PRIMARY LAB DenHartog2019,,nearuv_vald(RYA-759),lab_rya945,,,-1.67,False,False,True,,DH19,0.03,10.3847/1538-4365/ab322e,True,LAB,False,3186.737,near-UV,0.981,DEEPGRADED,2.0
gf_151748,pk_49532a81af69,26,2.0,Fe II,3192.909,1.6706,1,-1.9,PRIMARY LAB DenHartog2019,,nearuv_vald(RYA-759),lab_rya945,,,-1.915,False,False,True,,DH19,0.04,10.3847/1538-4365/ab322e,True,LAB,False,3192.909,near-UV,0.977,DEEPGRADED,2.0
