w,ionx,excitation_potential_eV,log_gf,depth,tier,loggf_reference,nist_grade
14679.831,1.0,6.2416,-0.22,0.173,GRADED,PRIMARY LAB Ruffoni2013,
14826.408,1.0,5.3085,0.24,0.471,GRADED,PRIMARY LAB Ruffoni2013,
15051.749,1.0,5.3516,0.25,0.473,GRADED,PRIMARY LAB Ruffoni2013,
15080.22,1.0,6.264,-1.03,0.097,GRADED,PRIMARY LAB Ruffoni2013,
15207.526,1.0,5.3852,0.2,0.467,GRADED,PRIMARY LAB Ruffoni2013,
15294.56,1.0,5.3085,0.59,0.508,GRADED,PRIMARY LAB Ruffoni2013,
15335.383,1.0,5.4099,-0.03,0.451,GRADED,PRIMARY LAB Ruffoni2013,
15591.49,1.0,6.2416,0.9,0.448,GRADED,PRIMARY LAB Ruffoni2013,
15604.22,1.0,6.2416,0.77,0.414,GRADED,PRIMARY LAB Ruffoni2013,
15631.947,1.0,5.3516,0.01,0.469,GRADED,PRIMARY LAB Ruffoni2013,
15648.51,1.0,5.426,-0.61,0.373,GRADED,PRIMARY LAB Ruffoni2013,
15682.016,1.0,5.4099,-2.31,0.095,GRADED,PRIMARY LAB Ruffoni2013,
15691.853,1.0,6.2461,0.65,0.429,GRADED,PRIMARY LAB Ruffoni2013,
15692.747,1.0,5.3852,-0.53,0.416,GRADED,PRIMARY LAB Ruffoni2013,
15835.165,1.0,6.3025,0.71,0.437,GRADED,PRIMARY LAB Ruffoni2013,
16009.61,1.0,5.426,-0.48,0.407,GRADED,PRIMARY LAB Ruffoni2013,
16153.247,1.0,5.3516,-0.65,0.388,GRADED,PRIMARY LAB Ruffoni2013,
16165.029,1.0,6.3192,0.89,0.466,GRADED,PRIMARY LAB Ruffoni2013,
16179.583,1.0,6.3192,0.15,0.382,GRADED,PRIMARY LAB Ruffoni2013,
16198.502,1.0,5.4099,-0.48,0.418,GRADED,PRIMARY LAB Ruffoni2013,
16324.451,1.0,5.3852,-0.59,0.409,GRADED,PRIMARY LAB Ruffoni2013,
16382.251,1.0,6.28,0.35,0.412,GRADED,PRIMARY LAB Ruffoni2013,
16396.306,1.0,6.28,-0.58,0.203,GRADED,PRIMARY LAB Ruffoni2013,
16537.994,1.0,6.2865,-0.53,0.118,GRADED,PRIMARY LAB Ruffoni2013,
16541.962,1.0,6.336,-0.33,0.361,GRADED,PRIMARY LAB Ruffoni2013,
16892.361,1.0,6.3515,-0.59,0.125,GRADED,PRIMARY LAB Ruffoni2013,
17277.479,1.0,6.3192,-0.56,0.185,GRADED,PRIMARY LAB Ruffoni2013,
