canonical_line_id,physical_transition_id,species,ion,wavelength_air_A,medium,excitation_potential_eV,loggf,gf_sigma_dex,nist_grade,gf_tier,source_class,adopted_source,source_doi,source_set_membership,hfs_isotope_status,intake_status,notes
gf_001511,pk_eb278f6c972c,C I,1.0,4209.717,air,7.946,-4.769,,,KURUCZ,FALLBACK,K10,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_001512,pk_470955ee454d,C I,1.0,4209.913,air,7.946,-4.82,,,KURUCZ,FALLBACK,K10,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_001513,pk_562e6a2b0031,C I,1.0,4212.347,air,7.946,-3.698,,,KURUCZ,FALLBACK,K10,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_001514,pk_d4586d693d44,C I,1.0,4221.107,air,7.483,-4.747,,,KURUCZ,FALLBACK,K10,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_001515,pk_0c6a7c7f06ae,C I,1.0,4222.471,air,7.946,-3.875,,,KURUCZ,FALLBACK,K10,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_001516,pk_1c211345d422,C I,1.0,4223.1509,air,7.946,-3.793,,,KURUCZ,FALLBACK,K10,,synth,HFS_OR_ISOTOPE_COMPONENTS,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_001517,pk_73b99d54e96a,C I,1.0,4223.362,air,7.946,-3.95,,,KURUCZ,FALLBACK,K10,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_001518,pk_fcc3614c4413,C I,1.0,4228.326,air,7.685,-1.914,,,KURUCZ,FALLBACK,K10,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_001519,pk_6a6b9a170f8e,C I,1.0,4232.49,air,7.488,-4.308,,,KURUCZ,FALLBACK,K10,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_001520,pk_d85e177b075c,C I,1.0,4269.019,air,7.685,-1.637,,,KURUCZ,FALLBACK,K10,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_001521,pk_8c843f89f8f9,C I,1.0,4299.648,air,7.946,-4.408,,,KURUCZ,FALLBACK,K10,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_001522,pk_aebee07ee11d,C I,1.0,4305.083,air,7.685,-4.221,,,KURUCZ,FALLBACK,K10,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_001523,pk_7e0823786793,C I,1.0,4307.808,air,7.685,-4.188,,,KURUCZ,FALLBACK,K10,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_001524,pk_ddde6e2c4a67,C I,1.0,4311.401,air,7.685,-4.375,,,KURUCZ,FALLBACK,K10,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
