canonical_line_id,physical_transition_id,species,ion,wavelength_air_A,medium,excitation_potential_eV,loggf,gf_sigma_dex,nist_grade,gf_tier,source_class,adopted_source,source_doi,source_set_membership,hfs_isotope_status,intake_status,notes
gf_165007,pk_1cdd19e1b14b,O I,1.0,3692.395,air,9.5214,-3.022,,,VALD3,FALLBACK,VALD3,,linelist,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_108710,pk_43f81892fc2b,O I,1.0,3947.295,air,9.1461,-2.095,,,VALD3,FALLBACK,VALD3,,linelist,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_108711,pk_825adf7d65e0,O I,1.0,3947.481,air,9.1461,-2.244,,,VALD3,FALLBACK,VALD3,,linelist,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_108712,pk_2908f1f52c3e,O I,1.0,3947.586,air,9.1461,-2.467,,,VALD3,FALLBACK,VALD3,,linelist,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_108713,pk_6ae7ee273ed9,O I,1.0,4368.2419,air,9.521,-1.709,,,OTHER,OTHER_COMPILED_OR_THEORETICAL,NIST10,,synth|linelist,HFS_OR_ISOTOPE_COMPONENTS,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_108714,pk_143cdfa78e35,O I,1.0,4531.278,air,10.74,-2.92,,,OTHER,OTHER_COMPILED_OR_THEORETICAL,KP,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_108715,pk_b7fbc4785db9,O I,1.0,4531.693,air,10.741,-2.69,,,OTHER,OTHER_COMPILED_OR_THEORETICAL,KP,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_108716,pk_52670c168831,O I,1.0,4588.767,air,10.74,-2.76,,,OTHER,OTHER_COMPILED_OR_THEORETICAL,KP,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_108717,pk_619c8f46d0f4,O I,1.0,4589.192,air,10.741,-2.54,,,OTHER,OTHER_COMPILED_OR_THEORETICAL,KP,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_108718,pk_03bba3112766,O I,1.0,4589.967,air,10.741,-2.39,,,OTHER,OTHER_COMPILED_OR_THEORETICAL,KP,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_108719,pk_1241db3c185f,O I,1.0,4654.1182,air,10.74,-2.155,,,OTHER,OTHER_COMPILED_OR_THEORETICAL,NIST10,,synth,HFS_OR_ISOTOPE_COMPONENTS,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_108720,pk_66b182655f6d,O I,1.0,4654.558,air,10.741,-1.9331,,,OTHER,OTHER_COMPILED_OR_THEORETICAL,NIST10,,synth,HFS_OR_ISOTOPE_COMPONENTS,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_108721,pk_404a686fdfe4,O I,1.0,4655.3567,air,10.741,-1.7876,,,OTHER,OTHER_COMPILED_OR_THEORETICAL,NIST10,,synth,HFS_OR_ISOTOPE_COMPONENTS,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_108722,pk_5491d1d3f769,O I,1.0,4672.541,air,10.74,-2.59,,,OTHER,OTHER_COMPILED_OR_THEORETICAL,KP,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_108723,pk_1e9b684dad0a,O I,1.0,4672.982,air,10.741,-2.36,,,OTHER,OTHER_COMPILED_OR_THEORETICAL,KP,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_108724,pk_ccbe4e5b901b,O I,1.0,4673.785,air,10.741,-2.22,,,OTHER,OTHER_COMPILED_OR_THEORETICAL,KP,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_108725,pk_2c5df40d8c42,O I,1.0,4772.4495,air,10.74,-1.9221,,,OTHER,OTHER_COMPILED_OR_THEORETICAL,NIST10,,synth,HFS_OR_ISOTOPE_COMPONENTS,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_108726,pk_e76ba341ca4d,O I,1.0,4772.9125,air,10.741,-1.7005,,,OTHER,OTHER_COMPILED_OR_THEORETICAL,NIST10,,synth,HFS_OR_ISOTOPE_COMPONENTS,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
