species,rows,gf_authority,compilation,method,vintage,is_laboratory,evidence,source_document
C I,1320,NIST_MCHF_PARTIAL_UPDATE_2006,"Wiese, W. L. & Fuhr, J. R., 'New Critical Compilations of Atomic Transition Probabilities for Neutral and Singly Ionized Carbon, Nitrogen, and Iron', NASA LAW, February 14-16, 2006, UNLV, Las Vegas","MCHF (multiconfiguration Hartree-Fock), Froese Fischer and coworkers [Froese Fischer (2004); Zatsarinny (2002)]; Breit-Pauli relativistic terms",2006,False,"'We have thus carried out a partial update for the transition probabilities of C I, C II, N I and N II' — 20060052476.pdf",Reference documents/20060052476.pdf
C II,382,NIST_MCHF_PARTIAL_UPDATE_2006,"Wiese, W. L. & Fuhr, J. R., 'New Critical Compilations of Atomic Transition Probabilities for Neutral and Singly Ionized Carbon, Nitrogen, and Iron', NASA LAW, February 14-16, 2006, UNLV, Las Vegas","MCHF (multiconfiguration Hartree-Fock), Froese Fischer and coworkers [Froese Fischer (2004); Zatsarinny (2002)]; Breit-Pauli relativistic terms",2006,False,"'We have thus carried out a partial update for the transition probabilities of C I, C II, N I and N II' — 20060052476.pdf",Reference documents/20060052476.pdf
N I,178,NIST_MCHF_PARTIAL_UPDATE_2006,"Wiese, W. L. & Fuhr, J. R., 'New Critical Compilations of Atomic Transition Probabilities for Neutral and Singly Ionized Carbon, Nitrogen, and Iron', NASA LAW, February 14-16, 2006, UNLV, Las Vegas","MCHF (multiconfiguration Hartree-Fock), Froese Fischer and coworkers [Froese Fischer (2004); Zatsarinny (2002)]; Breit-Pauli relativistic terms",2006,False,"'We have thus carried out a partial update for the transition probabilities of C I, C II, N I and N II' — 20060052476.pdf",Reference documents/20060052476.pdf
N II,220,NIST_MCHF_PARTIAL_UPDATE_2006,"Wiese, W. L. & Fuhr, J. R., 'New Critical Compilations of Atomic Transition Probabilities for Neutral and Singly Ionized Carbon, Nitrogen, and Iron', NASA LAW, February 14-16, 2006, UNLV, Las Vegas","MCHF (multiconfiguration Hartree-Fock), Froese Fischer and coworkers [Froese Fischer (2004); Zatsarinny (2002)]; Breit-Pauli relativistic terms",2006,False,"'We have thus carried out a partial update for the transition probabilities of C I, C II, N I and N II' — 20060052476.pdf",Reference documents/20060052476.pdf
O I,136,WFD1996_MONOGRAPH7_OPACITY_PROJECT,"Wiese, W. L. Fuhr, J. R. and Deters, T. M. 1996, 'Atomic Transition Probabilities of Carbon, Nitrogen, and Oxygen, A Critical Data Compilation', J. Phys. Chem. Ref. Data, Monograph No. 7","OPACITY Project (theory) — The Opacity Project Team, The Opacity Project Vol. I (Institute of Physics, Bristol, England, 1995)",1996,False,"'Our 1996 data volume [Wiese (1996)] for C, N, and O was primarily based on the very extensive calculational results of the OPACITY Project'; the 2006 update covers 'Carbon, Nitrogen, and Iron' and names only C I, C II, N I, N II — oxygen is not in it — 20060052476.pdf",Reference documents/20060052476.pdf
O II,182,WFD1996_MONOGRAPH7_OPACITY_PROJECT,"Wiese, W. L. Fuhr, J. R. and Deters, T. M. 1996, 'Atomic Transition Probabilities of Carbon, Nitrogen, and Oxygen, A Critical Data Compilation', J. Phys. Chem. Ref. Data, Monograph No. 7","OPACITY Project (theory) — The Opacity Project Team, The Opacity Project Vol. I (Institute of Physics, Bristol, England, 1995)",1996,False,"'Our 1996 data volume [Wiese (1996)] for C, N, and O was primarily based on the very extensive calculational results of the OPACITY Project'; the 2006 update covers 'Carbon, Nitrogen, and Iron' and names only C I, C II, N I, N II — oxygen is not in it — 20060052476.pdf",Reference documents/20060052476.pdf
C V,2,NOT_ESTABLISHED_BY_HELD_SOURCES,,,,False,"Neither 20060052476.pdf (four spectra: C I, C II, N I, N II) nor the Monograph No. 7 reference as quoted there states a pedigree for this ionisation stage. Recorded as unknown rather than extended from a neighbouring species.",Reference documents/20060052476.pdf
C IV,12,NOT_ESTABLISHED_BY_HELD_SOURCES,,,,False,"Neither 20060052476.pdf (four spectra: C I, C II, N I, N II) nor the Monograph No. 7 reference as quoted there states a pedigree for this ionisation stage. Recorded as unknown rather than extended from a neighbouring species.",Reference documents/20060052476.pdf
C III,72,NOT_ESTABLISHED_BY_HELD_SOURCES,,,,False,"Neither 20060052476.pdf (four spectra: C I, C II, N I, N II) nor the Monograph No. 7 reference as quoted there states a pedigree for this ionisation stage. Recorded as unknown rather than extended from a neighbouring species.",Reference documents/20060052476.pdf
N V,14,NOT_ESTABLISHED_BY_HELD_SOURCES,,,,False,"Neither 20060052476.pdf (four spectra: C I, C II, N I, N II) nor the Monograph No. 7 reference as quoted there states a pedigree for this ionisation stage. Recorded as unknown rather than extended from a neighbouring species.",Reference documents/20060052476.pdf
