element,species,intake_status,primary_source_status,canonical_gf_status,HFS_status,band_coverage_status,source_ticket,last_verified,notes
Fe,Fe I|Fe II|Fe III|Fe IV|Fe V,NOT_STARTED,PRIMARY_LAB=450;EVALUATED_NIST=1847;FALLBACK=35181,42896 atomic rows inventoried,2113 component rows,REPORT_PENDING,RECONCILE_EXISTING_TICKET,2026-08-29,Phase A wave not yet executed
C,C I|C II|C III|C IV|C V,CROSSMATCH_REVIEW,PRIMARY_LAB=0;EVALUATED_NIST=1;FALLBACK=1392,1788 atomic rows inventoried,177 component rows,ATOMIC_WAVELENGTH_INVENTORY_COMPLETE,RYA-1129,2026-08-29,CNO blocked by molecular provenance schema RYA-1130
O,O I|O II|O III|O IV|O V|O VI,CROSSMATCH_REVIEW,PRIMARY_LAB=0;EVALUATED_NIST=4;FALLBACK=158,559 atomic rows inventoried,75 component rows,ATOMIC_WAVELENGTH_INVENTORY_COMPLETE,RYA-1129,2026-08-29,CNO blocked by molecular provenance schema RYA-1130
Mg,Mg I|Mg II|Mg III|Mg IV,NOT_STARTED,PRIMARY_LAB=0;EVALUATED_NIST=8;FALLBACK=192,614 atomic rows inventoried,157 component rows,REPORT_PENDING,RECONCILE_EXISTING_TICKET,2026-08-29,Phase A wave not yet executed
Si,Si I|Si II|Si III|Si IV|Si V,NOT_STARTED,PRIMARY_LAB=0;EVALUATED_NIST=1;FALLBACK=2410,2594 atomic rows inventoried,110 component rows,REPORT_PENDING,RECONCILE_EXISTING_TICKET,2026-08-29,Phase A wave not yet executed
Ca,Ca I|Ca II|Ca III,NOT_STARTED,PRIMARY_LAB=0;EVALUATED_NIST=5;FALLBACK=7346,7407 atomic rows inventoried,917 component rows,REPORT_PENDING,RECONCILE_EXISTING_TICKET,2026-08-29,Phase A wave not yet executed
Ti,Ti I|Ti II|Ti III|Ti IV,NOT_STARTED,PRIMARY_LAB=0;EVALUATED_NIST=1;FALLBACK=9962,10833 atomic rows inventoried,302 component rows,REPORT_PENDING,RECONCILE_EXISTING_TICKET,2026-08-29,Phase A wave not yet executed
Ni,Ni I|Ni II|Ni III|Ni IV|Ni V,NOT_STARTED,PRIMARY_LAB=0;EVALUATED_NIST=0;FALLBACK=10082,10269 atomic rows inventoried,864 component rows,REPORT_PENDING,RECONCILE_EXISTING_TICKET,2026-08-29,Phase A wave not yet executed
Na,Na I|Na III,NOT_STARTED,PRIMARY_LAB=0;EVALUATED_NIST=4;FALLBACK=46,139 atomic rows inventoried,66 component rows,REPORT_PENDING,RECONCILE_EXISTING_TICKET,2026-08-29,Phase A wave not yet executed
P,P I|P II|P III|P IV|P V,NOT_STARTED,PRIMARY_LAB=0;EVALUATED_NIST=2;FALLBACK=256,730 atomic rows inventoried,41 component rows,REPORT_PENDING,RECONCILE_EXISTING_TICKET,2026-08-29,Phase A wave not yet executed
S,S I|S II|S VI,NOT_STARTED,PRIMARY_LAB=0;EVALUATED_NIST=0;FALLBACK=2079,2284 atomic rows inventoried,1203 component rows,REPORT_PENDING,RECONCILE_EXISTING_TICKET,2026-08-29,Phase A wave not yet executed
N,N I|N II|N III|N IV|N V,CROSSMATCH_REVIEW,PRIMARY_LAB=0;EVALUATED_NIST=0;FALLBACK=14,474 atomic rows inventoried,13 component rows,ATOMIC_WAVELENGTH_INVENTORY_COMPLETE,RYA-1129,2026-08-29,CNO blocked by molecular provenance schema RYA-1130
Co,Co I|Co II|Co III|Co IV|Co V,NOT_STARTED,PRIMARY_LAB=0;EVALUATED_NIST=0;FALLBACK=6305,7006 atomic rows inventoried,1673 component rows,REPORT_PENDING,RECONCILE_EXISTING_TICKET,2026-08-29,Phase A wave not yet executed
Cr,Cr I|Cr II|Cr III|Cr IV,NOT_STARTED,PRIMARY_LAB=0;EVALUATED_NIST=0;FALLBACK=14838,18558 atomic rows inventoried,894 component rows,REPORT_PENDING,RECONCILE_EXISTING_TICKET,2026-08-29,Phase A wave not yet executed
Al,Al I|Al II|Al III,BLOCKED_PIPELINE_COVERAGE,PRIMARY_LAB=18;EVALUATED_NIST=19;FALLBACK=467,505 Al I/II physical candidates frozen in RYA-1132 manifest,COMPONENT SUMS PRESERVED; 11254.9 COMPONENT/BLEND CONFLICT EXPLICIT,UV PARTIAL_GF_LAB_INGESTED_POLICY_BLOCKED; VIS FROZEN_WITH_DOCUMENTED_FALLBACKS; IR BLOCKED_PIPELINE_COVERAGE,RYA-1132,2026-08-30,Vujnovic CDS tables normalized; six Al I lines plus Johnson Al II 2669 ingested GF-LAB. Limits/ratio-only rows remain held. No new IR source or abundance.
