canonical_line_id,canonical_source_line_id,species,wavelength_air,wavelength_vac,lower_EP,upper_lower_level_identity,band,instrument_reach,transition_source,loggf_adopted,gf_source,gf_source_type,gf_grade,gf_sigma_dex,gf_source_doi,current_canonical_loggf,current_canonical_source,competing_gf_summary,HFS_status,component_or_total,literature_line_set_membership,telluric_risk,synthesis_context_status,intake_status,measurement_suitability_status,rejection_problem_code,source_ticket,notes
alphys_I_4592.2270_0337,gf_000008,Al I,4592.227,4593.5138,3.1427,,VIS,harps|kpno_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity,RYA-1001 physical-feature census,-3.1149,SEMIEMP-K75,FALLBACK,EXCLUDED-SHALLOW,0.2,,-3.1149,K75,Burheim=nan; canonical=-3.1149; NIST=nan,NO_SPLIT_COMPONENTS_IN_CENSUS,TOTAL_TRANSITION_GF,RYA1001_PHASE0,NOT_FLAGGED,AVAILABLE,FROZEN,CANDIDATE_NOT_SELECTED,SCALE_MISMATCH|BELOW_OBSERVABILITY,RYA-1132;RYA-1001,No abundance adoption; provenance ranking fixed before measurement.
alphys_I_4592.2960_0338,gf_000008,Al I,4592.296,4593.5828,3.1427,,VIS,harps|kpno_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity,RYA-1001 physical-feature census,-3.1149,SEMIEMP-K75,FALLBACK,EXCLUDED-SHALLOW,0.2,,-3.1149,K75,Burheim=nan; canonical=-3.1149; NIST=nan,NO_SPLIT_COMPONENTS_IN_CENSUS,TOTAL_TRANSITION_GF,RYA1001_PHASE0,NOT_FLAGGED,AVAILABLE,FROZEN,CANDIDATE_NOT_SELECTED,SCALE_MISMATCH|BELOW_OBSERVABILITY,RYA-1132;RYA-1001,No abundance adoption; provenance ranking fixed before measurement.
alphys_I_4652.4140_0339,gf_000009,Al I,4652.414,4653.7167,3.1427,,VIS,harps|kpno_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity,RYA-1001 physical-feature census,-2.9489,SEMIEMP-K75,FALLBACK,EXCLUDED-SHALLOW,0.2,,-2.9489,K75,Burheim=nan; canonical=-2.9489; NIST=nan,NO_SPLIT_COMPONENTS_IN_CENSUS,TOTAL_TRANSITION_GF,RYA1001_PHASE0,NOT_FLAGGED,AVAILABLE,FROZEN,CANDIDATE_NOT_SELECTED,SCALE_MISMATCH|BELOW_OBSERVABILITY,RYA-1132;RYA-1001,No abundance adoption; provenance ranking fixed before measurement.
alphys_I_6905.6460_0358,gf_000027,Al I,6905.646,6907.5512,4.0215,,VIS,harps|kpno_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity,RYA-1001 physical-feature census,-1.3334820194,NIST-D,CRITICALLY_EVALUATED,D,0.1760912591,,-1.287,K75,Burheim=nan; canonical=-1.287; NIST=-1.3334820194451191,NO_SPLIT_COMPONENTS_IN_CENSUS,TOTAL_TRANSITION_GF,RYA1001_PHASE0,NOT_FLAGGED,AVAILABLE,FROZEN,ELIGIBLE_WITH_STATED_GF_TIER,SCALE_MISMATCH,RYA-1132;RYA-1001,No abundance adoption; provenance ranking fixed before measurement.
alphys_I_6906.2870_0359,gf_000028,Al I,6906.287,6908.1924,4.0216,,VIS,harps|kpno_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity,RYA-1001 physical-feature census,-1.1592667654,NIST-C,CRITICALLY_EVALUATED,C,0.1091444694,,-1.1108,K75,Burheim=nan; canonical=-1.1108; NIST=-1.1592667653881932,COMPONENT_SUM_VERIFIED,TOTAL_TRANSITION_GF,RYA1001_PHASE0,NOT_FLAGGED,AVAILABLE,FROZEN,ELIGIBLE_WITH_STATED_GF_TIER,SCALE_MISMATCH,RYA-1132;RYA-1001,No abundance adoption; provenance ranking fixed before measurement.
alphys_I_6936.1985_0361,gf_000030,Al I,6936.1985,6938.1119,4.0872,,red-optical,kpno_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity,RYA-1001 physical-feature census,-2.13,SEMIEMP-K75,FALLBACK,EXCLUDED-SHALLOW,0.2,,-2.13,K75,Burheim=nan; canonical=-2.13; NIST=nan,COMPONENT_SUM_VERIFIED,TOTAL_TRANSITION_GF,RYA1001_PHASE0,VERIFICATION_REQUIRED,AVAILABLE,FROZEN,CANDIDATE_NOT_SELECTED,SCALE_MISMATCH|BELOW_OBSERVABILITY,RYA-1132;RYA-1001,No abundance adoption; provenance ranking fixed before measurement.
alphys_I_7083.9690_0367,gf_000039,Al I,7083.969,7085.9223,4.0215,,red-optical,kpno_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity,RYA-1001 physical-feature census,-1.1573907604,NIST-C+,CRITICALLY_EVALUATED,C+,0.0718820073,,-1.111,K75,Burheim=nan; canonical=-1.111; NIST=-1.157390760389438,NO_SPLIT_COMPONENTS_IN_CENSUS,TOTAL_TRANSITION_GF,RYA1001_PHASE0,VERIFICATION_REQUIRED,AVAILABLE,FROZEN,ELIGIBLE_WITH_STATED_GF_TIER,SCALE_MISMATCH,RYA-1132;RYA-1001,No abundance adoption; provenance ranking fixed before measurement.
alphys_I_7084.6430_0368,gf_000040,Al I,7084.643,7086.5964,4.0216,,red-optical,kpno_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity,RYA-1001 physical-feature census,-0.9805264467,NIST-C+,CRITICALLY_EVALUATED,C+,0.0860366315,,-0.9348,K75,Burheim=nan; canonical=-0.9348; NIST=-0.9805264467275834,COMPONENT_SUM_VERIFIED,TOTAL_TRANSITION_GF,RYA1001_PHASE0,VERIFICATION_REQUIRED,AVAILABLE,FROZEN,ELIGIBLE_WITH_STATED_GF_TIER,SCALE_MISMATCH,RYA-1132;RYA-1001,No abundance adoption; provenance ranking fixed before measurement.
alphys_I_7327.4700_0376,gf_000050,Al I,7327.47,7329.4889,4.0853,,red-optical,kpno_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity,RYA-1001 physical-feature census,-1.9288547095,NIST-D,CRITICALLY_EVALUATED,D,0.1760912591,,-2.056,K75,Burheim=nan; canonical=-2.056; NIST=-1.9288547095489168,NO_SPLIT_COMPONENTS_IN_CENSUS,TOTAL_TRANSITION_GF,RYA1001_PHASE0,VERIFICATION_REQUIRED,AVAILABLE,FROZEN,CANDIDATE_NOT_SELECTED,SCALE_MISMATCH|BELOW_OBSERVABILITY,RYA-1132;RYA-1001,No abundance adoption; provenance ranking fixed before measurement.
alphys_I_7335.6480_0377,gf_000051,Al I,7335.648,7337.6691,4.0872,,red-optical,kpno_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity,RYA-1001 physical-feature census,-1.6744843366,NIST-C,CRITICALLY_EVALUATED,C,0.096910013,,-1.801,K75,Burheim=nan; canonical=-1.801; NIST=-1.6744843366368518,NO_SPLIT_COMPONENTS_IN_CENSUS,TOTAL_TRANSITION_GF,RYA1001_PHASE0,VERIFICATION_REQUIRED,AVAILABLE,FROZEN,CANDIDATE_NOT_SELECTED,SCALE_MISMATCH|BELOW_OBSERVABILITY,RYA-1132;RYA-1001,No abundance adoption; provenance ranking fixed before measurement.
