species,system,wavelength_air_A,j_lower,j_upper,branch,sym_lower,e_upper,e_lower,f_value,einstein_A,source
NH,A-X,3357.5522,0,1,qR23(0),e,29806.60883,31.56285972,0.006235568,1229141.538,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3349.3395,0,1,rR3(0),e,29879.61624,31.56285972,0.002369026,469269.9928,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3355.1679,1,0,qP32(1),f,29829.55188,33.34782985,0.001434735,2548924.688,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3357.7535,1,1,qQ2(1),f,29806.60883,33.34782985,0.000590775,349314.852,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3349.5398,1,1,rQ32(1),f,29879.61624,33.34782985,0.001562628,928491.1856,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3361.8194,1,2,qR12(1),f,29770.60149,33.34782985,0.003021565,1069367.992,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3350.9397,1,2,rR2(1),f,29867.14794,33.34782985,0.001889508,673068.5911,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3339.0927,1,2,sR32(1),f,29972.99346,33.34782985,0.000104753,37579.75839,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3351.7099,1,0,rP31(1),e,29826.93665,-0.007710236,0.000945407,1683060.055,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3362.7098,1,0,pP3(1),e,29826.93665,97.55711273,0.00048921,865227.739,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3353.9207,1,1,rQ21(1),e,29807.27659,-0.007710236,0.002723189,1613856.071,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3345.5895,1,1,sQ31(1),e,29881.50018,-0.007710236,0.00016415,97766.0097,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3364.9351,1,1,pQ23(1),e,29807.27659,97.55711273,0.001015812,598070.7401,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3356.5492,1,1,qQ3(1),e,29881.50018,97.55711273,0.002546452,1506753.337,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3358.0513,1,2,rR1(1),e,29770.61339,-0.007710236,0.004467371,1584606.022,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3347.3152,1,2,sR21(1),e,29866.09587,-0.007710236,0.000300987,107447.8424,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3335.5308,1,2,tR31(1),e,29971.60868,-0.007710236,8.56E-07,307.7544889,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3369.0929,1,2,pR13(1),e,29770.61339,97.55711273,0.000222642,78455.7818,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3358.2862,1,2,qR23(1),e,29866.09587,97.55711273,0.001654494,586777.9678,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3346.4246,1,2,rR3(1),e,29971.60868,97.55711273,0.00267131,954126.812,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
