source_row,species,system,band,wavelength_vac_nm,lower_energy_eV,published_loggf,join_status,component_count,summed_loggf,subset_candidate_count,primary_wavelengths_A,primary_energies_eV,primary_loggfs,transition_labels,primary_source,primary_lines
1,C2,Swan,(0-0),493.812,1.112,0.843,AMBIGUOUS_SUM_MATCH,3,0.843137,7,4938.15280;4938.05150;4938.02773,1.111890;1.111868;1.111765,0.360060;0.365953;0.371954,rR3e(71);rR2f(72);rR1e(73),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,2618;1469;328
2,C2,Swan,(0-0),495.281,1.029,0.651,AMBIGUOUS_SUM_MATCH,5,0.650676,16,4952.79871;4952.78954;4952.75078;4952.54347;4952.50471,1.029047;1.029066;1.029047;1.029066;1.029047,0.352666;0.346424;-3.332425;-3.337573;-6.657214,rR1f(70);rR2e(69);rQ21f(70);rQ32e(69);rP31f(70),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,325;1466;1085;2231;1849
3,C2,Swan,(0-0),498.060,0.874,0.614,AMBIGUOUS_SUM_MATCH,5,0.609593,8,4980.59915;4980.59257;4980.53572;4980.33021;4980.27334,0.874003;0.874031;0.874003;0.874031;0.874003,0.311855;0.305030;-3.295802;-3.301452;-6.669687,rR1f(64);rR2e(63);rQ21f(64);rQ32e(63);rP31f(64),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,319;1460;1079;2225;1843
4,C2,Swan,(0-0),498.070,0.874,0.298,PRIMARY_TUPLE_MATCH,1,,0,4980.68830,0.874210,0.298304,rR3f(62),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,2609
5,C2,Swan,(0-0),499.370,0.802,0.588,AMBIGUOUS_SUM_MATCH,5,0.587756,16,4993.71828;4993.69641;4993.66696;4993.46593;4993.44408,0.801745;0.801745;0.801620;0.801620;0.801620,-3.272796;0.283003;0.290181;-6.395737;-3.275695,rQ32f(60);rR2f(60);rR1e(61);rP31e(61);rQ21e(61),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,2222;1457;316;1840;1076
6,C2,Swan,(0-0),503.504,0.584,0.507,AMBIGUOUS_SUM_MATCH,4,0.507027,16,5035.07727;5035.05838;5035.04041;5034.76972,0.583688;0.583688;0.583537;0.583537,0.201503;-3.198543;0.210108;-3.201847,rR2f(50);rQ32f(50);rR1e(51);rQ21e(51),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,1447;2212;306;1066
7,C2,Swan,(0-0),503.518,0.584,0.193,PRIMARY_TUPLE_MATCH,1,,0,5035.18339,0.583749,0.193108,rR3e(49),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,2596
8,C2,Swan,(0-0),503.911,0.564,0.498,AMBIGUOUS_SUM_MATCH,3,0.497993,16,5039.09171;5039.08755;5038.65863,0.563704;0.563646;0.563646,0.192577;0.201306;-6.711137,rR2e(49);rR1f(50);rP31f(50),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,1446;305;1829
9,C2,Swan,(0-0),504.471,1.226,0.851,AMBIGUOUS_SUM_MATCH,3,0.851380,7,5044.78460;5044.68356;5044.66567,1.226668;1.226651;1.226554,0.368530;0.374208;0.379962,pP3e(75);pP2f(76);pP1e(77),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,2428;1280;141
10,C2,Swan,(1-1),504.833,0.555,0.022,AMBIGUOUS_SUM_MATCH,2,0.022569,8,5048.34892;5048.31490,0.554447;0.554342,-0.284248;-0.272750,rR2e(37);rR1f(38),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,28827;27962
