file,source_row,flag_column,flag,record
table2.dat,5,l_e_Aki,>,3s^2^5s ^2^S_1/2_    4p ^2^P^o^_1/2_ 21093.04
table2.dat,6,l_e_Aki,>,3s^2^5s ^2^S_1/2_    4p ^2^P^o^_3/2_ 21163.75
table2.dat,10,l_IntR,~,3s^2^3d ^2^D_3/2_    3p ^2^P^o^_3/2_  3092.839
table2.dat,10,n_Aki,),3s^2^3d ^2^D_3/2_    3p ^2^P^o^_3/2_  3092.839
table2.dat,26,l_IntR,~,3s^2^6d ^2^D_3/2_    3p ^2^P^o^_3/2_  2269.220
table2.dat,27,l_IntR,~,3s^2^6d ^2^D_3/2_    3p ^2^P^o^_3/2_  2269.220
table5.dat,1,n_Lambda,*,3p^2^ ^1^D_2_ 3p ^1^P^o^_1_ 3900.675* 0.79  13
table5.dat,10,l_e_Aki,>,4f ^3^F^o_2_  3d ^3^D_1_    3587.450  0.98   3
table5.dat,12,l_BranR,~,4f ^3^F^o_2_  3d ^3^D_3_    3587.1   ~0.
table5.dat,13,l_e_Aki,>,4f ^3^F^o_3_  3d ^3^D_2_    3587.068  0.96   5
table5.dat,15,l_BranR,~,4f ^3^F^o_3_  3p^2^ ^1^D_2_ 2635.020 ~0.
table5.dat,17,l_BranR,~,5f ^3^F^o_2_  3d ^3^D_1_    2638.690 ~1.00
table5.dat,18,l_BranR,~,5f ^3^F^o_3_  3d ^3^D_2_    2638.255 ~1.00
table5.dat,19,l_BranR,~,5f ^3^F^o_4_  3d ^3^D_3_    2637.689 ~1.00
