source_row_id,species,wavelength_A,n_candidates,true_class
vuj2002_t3_022,Al I,2372.07,2,AMBIGUOUS_MULTIPLE
vuj2002_t4_002,Al II,2081.481,0,NO_CANDIDATE
vuj2002_t4_003,Al II,2086.864,0,NO_CANDIDATE
vuj2002_t4_004,Al II,2195.502,0,NO_CANDIDATE
vuj2002_t4_007,Al II,5100.34,0,NO_CANDIDATE
vuj2002_t4_008,Al II,5093.65,0,NO_CANDIDATE
vuj2002_t4_009,Al II,5085.02,0,NO_CANDIDATE
vuj2002_t4_010,Al II,3587.45,0,NO_CANDIDATE
vuj2002_t4_013,Al II,2638.69,0,NO_CANDIDATE
vuj2002_t4_014,Al II,2638.155,0,NO_CANDIDATE
vuj2002_t4_015,Al II,2637.689,0,NO_CANDIDATE
vuj2002_t4_016,Al II,2326.406,0,NO_CANDIDATE
vuj2002_t4_017,Al II,2325.494,0,NO_CANDIDATE
vuj2002_t4_018,Al II,2324.199,0,NO_CANDIDATE
vuj2002_t4_019,Al II,5867.81,0,NO_CANDIDATE
vuj2002_t4_020,Al II,5861.53,0,NO_CANDIDATE
vuj2002_t4_021,Al II,5853.62,0,NO_CANDIDATE
vuj2002_t5_002,Al II,2081.481,0,NO_CANDIDATE
vuj2002_t5_003,Al II,2086.864,0,NO_CANDIDATE
vuj2002_t5_004,Al II,2195.502,0,NO_CANDIDATE
vuj2002_t5_005,Al II,5100.34,0,NO_CANDIDATE
vuj2002_t5_007,Al II,5093.65,0,NO_CANDIDATE
vuj2002_t5_009,Al II,5085.02,0,NO_CANDIDATE
vuj2002_t5_010,Al II,3587.45,0,NO_CANDIDATE
vuj2002_t5_011,Al II,3587.3,0,NO_CANDIDATE
vuj2002_t5_014,Al II,3587.9,0,NO_CANDIDATE
vuj2002_t5_015,Al II,2635.02,0,NO_CANDIDATE
vuj2002_t5_017,Al II,2638.69,0,NO_CANDIDATE
vuj2002_t5_018,Al II,2638.255,0,NO_CANDIDATE
vuj2002_t5_019,Al II,2637.689,0,NO_CANDIDATE
vuj2002_t5_020,Al II,2326.496,0,NO_CANDIDATE
vuj2002_t5_021,Al II,5867.81,0,NO_CANDIDATE
vuj2002_t5_022,Al II,2325.494,0,NO_CANDIDATE
vuj2002_t5_023,Al II,5861.53,0,NO_CANDIDATE
vuj2002_t5_024,Al II,2324.199,0,NO_CANDIDATE
vuj2002_t5_025,Al II,5853.62,0,NO_CANDIDATE
vuj2002_t5_027,Al II,4589.742,0,NO_CANDIDATE
vuj2002_t5_029,Al II,4588.191,0,NO_CANDIDATE
vuj2002_t5_031,Al II,4585.817,0,NO_CANDIDATE
