canonical_line_id,wavelength_air,gf_source,central_depth,rya946_window,measurement_suitability_status
alphys_I_2652.4750_0318,2652.475,EXP-VUJNOVIC2002,0.992,DEEP_GRADE_WINDOW,CANDIDATE_NOT_SELECTED
alphys_I_2660.3860_0319,2660.386,EXP-VUJNOVIC2002,0.994,DEEP_GRADE_WINDOW,CANDIDATE_NOT_SELECTED
alphys_II_2669.1550_0320,2669.155,EXP-JOHNSON1986,0.99,DEEP_GRADE_WINDOW,CANDIDATE_NOT_SELECTED
alphys_I_3082.1530_0329,3082.153,EXP-VUJNOVIC2002,0.991,DEEP_GRADE_WINDOW,CANDIDATE_NOT_SELECTED
alphys_I_3092.7100_0330,3092.71,EXP-VUJNOVIC2002,0.992,DEEP_GRADE_WINDOW,CANDIDATE_NOT_SELECTED
alphys_I_3944.0060_0335,3944.006,EXP-VUJNOVIC2002,0.969,DEEP_GRADE_WINDOW,CANDIDATE_NOT_SELECTED
alphys_I_3961.5200_0336,3961.52,EXP-VUJNOVIC2002,0.972,DEEP_GRADE_WINDOW,CANDIDATE_NOT_SELECTED
alphys_I_6696.0150_0352,6696.015,EXP-BURHEIM23,0.253,CODEX_GRADE_WINDOW,ELIGIBLE_WITH_STATED_GF_TIER
alphys_I_6698.6730_0355,6698.673,EXP-BURHEIM23,0.167,CODEX_GRADE_WINDOW,ELIGIBLE_WITH_STATED_GF_TIER
alphys_I_11253.1890_0406,11253.189,EXP-BURHEIM23,0.342,CODEX_GRADE_WINDOW,ELIGIBLE_WITH_STATED_GF_TIER
alphys_I_12749.9090_0420,12749.909,EXP-BURHEIM23,0.015,BELOW_WINDOW,CANDIDATE_NOT_SELECTED
alphys_I_12757.2750_0421,12757.275,EXP-BURHEIM23,0.008,BELOW_WINDOW,CANDIDATE_NOT_SELECTED
alphys_I_13123.4160_0423,13123.416,EXP-BURHEIM23,0.474,CODEX_GRADE_WINDOW,ELIGIBLE_WITH_STATED_GF_TIER
alphys_I_13150.7530_0425,13150.753,EXP-BURHEIM23,0.444,CODEX_GRADE_WINDOW,ELIGIBLE_WITH_STATED_GF_TIER
alphys_I_38622.2966_burheim08,38622.2965886931,EXP-BURHEIM23,,NO_DEPTH,OUTSIDE_CURRENT_REACH
alphys_I_38710.6325_burheim09,38710.6325150508,EXP-BURHEIM23,,NO_DEPTH,OUTSIDE_CURRENT_REACH
alphys_I_41830.0124_burheim10,41830.0123852549,EXP-BURHEIM23,,NO_DEPTH,OUTSIDE_CURRENT_REACH
alphys_I_41909.2708_burheim11,41909.2707842584,EXP-BURHEIM23,,NO_DEPTH,OUTSIDE_CURRENT_REACH
