canonical_line_id,wavelength_air,band_census,gf_grade,measurement_suitability_status,instruments_coverage_blind_spot
alphys_I_13122.3220_0422,13122.322,NIR,EXCLUDED-SHALLOW,CANDIDATE_NOT_SELECTED,crires_plus
alphys_I_13123.4160_0423,13123.416,NIR,GF-LAB,ELIGIBLE_WITH_STATED_GF_TIER,crires_plus
alphys_I_13130.1740_0424,13130.174,NIR,EXCLUDED-SHALLOW,CANDIDATE_NOT_SELECTED,crires_plus
alphys_I_13150.7530_0425,13150.753,NIR,GF-LAB,ELIGIBLE_WITH_STATED_GF_TIER,crires_plus
alphys_I_17699.0940_0462,17699.094,NIR,GRADEABLE,ELIGIBLE_WITH_STATED_GF_TIER,crires_plus
alphys_I_17708.0730_0463,17708.073,NIR,GRADEABLE,ELIGIBLE_WITH_STATED_GF_TIER,crires_plus
alphys_I_18942.3460_0464,18942.346,NIR,EXCLUDED-SHALLOW,CANDIDATE_NOT_SELECTED,crires_plus
alphys_I_18956.9260_0465,18956.926,NIR,EXCLUDED-SHALLOW,CANDIDATE_NOT_SELECTED,crires_plus
alphys_I_19280.1420_0466,19280.142,NIR,EXCLUDED-SHALLOW,CANDIDATE_NOT_SELECTED,crires_plus
alphys_I_19302.1310_0467,19302.131,NIR,EXCLUDED-SHALLOW,CANDIDATE_NOT_SELECTED,crires_plus
alphys_I_19482.2860_0468,19482.286,NIR,EXCLUDED-SHALLOW,CANDIDATE_NOT_SELECTED,crires_plus
alphys_I_19497.7080_0469,19497.708,NIR,EXCLUDED-SHALLOW,CANDIDATE_NOT_SELECTED,crires_plus
alphys_I_24985.9530_0499,24985.953,>24000A (NO DECLARED POLICY),EXCLUDED-NO-HOME,CANDIDATE_NOT_SELECTED,
