canonical_line_id,wavelength_air,band,gf_grade,measurement_suitability_status,covering_holding,holding_range_A
alphys_I_15645.3780_0444,15645.378,H,EXCLUDED-SHALLOW,CANDIDATE_NOT_SELECTED,data/results/rya1048/vesta_crires_plus_H_15007_17494_normalized.csv,15007.1-17493.7
alphys_I_15659.8550_0445,15659.855,H,EXCLUDED-SHALLOW,CANDIDATE_NOT_SELECTED,data/results/rya1048/vesta_crires_plus_H_15007_17494_normalized.csv,15007.1-17493.7
alphys_I_15815.0720_0446,15815.072,H,EXCLUDED-SHALLOW,CANDIDATE_NOT_SELECTED,data/results/rya1048/vesta_crires_plus_H_15007_17494_normalized.csv,15007.1-17493.7
alphys_I_15828.2850_0447,15828.285,H,EXCLUDED-SHALLOW,CANDIDATE_NOT_SELECTED,data/results/rya1048/vesta_crires_plus_H_15007_17494_normalized.csv,15007.1-17493.7
alphys_I_15829.8640_0448,15829.864,H,EXCLUDED-SHALLOW,CANDIDATE_NOT_SELECTED,data/results/rya1048/vesta_crires_plus_H_15007_17494_normalized.csv,15007.1-17493.7
alphys_I_15956.6750_0449,15956.675,H,CANDIDATE-BLENDED,ELIGIBLE_WITH_STATED_GF_TIER,data/results/rya1048/vesta_crires_plus_H_15007_17494_normalized.csv,15007.1-17493.7
alphys_I_15968.2870_0450,15968.287,H,GRADEABLE,ELIGIBLE_WITH_STATED_GF_TIER,data/results/rya1048/vesta_crires_plus_H_15007_17494_normalized.csv,15007.1-17493.7
alphys_I_16684.7230_0451,16684.723,H,EXCLUDED-SHALLOW,CANDIDATE_NOT_SELECTED,data/results/rya1048/vesta_crires_plus_H_15007_17494_normalized.csv,15007.1-17493.7
alphys_I_16689.2380_0452,16689.238,H,EXCLUDED-SHALLOW,CANDIDATE_NOT_SELECTED,data/results/rya1048/vesta_crires_plus_H_15007_17494_normalized.csv,15007.1-17493.7
alphys_I_16697.4190_0453,16697.419,H,EXCLUDED-SHALLOW,CANDIDATE_NOT_SELECTED,data/results/rya1048/vesta_crires_plus_H_15007_17494_normalized.csv,15007.1-17493.7
alphys_I_16718.9570_0454,16718.957,H,GRADEABLE,ELIGIBLE_WITH_STATED_GF_TIER,data/results/rya1048/vesta_crires_plus_H_15007_17494_normalized.csv,15007.1-17493.7
alphys_I_16750.5640_0455,16750.564,H,GRADEABLE,ELIGIBLE_WITH_STATED_GF_TIER,data/results/rya1048/vesta_crires_plus_H_15007_17494_normalized.csv,15007.1-17493.7
alphys_I_16763.3600_0456,16763.36,H,GRADEABLE,ELIGIBLE_WITH_STATED_GF_TIER,data/results/rya1048/vesta_crires_plus_H_15007_17494_normalized.csv,15007.1-17493.7
alphys_I_16910.3280_0457,16910.328,H,EXCLUDED-SHALLOW,CANDIDATE_NOT_SELECTED,data/results/rya1048/vesta_crires_plus_H_15007_17494_normalized.csv,15007.1-17493.7
alphys_I_16927.2410_0458,16927.241,H,EXCLUDED-SHALLOW,CANDIDATE_NOT_SELECTED,data/results/rya1048/vesta_crires_plus_H_15007_17494_normalized.csv,15007.1-17493.7
alphys_I_17173.1340_0459,17173.134,H,EXCLUDED-SHALLOW,CANDIDATE_NOT_SELECTED,data/results/rya1048/vesta_crires_plus_H_15007_17494_normalized.csv,15007.1-17493.7
alphys_I_17187.9410_0460,17187.941,H,EXCLUDED-SHALLOW,CANDIDATE_NOT_SELECTED,data/results/rya1048/vesta_crires_plus_H_15007_17494_normalized.csv,15007.1-17493.7
alphys_I_17190.5770_0461,17190.577,H,EXCLUDED-SHALLOW,CANDIDATE_NOT_SELECTED,data/results/rya1048/vesta_crires_plus_H_15007_17494_normalized.csv,15007.1-17493.7
