source_row_id,table,species,upper_level,lower_level,wavelength_A,intensity_ratio,intensity_unc_pct,branching_ratio,branching_unc_pct,aki_limit,aki_1e8_s-1,aki_unc_pct,upper_J,derived_loggf,derived_sigma_dex,doi,ratio_basis
vuj2002_t2_001,2,Al I,3s^2^4s ^2^S_1/2_,3p ^2^P^o^_1/2_,3944.006,0.48,9.0,0.325,9.0,,0.47,10.0,0.5,-0.6591403358,0.0413926852,10.1051/0004-6361:20020560,MEASURED_THIS_WORK
vuj2002_t2_002,2,Al I,3s^2^4s ^2^S_1/2_,3p ^2^P^o^_3/2_,3961.52,1.0,5.0,0.675,5.0,,0.99,6.0,0.5,-0.3317544274,0.0253058653,10.1051/0004-6361:20020560,MEASURED_THIS_WORK
vuj2002_t2_003,2,Al I,3s^2^5s ^2^S_1/2_,3p ^2^P^o^_1/2_,2652.484,0.5,2.0,,,,0.142,12.0,0.5,-1.5235194375,0.0492180227,10.1051/0004-6361:20020560,MEASURED_THIS_WORK
vuj2002_t2_004,2,Al I,3s^2^5s ^2^S_1/2_,3p ^2^P^o^_3/2_,2660.393,1.0,1.0,,,,0.284,11.0,0.5,-1.2199033947,0.0453229788,10.1051/0004-6361:20020560,MEASURED_THIS_WORK
vuj2002_t2_005,2,Al I,3s^2^5s ^2^S_1/2_,4p ^2^P^o^_1/2_,21093.04,,,,,,0.03,30.0,0.5,-0.3977137205,0.1139433523,10.1051/0004-6361:20020560,THEORETICAL_LS_RATIO
vuj2002_t2_006,2,Al I,3s^2^5s ^2^S_1/2_,4p ^2^P^o^_3/2_,21163.75,,,,,,0.06,30.0,0.5,-0.0937768318,0.1139433523,10.1051/0004-6361:20020560,THEORETICAL_LS_RATIO
vuj2002_t2_007,2,Al I,3s^2^4p ^2^P^o^_1/2_,4s ^2^S_1/2_,13150.76,,,,,,0.16,3.0,0.5,-0.081091641,0.0128372247,10.1051/0004-6361:20020560,THEORETICAL_LS_RATIO
vuj2002_t2_008,2,Al I,3s^2^4p ^2^P^o^_3/2_,4s ^2^S_1/2_,13123.41,,,,,,0.15,5.0,1.5,0.1901013215,0.0211892991,10.1051/0004-6361:20020560,THEORETICAL_LS_RATIO
vuj2002_t2_009,2,Al I,3s^2^3d ^2^D_3/2_,3p ^2^P^o^_1/2_,3082.153,0.53,10.0,0.83,10.0,,0.59,12.0,1.5,-0.4735229332,0.0492180227,10.1051/0004-6361:20020560,MEASURED_THIS_WORK
vuj2002_t2_010,2,Al I,3s^2^3d ^2^D_3/2_,3p ^2^P^o^_3/2_,3092.839,0.0,,0.17,,,0.12,,1.5,-1.1621874598,,10.1051/0004-6361:20020560,MEASURED_THIS_WORK
vuj2002_t2_011,2,Al I,3s^2^3d ^2^D_5/2_,3p ^2^P^o^_3/2_,3092.71,1.0,5.0,1.0,,,0.71,2.0,2.5,-0.214055327,0.0086001718,10.1051/0004-6361:20020560,MEASURED_THIS_WORK
