source_row,species,band,wavelength_vac_nm,published_loggf,summed_loggf,components_chosen,viable_subsets,defect
1,C2,(0-0),493.812,0.843,0.843137,3,7,identity chosen by argmin over multiple gf-summing subsets
2,C2,(0-0),495.281,0.651,0.650676,5,16,identity chosen by argmin over multiple gf-summing subsets
3,C2,(0-0),498.060,0.614,0.609593,5,8,identity chosen by argmin over multiple gf-summing subsets
5,C2,(0-0),499.370,0.588,0.587756,5,16,identity chosen by argmin over multiple gf-summing subsets
6,C2,(0-0),503.504,0.507,0.507027,4,16,identity chosen by argmin over multiple gf-summing subsets
8,C2,(0-0),503.911,0.498,0.497993,3,16,identity chosen by argmin over multiple gf-summing subsets
9,C2,(0-0),504.471,0.851,0.851380,3,7,identity chosen by argmin over multiple gf-summing subsets
10,C2,(1-1),504.833,0.022,0.022569,2,8,identity chosen by argmin over multiple gf-summing subsets
11,C2,(0-0),505.404,0.461,0.461000,5,16,identity chosen by argmin over multiple gf-summing subsets
13,C2,(0-0),506.458,0.431,0.430973,4,16,identity chosen by argmin over multiple gf-summing subsets
15,C2,(0-0),506.813,0.421,0.420669,4,8,identity chosen by argmin over multiple gf-summing subsets
17,C2,(0-0),507.486,0.398,0.398850,2,8,identity chosen by argmin over multiple gf-summing subsets
19,C2,(0-0),508.767,0.352,0.352440,2,8,identity chosen by argmin over multiple gf-summing subsets
21,C2,(0-0),510.517,0.272,0.272590,2,5,identity chosen by argmin over multiple gf-summing subsets
24,C2,(0-0),514.265,0.404,0.404035,4,8,identity chosen by argmin over multiple gf-summing subsets
29,C2,(0-0),514.601,0.382,0.382005,2,8,identity chosen by argmin over multiple gf-summing subsets
30,C2,(0-0),515.199,0.335,0.334993,2,3,identity chosen by argmin over multiple gf-summing subsets
31,C2,(0-0),516.247,0.190,0.190054,3,2,identity chosen by argmin over multiple gf-summing subsets
32,C2,(0-0),516.486,0.115,0.114876,2,2,identity chosen by argmin over multiple gf-summing subsets
33,C2,(1-0),472.765,-0.138,-0.138061,3,8,identity chosen by argmin over multiple gf-summing subsets
34,C2,(1-2),557.646,-0.137,-0.136772,2,4,identity chosen by argmin over multiple gf-summing subsets
36,C2,(0-1),560.973,-0.118,-0.117462,2,4,identity chosen by argmin over multiple gf-summing subsets
39,C2,(0-1),562.434,-0.223,-0.222970,3,2,identity chosen by argmin over multiple gf-summing subsets
54,CH,(1-0),3341.748,-2.421,-2.421073,2,4,identity chosen by argmin over multiple gf-summing subsets
65,CH,(2-1),3466.055,-2.275,-2.277827,3,2,identity chosen by argmin over multiple gf-summing subsets
66,CH,(2-1),3481.479,-2.217,-2.219063,3,2,identity chosen by argmin over multiple gf-summing subsets
