source_id,citation,doi,asset,asset_present,checksum_recorded,checksum_verifies,status_claimed,qa_issues
AGSS21,"Asplund, Amarsi & Grevesse 2021, A&A 653 A141",10.1051/0004-6361/202140445,article,NO,NO,N/A,SOURCE_IDENTIFIED,NO CHECKSUM; ARTICLE NEVER ACQUIRED
Amarsi2021_Table2,"Amarsi et al. 2021, A&A 656 A113",10.1051/0004-6361/202141384,data/reference/amarsi2021_cno/derived/amarsi2021_cno_molecular_lines.csv,YES,YES,YES,ACQUIRED,none
Amarsi2019_Table1,"Amarsi, Nissen & Skuladottir 2019, A&A 630 A104",10.1051/0004-6361/201936179,data/nlte_grids/amarsi2019_cno/table1.dat,YES,YES,YES,ACQUIRED,none
Amarsi2020_N,"Amarsi et al. 2020, A&A 642 A62",10.1051/0004-6361/202038650,data/nlte_grids/amarsi_galah/N_amarsi2020_v3.prov.json,YES,YES,YES,ACQUIRED_PARTIAL_LINEAGE,none
Brooke2013_C2,"Brooke et al. 2013, JQSRT 124, 11",10.1016/j.jqsrt.2013.02.025,data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES,YES,YES,ACQUIRED,none
Brooke2014_CN,"Brooke et al. 2014, ApJS 210, 23",10.1088/0067-0049/210/2/23,data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,YES,YES,YES,ACQUIRED,none
Brooke2015_NH,"Brooke et al. 2015, J. Chem. Phys. 143, 026101",10.1063/1.4923422,data/reference/cno_molecular_primary/nh_brooke2015/BrookeEtAl-NH-2015-JCP.zip,YES,YES,YES,ACQUIRED,none
Brooke2016_OH,"Brooke et al. 2016, JQSRT 168, 142",10.1016/j.jqsrt.2015.07.021,data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,YES,YES,YES,ACQUIRED,none
Masseron2014_CH,"Masseron et al. 2014, A&A 571 A47",10.1051/0004-6361/201423956,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES,YES,YES,ACQUIRED,none
Li2015_CO,"Li et al. 2015, ApJS 216, 15",10.1088/0067-0049/216/1/15,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,YES,YES,YES,ACQUIRED,REDISTRIBUTION LABELLED PRIMARY
BarklemCollet2016,"Barklem & Collet 2016, A&A 588 A96",10.1051/0004-6361/201526961,data/reference/cno_molecular_primary/constants_barklem2016/table1.dat,YES,YES,YES,ACQUIRED,none
