line_id,species,wavelength_air_A,EP_eV,match,nist_grade,gf_sigma_dex,our_log_gf,nist_log_gf,delta_dex,action
gf_001511,C I,4209.717,7.946,ABSENT,,,-4.769,,,no evidence attached
gf_001512,C I,4209.913,7.946,ABSENT,,,-4.82,,,no evidence attached
gf_001513,C I,4212.347,7.946,ABSENT,,,-3.698,,,no evidence attached
gf_001514,C I,4221.107,7.483,ABSENT,,,-4.747,,,no evidence attached
gf_001515,C I,4222.471,7.946,ABSENT,,,-3.875,,,no evidence attached
gf_001516,C I,4223.1509,7.946,ABSENT,,,-3.793,,,no evidence attached
gf_001517,C I,4223.362,7.946,ABSENT,,,-3.95,,,no evidence attached
gf_001518,C I,4228.326,7.685,ABSENT,,,-1.914,,,no evidence attached
gf_001519,C I,4232.49,7.488,ABSENT,,,-4.308,,,no evidence attached
gf_001520,C I,4269.019,7.685,UNIQUE,E,1.0000,-1.637,-1.5229,-0.1141,evidence attached; log_gf UNCHANGED
gf_001521,C I,4299.648,7.946,ABSENT,,,-4.408,,,no evidence attached
gf_001522,C I,4305.083,7.685,ABSENT,,,-4.221,,,no evidence attached
gf_001523,C I,4307.808,7.685,ABSENT,,,-4.188,,,no evidence attached
gf_001524,C I,4311.401,7.685,ABSENT,,,-4.375,,,no evidence attached
gf_001525,C I,4321.929,7.946,ABSENT,,,-3.849,,,no evidence attached
gf_001526,C I,4341.647,7.946,ABSENT,,,-1.874,,,no evidence attached
gf_001527,C I,4342.196,7.946,ABSENT,,,-3.729,,,no evidence attached
gf_001528,C I,4342.405,7.946,ABSENT,,,-2.579,,,no evidence attached
gf_001529,C I,4344.1,7.946,ABSENT,,,-2.612,,,no evidence attached
gf_001530,C I,4344.309,7.946,ABSENT,,,-2.163,,,no evidence attached
gf_001531,C I,4348.968,7.946,ABSENT,,,-2.482,,,no evidence attached
gf_001532,C I,4352.557,7.685,ABSENT,,,-3.992,,,no evidence attached
gf_001533,C I,4355.406,7.685,ABSENT,,,-2.007,,,no evidence attached
gf_001534,C I,4362.669,7.946,ABSENT,,,-3.334,,,no evidence attached
gf_001535,C I,4363.434,7.946,ABSENT,,,-4.27,,,no evidence attached
gf_001536,C I,4369.688,7.946,ABSENT,,,-3.285,,,no evidence attached
gf_001537,C I,4370.456,7.946,ABSENT,,,-4.038,,,no evidence attached
gf_001538,C I,4371.367,7.685,UNIQUE,B,0.0458,-1.962,-1.9666,+0.0046,evidence attached; log_gf UNCHANGED
gf_001539,C I,4372.231,7.946,ABSENT,,,-3.26,,,no evidence attached
gf_001540,C I,4380.315,7.946,ABSENT,,,-3.931,,,no evidence attached
gf_001541,C I,4380.527,7.946,ABSENT,,,-4.764,,,no evidence attached
gf_001542,C I,4460.684,7.946,ABSENT,,,-4.485,,,no evidence attached
gf_001543,C I,4461.2978,7.946,ABSENT,,,-3.7157,,,no evidence attached
gf_001544,C I,4461.4951,7.946,ABSENT,,,-3.7105,,,no evidence attached
gf_001545,C I,4463.8828,7.946,ABSENT,,,-3.1847,,,no evidence attached
gf_001546,C I,4464.439,7.946,ABSENT,,,-3.558,,,no evidence attached
gf_001547,C I,4464.6685,7.946,ABSENT,,,-3.3272,,,no evidence attached
gf_001548,C I,4466.4627,7.946,ABSENT,,,-2.7323,,,no evidence attached
gf_001549,C I,4467.311,7.946,ABSENT,,,-3.274,,,no evidence attached
gf_001550,C I,4477.4722,7.946,ABSENT,,,-2.7083,,,no evidence attached
gf_001551,C I,4478.311,7.946,ABSENT,,,-3.239,,,no evidence attached
gf_001552,C I,4478.583,7.946,ABSENT,,,-2.836,,,no evidence attached
gf_001553,C I,4478.8207,7.946,ABSENT,,,-2.8428,,,no evidence attached
gf_001554,C I,4532.927,7.685,ABSENT,,,-4.201,,,no evidence attached
gf_001555,C I,4537.663,7.685,ABSENT,,,-4.071,,,no evidence attached
gf_001556,C I,4557.035,7.685,ABSENT,,,-5.053,,,no evidence attached
gf_001557,C I,4621.572,0.002,UNIQUE,C+,0.0862,-11.129,-11.1249,-0.0041,evidence attached; log_gf UNCHANGED
gf_001558,C I,4642.235,7.946,ABSENT,,,-4.642,,,no evidence attached
gf_001559,C I,4667.83,7.483,ABSENT,,,-4.842,,,no evidence attached
gf_001560,C I,4676.675,7.488,UNIQUE,E,1.0000,-4.324,-4.3468,+0.0228,evidence attached; log_gf UNCHANGED
gf_001561,C I,4690.69,7.946,ABSENT,,,-4.022,,,no evidence attached
gf_001562,C I,4701.57,8.537,ABSENT,,,-2.005,,,no evidence attached
gf_001563,C I,4716.106,8.537,ABSENT,,,-2.108,,,no evidence attached
gf_001564,C I,4733.833,8.537,ABSENT,,,-0.472,,,no evidence attached
gf_001565,C I,4734.26,7.946,UNIQUE,C,0.1249,-2.366,-2.3696,+0.0036,evidence attached; log_gf UNCHANGED
gf_001566,C I,4734.917,7.946,UNIQUE,D,0.3010,-4.29,-4.2924,+0.0024,evidence attached; log_gf UNCHANGED
gf_001567,C I,4735.163,7.946,UNIQUE,C,0.1249,-3.114,-3.1249,+0.0109,evidence attached; log_gf UNCHANGED
gf_001568,C I,4735.694,8.537,ABSENT,,,-1.029,,,no evidence attached
gf_001569,C I,4738.213,7.946,UNIQUE,C,0.1249,-3.115,-3.1079,-0.0071,evidence attached; log_gf UNCHANGED
gf_001570,C I,4738.46,7.946,UNIQUE,C,0.1249,-2.638,-2.6383,+0.0003,evidence attached; log_gf UNCHANGED
gf_001571,C I,4742.561,7.946,UNIQUE,C,0.1249,-2.99,-2.9914,+0.0014,evidence attached; log_gf UNCHANGED
gf_001572,C I,4749.263,8.537,ABSENT,,,-2.342,,,no evidence attached
gf_001573,C I,4762.303,7.48,UNIQUE,C,0.1249,-2.464,-2.4685,+0.0045,evidence attached; log_gf UNCHANGED
gf_001574,C I,4762.521,7.483,UNIQUE,C,0.1249,-2.335,-2.3468,+0.0118,evidence attached; log_gf UNCHANGED
gf_001575,C I,4766.665,7.483,UNIQUE,C,0.1249,-2.617,-2.6198,+0.0028,evidence attached; log_gf UNCHANGED
gf_001576,C I,4770.021,7.483,UNIQUE,C,0.1249,-2.437,-2.4437,+0.0067,evidence attached; log_gf UNCHANGED
gf_001577,C I,4771.73,7.488,UNIQUE,C,0.1249,-1.866,-1.8697,+0.0037,evidence attached; log_gf UNCHANGED
gf_001578,C I,4775.889,7.488,UNIQUE,C,0.1249,-2.304,-2.3054,+0.0014,evidence attached; log_gf UNCHANGED
gf_001579,C I,4777.198,8.537,ABSENT,,,-2.284,,,no evidence attached
gf_001580,C I,4779.571,8.537,ABSENT,,,-2.398,,,no evidence attached
gf_001581,C I,4783.805,7.946,ABSENT,,,-2.949,,,no evidence attached
gf_001582,C I,4784.725,7.946,ABSENT,,,-3.88,,,no evidence attached
