tp_code,graded_rows,class
T5520LS,626,UNDECODED
T5723LS,477,UNDECODED
T5713LS,436,UNDECODED
T5109LS,421,UNDECODED
T7370,400,UNDECODED
T7333,358,UNDECODED
T10528,341,UNDECODED
"u18,LS",288,UNDECODED
T6070,185,UNDECODED
T9787,146,UNDECODED
T6385n,115,UNDECODED
T7476,107,UNDECODED
T5714,100,UNDECODED
T5520,99,UNDECODED
T6070n,94,UNDECODED
T10276,87,UNDECODED
T6385,84,UNDECODED
T7851,80,UNDECODED
"T5803,LS",75,UNDECODED
T6172,72,UNDECODED
T6172n,72,UNDECODED
T7194,63,UNDECODED
T5803,57,UNDECODED
"T6172,T6632",56,UNDECODED
"T6070n,T4828n",43,UNDECODED
T2440,39,UNDECODED
"T6070n,T4828n,u24",15,UNDECODED
"T5520,T6385",15,UNDECODED
"T5047,T4644",13,UNDECODED
T6632n,13,UNDECODED
T5986,13,UNDECODED
T9221,12,UNDECODED
T6340,12,UNDECODED
T5713,12,UNDECODED
T6632,11,UNDECODED
"T5520,T6070",10,UNDECODED
T5714n,9,UNDECODED
"T5520,T6070,T4828",8,UNDECODED
"T4539,T5081",8,UNDECODED
T6340n,7,UNDECODED
"T7354n,T7194n",4,UNDECODED
"T6070,u24",4,UNDECODED
T5475,4,UNDECODED
T3999LS,3,UNDECODED
K14,3,UNDECODED
"T5520,T6070,T4828,u24",3,UNDECODED
u24,3,UNDECODED
T5466n,3,UNDECODED
"T5803n,LS",3,UNDECODED
T4899,2,UNDECODED
T5475n,2,UNDECODED
T5047,2,UNDECODED
"T5986,T2118,T2613,T3473,T5663",2,UNDECODED
"T7049,T7354,T7194",1,UNDECODED
"T6070,T4828",1,UNDECODED
