species,wavelength_air_A,ep_eV,experimental_loggf,uncertainty_percent,lab_sigma_dex,primary_lab_source,doi,method,canonical_line_id,canonical_loggf,delta_lab_vs_codex,join_status,band,solar_feature_depth,depth_status,grade,grade_reason,AGSS21_reference_used,reference_status,reference_loggf
Si I,2207.978,0.00000,-1.248,5,0.02119,Den Hartog et al. 2023,10.3847/1538-4365/acb642,branching fractions + published radiative lifetimes,,,,missing,FUV,,NOT_MEASURED,ungraded,approved Solar feature depth not yet measured,false,not_member,
Si I,2210.892,0.00956,-0.895,5,0.02119,Den Hartog et al. 2023,10.3847/1538-4365/acb642,branching fractions + published radiative lifetimes,,,,missing,FUV,,NOT_MEASURED,ungraded,approved Solar feature depth not yet measured,false,not_member,
Si I,2211.745,0.00956,-1.388,5,0.02119,Den Hartog et al. 2023,10.3847/1538-4365/acb642,branching fractions + published radiative lifetimes,,,,missing,FUV,,NOT_MEASURED,ungraded,approved Solar feature depth not yet measured,false,not_member,
Si I,2218.057,0.02767,-1.402,5,0.02119,Den Hartog et al. 2023,10.3847/1538-4365/acb642,branching fractions + published radiative lifetimes,,,,missing,FUV,,NOT_MEASURED,ungraded,approved Solar feature depth not yet measured,false,not_member,
Si I,2218.916,0.02767,-2.603,6,0.02531,Den Hartog et al. 2023,10.3847/1538-4365/acb642,branching fractions + published radiative lifetimes,,,,missing,FUV,,NOT_MEASURED,ungraded,approved Solar feature depth not yet measured,false,not_member,
Si I,2438.768,0.00000,-2.723,9,0.03743,Den Hartog et al. 2023,10.3847/1538-4365/acb642,branching fractions + published radiative lifetimes,,,,missing,FUV,,NOT_MEASURED,ungraded,approved Solar feature depth not yet measured,false,not_member,
Si I,2443.365,0.00956,-2.828,9,0.03743,Den Hartog et al. 2023,10.3847/1538-4365/acb642,branching fractions + published radiative lifetimes,,,,missing,FUV,,NOT_MEASURED,ungraded,approved Solar feature depth not yet measured,false,not_member,
Si I,2452.118,0.02767,-2.868,9,0.03743,Den Hartog et al. 2023,10.3847/1538-4365/acb642,branching fractions + published radiative lifetimes,,,,missing,FUV,,NOT_MEASURED,ungraded,approved Solar feature depth not yet measured,false,not_member,
Si I,2506.897,0.00956,-0.595,5,0.02119,Den Hartog et al. 2023,10.3847/1538-4365/acb642,branching fractions + published radiative lifetimes,,,,missing,FUV,,NOT_MEASURED,ungraded,approved Solar feature depth not yet measured,false,not_member,
Si I,2514.316,0.00000,-0.672,5,0.02119,Den Hartog et al. 2023,10.3847/1538-4365/acb642,branching fractions + published radiative lifetimes,,,,missing,FUV,,NOT_MEASURED,ungraded,approved Solar feature depth not yet measured,false,not_member,
Si I,2516.112,0.02767,-0.098,5,0.02119,Den Hartog et al. 2023,10.3847/1538-4365/acb642,branching fractions + published radiative lifetimes,,,,missing,FUV,,NOT_MEASURED,ungraded,approved Solar feature depth not yet measured,false,not_member,
Si I,2519.202,0.00956,-0.810,5,0.02119,Den Hartog et al. 2023,10.3847/1538-4365/acb642,branching fractions + published radiative lifetimes,,,,missing,FUV,,NOT_MEASURED,ungraded,approved Solar feature depth not yet measured,false,not_member,
Si I,2528.508,0.02767,-0.583,5,0.02119,Den Hartog et al. 2023,10.3847/1538-4365/acb642,branching fractions + published radiative lifetimes,,,,missing,FUV,,NOT_MEASURED,ungraded,approved Solar feature depth not yet measured,false,not_member,
Si I,2563.679,0.78085,-3.922,20,0.07918,Den Hartog et al. 2023,10.3847/1538-4365/acb642,branching fractions + published radiative lifetimes,,,,missing,FUV,,NOT_MEASURED,ungraded,approved Solar feature depth not yet measured,false,not_member,
Si I,2564.825,0.78085,-4.228,26,0.10037,Den Hartog et al. 2023,10.3847/1538-4365/acb642,branching fractions + published radiative lifetimes,,,,missing,FUV,,NOT_MEASURED,ungraded,approved Solar feature depth not yet measured,false,not_member,
Si I,2881.578,0.78085,-0.088,5,0.02119,Den Hartog et al. 2023,10.3847/1538-4365/acb642,branching fractions + published radiative lifetimes,,,,missing,FUV,,NOT_MEASURED,ungraded,approved Solar feature depth not yet measured,false,not_member,
Si I,2970.353,0.78085,-3.531,11,0.04532,Den Hartog et al. 2023,10.3847/1538-4365/acb642,branching fractions + published radiative lifetimes,,,,missing,FUV,,NOT_MEASURED,ungraded,approved Solar feature depth not yet measured,false,not_member,
Si I,2987.643,0.78085,-2.035,8,0.03342,Den Hartog et al. 2023,10.3847/1538-4365/acb642,branching fractions + published radiative lifetimes,,,,missing,FUV,,NOT_MEASURED,ungraded,approved Solar feature depth not yet measured,false,not_member,
Si I,3905.523,1.90870,-1.077,10,0.04139,Den Hartog et al. 2023,10.3847/1538-4365/acb642,branching fractions + published radiative lifetimes,gf_117214,-1.077,0.000,matched,VIS,,NOT_MEASURED,ungraded,approved Solar feature depth not yet measured,false,explicitly_rejected,-0.990
Si I,4102.936,1.90870,-3.026,18,0.07188,Den Hartog et al. 2023,10.3847/1538-4365/acb642,branching fractions + published radiative lifetimes,gf_117215,-3.026,0.000,matched,VIS,,NOT_MEASURED,ungraded,approved Solar feature depth not yet measured,false,explicitly_rejected,-3.040
Si II,2334.407,0.03634,-5.088,16,0.06446,Den Hartog et al. 2023,10.3847/1538-4365/acb642,branching fractions + published radiative lifetimes,,,,missing,FUV,,NOT_MEASURED,ungraded,approved Solar feature depth not yet measured,false,not_member,
Si II,2350.172,0.03634,-5.116,16,0.06446,Den Hartog et al. 2023,10.3847/1538-4365/acb642,branching fractions + published radiative lifetimes,,,,missing,FUV,,NOT_MEASURED,ungraded,approved Solar feature depth not yet measured,false,not_member,
