band,published_used,published_explicitly_rejected,codex_matched,codex_graded,codex_ungraded,missing,ambiguous,codex_al1_rows_in_band,codex_graded_rows_in_band,source_diagnostic_lines_not_in_abundance,source_analysis_lines_role_unstated
FUV,0,0,0,0,0,0,0,0,0,0,0
NUV,0,0,0,0,0,0,0,0,0,0,23
near-UV,0,0,0,0,0,0,0,10,0,0,3
VIS,2,0,2,2,0,0,0,23,3,2,0
red-optical,2,0,2,0,2,0,0,54,0,0,7
NIR,2,1,1,0,1,1,0,5,1,0,2
J,0,0,0,0,0,0,0,18,0,0,0
H,0,0,0,0,0,0,0,18,0,1,2
K,0,0,0,0,0,0,0,31,0,0,5
OUTSIDE_CURRENT_INSTRUMENT_REACH,0,0,0,0,0,0,0,13,0,2,1
