holding,instrument,band,grade,band_lo_A,band_hi_A,covered_lo_A,covered_hi_A,instrument_reaches_band,span_source,n_lines_at_grade,fe1_lab,fe1_shallow,fe1_deep,fe1_depth_max,fe2_lab,fe2_deep,verdict,reason
solar_kpno_kurucz2005_corrected,kpno_solar_atlas,near-UV,Codex Grade,3000.0,3780.0,3000.0,3780.0,True,HOLDING — holdings_manifest_registry note: 'Kurucz R.L. 2005 high-resolution irradiance product ... 300-1000 nm',0,59,0,58,0.994,12,12,ABSENT_NO_LAB_LINE_AT_THIS_DEPTH,no primary-lab-gf Fe line with feature depth <=0.6 in 3000-3780 A (deepest lab feature in band = 0.994)
solar_kpno_kurucz2005_corrected,kpno_solar_atlas,near-UV,Deep Grade,3000.0,3780.0,3000.0,3780.0,True,HOLDING — holdings_manifest_registry note: 'Kurucz R.L. 2005 high-resolution irradiance product ... 300-1000 nm',70,59,0,58,0.994,12,12,LIVE,70 primary-lab-gf Fe line(s) at this depth grade (>0.6) in 3000-3780 A
solar_kpno_kurucz2005_corrected,kpno_solar_atlas,near-UV,Reference Grade,3000.0,3780.0,3000.0,3780.0,True,HOLDING — holdings_manifest_registry note: 'Kurucz R.L. 2005 high-resolution irradiance product ... 300-1000 nm',0,59,0,58,0.994,12,12,ABSENT_NO_REFERENCE_LINE,"AGSS21 Table A.2 publishes no Fe line inside near-UV ∩ this holding's span (3000-3780 A). The reference set is optical; this is a published SELECTION, not a coverage hole."
solar_kpno_kurucz2005_corrected,kpno_solar_atlas,VIS,Codex Grade,3780.0,6910.0,3780.0,6910.0,True,HOLDING — holdings_manifest_registry note: 'Kurucz R.L. 2005 high-resolution irradiance product ... 300-1000 nm',66,243,66,174,0.928,10,10,LIVE,66 primary-lab-gf Fe line(s) at this depth grade (<=0.6) in 3780-6910 A
solar_kpno_kurucz2005_corrected,kpno_solar_atlas,VIS,Deep Grade,3780.0,6910.0,3780.0,6910.0,True,HOLDING — holdings_manifest_registry note: 'Kurucz R.L. 2005 high-resolution irradiance product ... 300-1000 nm',184,243,66,174,0.928,10,10,LIVE,184 primary-lab-gf Fe line(s) at this depth grade (>0.6) in 3780-6910 A
solar_kpno_kurucz2005_corrected,kpno_solar_atlas,VIS,Reference Grade,3780.0,6910.0,3780.0,6910.0,True,HOLDING — holdings_manifest_registry note: 'Kurucz R.L. 2005 high-resolution irradiance product ... 300-1000 nm',36,243,66,174,0.928,10,10,LIVE,36 AGSS21 Table A.2 line(s) in VIS within this holding's coverage
solar_kpno_kurucz2005_corrected,kpno_solar_atlas,red-optical,Codex Grade,6910.0,9199.0,6910.0,9199.0,True,HOLDING — holdings_manifest_registry note: 'Kurucz R.L. 2005 high-resolution irradiance product ... 300-1000 nm',66,70,66,0,0.583,0,0,LIVE,66 primary-lab-gf Fe line(s) at this depth grade (<=0.6) in 6910-9199 A
solar_kpno_kurucz2005_corrected,kpno_solar_atlas,red-optical,Deep Grade,6910.0,9199.0,6910.0,9199.0,True,HOLDING — holdings_manifest_registry note: 'Kurucz R.L. 2005 high-resolution irradiance product ... 300-1000 nm',0,70,66,0,0.583,0,0,ABSENT_NO_LAB_LINE_AT_THIS_DEPTH,no primary-lab-gf Fe line with feature depth >0.6 in 6910-9199 A (deepest lab feature in band = 0.583)
solar_kpno_kurucz2005_corrected,kpno_solar_atlas,red-optical,Reference Grade,6910.0,9199.0,6910.0,9199.0,True,HOLDING — holdings_manifest_registry note: 'Kurucz R.L. 2005 high-resolution irradiance product ... 300-1000 nm',16,70,66,0,0.583,0,0,GAP,16 AGSS21 Table A.2 line(s) in red-optical within this holding's coverage
solar_kpno_kurucz2005_corrected,kpno_solar_atlas,NIR,Codex Grade,9199.0,13000.0,9199.0,10000.0,True,HOLDING — holdings_manifest_registry note: 'Kurucz R.L. 2005 high-resolution irradiance product ... 300-1000 nm',24,24,24,0,0.344,0,0,GAP,24 primary-lab-gf Fe line(s) at this depth grade (<=0.6) in 9199-10000 A
