element,species,line_label,store_line_id,store_wavelength_A,store_log_gf,store_gf_tier,store_nist_grade,n_pull_rows,n_pull_rows_carrying_1pct,pull_log_gf_summed,pull_grade_worst,pull_grades_below_1pct_ignored,pull_tp_codes,delta_pull_minus_store,verdict,grade_verdict
C,C I,538.0nm,gf_001814,5380.325,-1.615,NIST-C+,B,1,1,-1.6144,B,,T6070,0.0006,AGREES,
C,C I,658.8nm,gf_002178,6587.61,-1.004365,NIST-C+,B,1,1,-1.0044,B,,"T5520,T6070",0.0,AGREES,
C,C I,711.1nm,gf_002286,7111.461,-1.091515,NIST-C+,B,1,1,-1.0915,B,,T6070n,0.0,AGREES,
C,C I,711.3nm,gf_002287,7113.171,-0.772885,NIST-C+,B,1,1,-0.7729,B,,T6070n,0.0,AGREES,
C,C I,833.5nm,gf_002427,8335.147,-0.436519,NIST-C+,B+,1,1,-0.4365,B+,,"T5520,T6070,T4828,u24",0.0,AGREES,
C,C I,872.7nm,gf_002448,8727.139,-8.154902,NIST-C+,B,1,1,-8.1549,B,,T7851,0.0,AGREES,
C,C I,906.1nm,gf_002484,9061.43,-0.346787,NIST-C+,B,1,1,-0.3468,B,,"T6070n,T4828n,u24",-0.0,AGREES,
C,C I,906.2nm,gf_002485,9062.47,-0.455932,NIST-C+,B,1,1,-0.4559,B,,"T6070n,T4828n,u24",0.0,AGREES,
C,C I,907.8nm,gf_002486,9078.28,-0.583359,NIST-C+,B,1,1,-0.5834,B,,"T6070n,T4828n,u24",-0.0,AGREES,
C,C I,908.9nm,gf_002488,9088.508,-0.429457,NIST-C+,B,1,1,-0.4295,B,,"T6070n,T4828n,u24",-0.0,AGREES,
C,C I,909.5nm,gf_002489,9094.829,0.146128,NIST-C+,B,1,1,0.1461,B,,"T6070n,T4828n,u24",0.0,AGREES,
C,C I,911.2nm,gf_002491,9111.799,-0.296709,NIST-C+,B,1,1,-0.2967,B,,"T6070n,T4828n,u24",0.0,AGREES,
C,C I,940.6nm,gf_167215,9405.73,0.283301,NIST-C+,B+,1,1,0.2833,B+,,"T5520,T6070,T4828,u24",0.0,AGREES,
C,C I,960.3nm,gf_167259,9603.03,-0.896196,NIST-C+,B,1,1,-0.8962,B,,"T6070n,T4828n,u24",-0.0,AGREES,
C,C I,962.1nm,gf_167261,9620.8,-0.443697,NIST-C+,B,1,1,-0.4437,B,,"T6070n,T4828n,u24",-0.0,AGREES,
C,C I,965.8nm,gf_167273,9658.44,-0.279841,NIST-C+,B,1,1,-0.2798,B,,"T6070n,T4828n,u24",0.0,AGREES,
O,O I,615.6nm,gf_108766,6155.9753,-0.664342,NIST-C+,B+,3,3,-0.6643,B+,,"T5803,LS",0.0,AGREES,
O,O I,615.6nm,gf_108766,6155.9753,-0.664342,NIST-C+,B+,3,3,-0.6643,B+,,"T5803,LS",0.0,AGREES,
O,O I,615.6nm,gf_108766,6155.9753,-0.664342,NIST-C+,B+,3,3,-0.6643,B+,,"T5803,LS",0.0,AGREES,
O,O I,615.7nm,gf_108767,6156.7663,-0.442373,NIST-C+,B+,3,3,-0.4424,B+,,"T5803,LS",0.0,AGREES,
O,O I,615.7nm,gf_108767,6156.7663,-0.442373,NIST-C+,B+,3,3,-0.4424,B+,,"T5803,LS",0.0,AGREES,
O,O I,615.7nm,gf_108767,6156.7663,-0.442373,NIST-C+,B+,3,3,-0.4424,B+,,"T5803,LS",0.0,AGREES,
O,O I,615.8nm,gf_108768,6158.187,-0.409,VALD3,,3,3,-0.2966,B+,,"T5803,LS",0.1124,"🔴 DISAGREES — reported to Ryan, not resolved",
O,O I,615.8nm,gf_108768,6158.187,-0.409,VALD3,,3,3,-0.2966,B+,,"T5803,LS",0.1124,"🔴 DISAGREES — reported to Ryan, not resolved",
O,O I,615.8nm,gf_108768,6158.187,-0.409,VALD3,,3,3,-0.2966,B+,,"T5803,LS",0.1124,"🔴 DISAGREES — reported to Ryan, not resolved",
