element,ion,band,instrument,holding,selector,treatment,A,sigma_stat,sigma_syst,n_lines,n_excluded,dominant_term,red_chi2_median,red_chi2_max,gf_rung,n_agss21_indicators_in_pool,agss21_indicators_in_pool,pool_wavelengths_A
C,I,VIS,harps,solar_harps_molecfit_corrected,SET-AGSS21,1D-LTE,8.469,0.0128,0.0414,3,0,gf scale (cited NIST class),70.5,77.0,"gf rung 2 (gf scale (cited NIST class)): all 3 C I lines carry a NIST ASD accuracy class (RMS 0.0414 dex over classes B). ⚠️ COMPILATION, NOT LABORATORY: no primary-laboratory gf table exists for C I and none will — the accepted standard for the light elements is critically-evaluated theory (Opacity Project / MCHF, RYA-1172) — so rung 3 is structurally unreachable and this is the pool's true ceiling",3,505.2nm|538.0nm|658.8nm,5052.144|5380.325|6587.610
C,I,VIS,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,SET-AGSS21,1D-LTE,8.477,0.0342,0.0414,3,0,gf scale (cited NIST class),59.1,69.3,"gf rung 2 (gf scale (cited NIST class)): all 3 C I lines carry a NIST ASD accuracy class (RMS 0.0414 dex over classes B). ⚠️ COMPILATION, NOT LABORATORY: no primary-laboratory gf table exists for C I and none will — the accepted standard for the light elements is critically-evaluated theory (Opacity Project / MCHF, RYA-1172) — so rung 3 is structurally unreachable and this is the pool's true ceiling",3,505.2nm|538.0nm|658.8nm,5052.144|5380.325|6587.610
C,I,VIS,kpno_solar_atlas,solar_kpno_molecfit_corrected,SET-AGSS21,1D-LTE,8.456,0.0368,0.0414,3,0,gf scale (cited NIST class),75.7,113.0,"gf rung 2 (gf scale (cited NIST class)): all 3 C I lines carry a NIST ASD accuracy class (RMS 0.0414 dex over classes B). ⚠️ COMPILATION, NOT LABORATORY: no primary-laboratory gf table exists for C I and none will — the accepted standard for the light elements is critically-evaluated theory (Opacity Project / MCHF, RYA-1172) — so rung 3 is structurally unreachable and this is the pool's true ceiling",3,505.2nm|538.0nm|658.8nm,5052.144|5380.325|6587.610
C,I,VIS,harps,solar_harps_molecfit_corrected,depth-ranked (select_lines),1D-LTE,8.536,0.125,0.145,5,1,gf scale (cited NIST class),77.0,295.7,"gf rung 2 (gf scale (cited NIST class)): all 5 C I lines carry a NIST ASD accuracy class (RMS 0.1450 dex over classes B, C, E). ⚠️ COMPILATION, NOT LABORATORY: no primary-laboratory gf table exists for C I and none will — the accepted standard for the light elements is critically-evaluated theory (Opacity Project / MCHF, RYA-1172) — so rung 3 is structurally unreachable and this is the pool's true ceiling",2,505.2nm|538.0nm,4269.019|4771.730|4932.049|5052.144|5380.325
C,I,VIS,iag_fts_solar_atlas,solar_iag,depth-ranked (select_lines),1D-LTE,8.473,0.0435,0.0414,2,0,line-to-line scatter,54.8,69.6,"gf rung 2 (gf scale (cited NIST class)): all 2 C I lines carry a NIST ASD accuracy class (RMS 0.0414 dex over classes B). ⚠️ COMPILATION, NOT LABORATORY: no primary-laboratory gf table exists for C I and none will — the accepted standard for the light elements is critically-evaluated theory (Opacity Project / MCHF, RYA-1172) — so rung 3 is structurally unreachable and this is the pool's true ceiling",2,505.2nm|538.0nm,5052.144|5380.325
C,I,VIS,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,depth-ranked (select_lines),1D-LTE,8.48,0.0734,0.145,5,1,gf scale (cited NIST class),69.3,247.7,"gf rung 2 (gf scale (cited NIST class)): all 5 C I lines carry a NIST ASD accuracy class (RMS 0.1450 dex over classes B, C, E). ⚠️ COMPILATION, NOT LABORATORY: no primary-laboratory gf table exists for C I and none will — the accepted standard for the light elements is critically-evaluated theory (Opacity Project / MCHF, RYA-1172) — so rung 3 is structurally unreachable and this is the pool's true ceiling",2,505.2nm|538.0nm,4269.019|4771.730|4932.049|5052.144|5380.325
C,I,VIS,kpno_solar_atlas,solar_kpno_molecfit_corrected,depth-ranked (select_lines),1D-LTE,8.503,0.0771,0.145,5,1,gf scale (cited NIST class),75.7,252.6,"gf rung 2 (gf scale (cited NIST class)): all 5 C I lines carry a NIST ASD accuracy class (RMS 0.1450 dex over classes B, C, E). ⚠️ COMPILATION, NOT LABORATORY: no primary-laboratory gf table exists for C I and none will — the accepted standard for the light elements is critically-evaluated theory (Opacity Project / MCHF, RYA-1172) — so rung 3 is structurally unreachable and this is the pool's true ceiling",2,505.2nm|538.0nm,4269.019|4771.730|4932.049|5052.144|5380.325
C,I,red-optical,iag_fts_solar_atlas,solar_iag,SET-AGSS21,1D-LTE,8.564,0.0236,0.0503,10,0,gf scale (cited NIST class),40.8,97.6,"gf rung 2 (gf scale (cited NIST class)): all 10 C I lines carry a NIST ASD accuracy class (RMS 0.0404 dex over classes B, B+). ⚠️ COMPILATION, NOT LABORATORY: no primary-laboratory gf table exists for C I and none will — the accepted standard for the light elements is critically-evaluated theory (Opacity Project / MCHF, RYA-1172) — so rung 3 is structurally unreachable and this is the pool's true ceiling",10,711.1nm|711.3nm|833.5nm|872.7nm|906.1nm|906.2nm|907.8nm|908.9nm|909.5nm|911.2nm,7111.461|7113.171|8335.147|8727.139|9061.430|9062.470|9078.280|9088.508|9094.829|9111.799
C,I,red-optical,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,SET-AGSS21,1D-LTE,8.624,0.0288,0.0503,10,0,gf scale (cited NIST class),46.8,89.5,"gf rung 2 (gf scale (cited NIST class)): all 10 C I lines carry a NIST ASD accuracy class (RMS 0.0404 dex over classes B, B+). ⚠️ COMPILATION, NOT LABORATORY: no primary-laboratory gf table exists for C I and none will — the accepted standard for the light elements is critically-evaluated theory (Opacity Project / MCHF, RYA-1172) — so rung 3 is structurally unreachable and this is the pool's true ceiling",10,711.1nm|711.3nm|833.5nm|872.7nm|906.1nm|906.2nm|907.8nm|908.9nm|909.5nm|911.2nm,7111.461|7113.171|8335.147|8727.139|9061.430|9062.470|9078.280|9088.508|9094.829|9111.799
C,I,red-optical,kpno_solar_atlas,solar_kpno_molecfit_corrected,SET-AGSS21,1D-LTE,8.793,0.1784,0.0503,10,0,line-to-line scatter,52.1,500.1,"gf rung 2 (gf scale (cited NIST class)): all 10 C I lines carry a NIST ASD accuracy class (RMS 0.0404 dex over classes B, B+). ⚠️ COMPILATION, NOT LABORATORY: no primary-laboratory gf table exists for C I and none will — the accepted standard for the light elements is critically-evaluated theory (Opacity Project / MCHF, RYA-1172) — so rung 3 is structurally unreachable and this is the pool's true ceiling",10,711.1nm|711.3nm|833.5nm|872.7nm|906.1nm|906.2nm|907.8nm|908.9nm|909.5nm|911.2nm,7111.461|7113.171|8335.147|8727.139|9061.430|9062.470|9078.280|9088.508|9094.829|9111.799
C,I,red-optical,iag_fts_solar_atlas,solar_iag,depth-ranked (select_lines),1D-LTE,8.587,0.0241,0.0497,6,0,gf scale (cited NIST class),33.5,65.4,"gf rung 2 (gf scale (cited NIST class)): all 6 C I lines carry a NIST ASD accuracy class (RMS 0.0396 dex over classes B, B+). ⚠️ COMPILATION, NOT LABORATORY: no primary-laboratory gf table exists for C I and none will — the accepted standard for the light elements is critically-evaluated theory (Opacity Project / MCHF, RYA-1172) — so rung 3 is structurally unreachable and this is the pool's true ceiling",6,833.5nm|906.1nm|907.8nm|908.9nm|909.5nm|911.2nm,8335.147|9061.430|9078.280|9088.508|9094.829|9111.799
C,I,red-optical,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,depth-ranked (select_lines),1D-LTE,8.628,0.0165,0.0497,6,0,gf scale (cited NIST class),47.4,89.5,"gf rung 2 (gf scale (cited NIST class)): all 6 C I lines carry a NIST ASD accuracy class (RMS 0.0396 dex over classes B, B+). ⚠️ COMPILATION, NOT LABORATORY: no primary-laboratory gf table exists for C I and none will — the accepted standard for the light elements is critically-evaluated theory (Opacity Project / MCHF, RYA-1172) — so rung 3 is structurally unreachable and this is the pool's true ceiling",6,833.5nm|906.1nm|907.8nm|908.9nm|909.5nm|911.2nm,8335.147|9061.430|9078.280|9088.508|9094.829|9111.799
C,I,red-optical,kpno_solar_atlas,solar_kpno_molecfit_corrected,depth-ranked (select_lines),1D-LTE,8.981,0.2009,0.0497,6,0,line-to-line scatter,191.6,500.1,"gf rung 2 (gf scale (cited NIST class)): all 6 C I lines carry a NIST ASD accuracy class (RMS 0.0396 dex over classes B, B+). ⚠️ COMPILATION, NOT LABORATORY: no primary-laboratory gf table exists for C I and none will — the accepted standard for the light elements is critically-evaluated theory (Opacity Project / MCHF, RYA-1172) — so rung 3 is structurally unreachable and this is the pool's true ceiling",6,833.5nm|906.1nm|907.8nm|908.9nm|909.5nm|911.2nm,8335.147|9061.430|9078.280|9088.508|9094.829|9111.799
N,I,red-optical,iag_fts_solar_atlas,solar_iag,SET-AGSS21,1D-LTE,8.351,0.119,0.042,4,0,line-to-line scatter,52.0,56.5,"gf rung 2 (gf scale (cited NIST class)): all 4 N I lines carry a NIST ASD accuracy class (RMS 0.0294 dex over classes B+). ⚠️ COMPILATION, NOT LABORATORY: no primary-laboratory gf table exists for N I and none will — the accepted standard for the light elements is critically-evaluated theory (Opacity Project / MCHF, RYA-1172) — so rung 3 is structurally unreachable and this is the pool's true ceiling",4,7442.29A|8216.33A|8629.23A|8683.40A,7442.298|8216.336|8629.235|8683.403
N,I,red-optical,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,SET-AGSS21,1D-LTE,8.293,0.0691,0.042,4,0,line-to-line scatter,43.6,55.0,"gf rung 2 (gf scale (cited NIST class)): all 4 N I lines carry a NIST ASD accuracy class (RMS 0.0294 dex over classes B+). ⚠️ COMPILATION, NOT LABORATORY: no primary-laboratory gf table exists for N I and none will — the accepted standard for the light elements is critically-evaluated theory (Opacity Project / MCHF, RYA-1172) — so rung 3 is structurally unreachable and this is the pool's true ceiling",4,7442.29A|8216.33A|8629.23A|8683.40A,7442.298|8216.336|8629.235|8683.403
N,I,red-optical,kpno_solar_atlas,solar_kpno_molecfit_corrected,SET-AGSS21,1D-LTE,8.287,0.122,0.042,4,0,line-to-line scatter,47.9,53.6,"gf rung 2 (gf scale (cited NIST class)): all 4 N I lines carry a NIST ASD accuracy class (RMS 0.0294 dex over classes B+). ⚠️ COMPILATION, NOT LABORATORY: no primary-laboratory gf table exists for N I and none will — the accepted standard for the light elements is critically-evaluated theory (Opacity Project / MCHF, RYA-1172) — so rung 3 is structurally unreachable and this is the pool's true ceiling",4,7442.29A|8216.33A|8629.23A|8683.40A,7442.298|8216.336|8629.235|8683.403
N,I,red-optical,iag_fts_solar_atlas,solar_iag,SET-AGSS21_ENGINE-A,ENGINE-A,8.091,0.107,0.042,2,2,line-to-line scatter,,,"gf rung 2 (gf scale (cited NIST class)): all 4 N I lines carry a NIST ASD accuracy class (RMS 0.0294 dex over classes B+). ⚠️ COMPILATION, NOT LABORATORY: no primary-laboratory gf table exists for N I and none will — the accepted standard for the light elements is critically-evaluated theory (Opacity Project / MCHF, RYA-1172) — so rung 3 is structurally unreachable and this is the pool's true ceiling",0,,
N,I,red-optical,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,SET-AGSS21_ENGINE-A,ENGINE-A,8.189,0.0266,0.042,2,2,telluric residual,,,"gf rung 2 (gf scale (cited NIST class)): all 4 N I lines carry a NIST ASD accuracy class (RMS 0.0294 dex over classes B+). ⚠️ COMPILATION, NOT LABORATORY: no primary-laboratory gf table exists for N I and none will — the accepted standard for the light elements is critically-evaluated theory (Opacity Project / MCHF, RYA-1172) — so rung 3 is structurally unreachable and this is the pool's true ceiling",0,,
