element,ion,engine,grid_id,band,band_lo_A,band_hi_A,state,n_lines_served,n_lines_reachable,n_lines_catalogued,level_asset,grid_asset,note
Si,I,A,Si_Amarsi2020_PySME,near-UV,3000.0,3800.0,REACH-UNKNOWN,0,0,0,label_Si.txt,Si_Amarsi2020_PySME.csv,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it; registry role=production"
Si,I,A,Si_Amarsi2020_PySME,VIS,3800.0,6910.0,SERVED,7,540,711,label_Si.txt,Si_Amarsi2020_PySME.csv,registry role=production
Si,I,A,Si_Amarsi2020_PySME,red-optical,6910.0,10000.0,REACHABLE-NOT-EXTRACTED,0,438,513,label_Si.txt,Si_Amarsi2020_PySME.csv,levels present in the model; no per-line extract exposes this band; registry role=production
Si,I,A,Si_Amarsi2020_PySME,NIR,10000.0,24000.0,REACH-UNKNOWN,0,0,0,label_Si.txt,Si_Amarsi2020_PySME.csv,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it; registry role=production"
Si,I,A,Si_Bergemann_MPIA,near-UV,3000.0,3800.0,REACH-UNKNOWN,0,0,0,label_Si.txt,Si_Bergemann_MPIA.csv,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Si,I,A,Si_Bergemann_MPIA,VIS,3800.0,6910.0,SERVED,6,540,711,label_Si.txt,Si_Bergemann_MPIA.csv,
Si,I,A,Si_Bergemann_MPIA,red-optical,6910.0,10000.0,REACHABLE-NOT-EXTRACTED,0,438,513,label_Si.txt,Si_Bergemann_MPIA.csv,levels present in the model; no per-line extract exposes this band
Si,I,A,Si_Bergemann_MPIA,NIR,10000.0,24000.0,REACH-UNKNOWN,0,0,0,label_Si.txt,Si_Bergemann_MPIA.csv,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Si,I,B,atom.si340,near-UV,3000.0,3800.0,REACH-UNKNOWN,0,0,0,atom.si340,NLTEgrid4TS_Si_MARCS_Feb-13-2022.bin,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Si,I,B,atom.si340,VIS,3800.0,6910.0,SERVED,203,203,711,atom.si340,NLTEgrid4TS_Si_MARCS_Feb-13-2022.bin,
Si,I,B,atom.si340,red-optical,6910.0,10000.0,SERVED,169,169,513,atom.si340,NLTEgrid4TS_Si_MARCS_Feb-13-2022.bin,
Si,I,B,atom.si340,NIR,10000.0,24000.0,REACH-UNKNOWN,0,0,0,atom.si340,NLTEgrid4TS_Si_MARCS_Feb-13-2022.bin,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Si,II,B,atom.si340,near-UV,3000.0,3800.0,REACH-UNKNOWN,0,0,0,atom.si340,NLTEgrid4TS_Si_MARCS_Feb-13-2022.bin,"levels rebased to this ion's ground state (-8.152 eV; the atom counts from the NEUTRAL ground state); no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Si,II,B,atom.si340,VIS,3800.0,6910.0,UNCOVERED,0,0,149,atom.si340,NLTEgrid4TS_Si_MARCS_Feb-13-2022.bin,"levels rebased to this ion's ground state (-8.152 eV; the atom counts from the NEUTRAL ground state); 149 catalogued line(s) in band; 12 resolve one endpoint, none resolve both in atom.si340"
Si,II,B,atom.si340,red-optical,6910.0,10000.0,SERVED,1,1,105,atom.si340,NLTEgrid4TS_Si_MARCS_Feb-13-2022.bin,levels rebased to this ion's ground state (-8.152 eV; the atom counts from the NEUTRAL ground state)
Si,II,B,atom.si340,NIR,10000.0,24000.0,REACH-UNKNOWN,0,0,0,atom.si340,NLTEgrid4TS_Si_MARCS_Feb-13-2022.bin,"levels rebased to this ion's ground state (-8.152 eV; the atom counts from the NEUTRAL ground state); no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
