line_id,species,historical_external_membership,historical_asplund_label,current_external_membership,current_reference_grade,reason
gf_117214,Si I,explicitly_rejected,excluded,explicitly_rejected,HOLD_independent_best_available_adjudication,external_membership_is_not_Reference_Grade
gf_117215,Si I,explicitly_rejected,excluded,explicitly_rejected,HOLD_independent_best_available_adjudication,external_membership_is_not_Reference_Grade
gf_117415,Si I,used,asplund,used,HOLD_independent_best_available_adjudication,external_membership_is_not_Reference_Grade
gf_117437,Si I,used,asplund,used,HOLD_independent_best_available_adjudication,external_membership_is_not_Reference_Grade
gf_117438,Si I,used,asplund,used,HOLD_independent_best_available_adjudication,external_membership_is_not_Reference_Grade
gf_117440,Si I,used,asplund,used,HOLD_independent_best_available_adjudication,external_membership_is_not_Reference_Grade
gf_117470,Si I,used,asplund,used,HOLD_independent_best_available_adjudication,external_membership_is_not_Reference_Grade
gf_117477,Si I,used,asplund,used,HOLD_independent_best_available_adjudication,external_membership_is_not_Reference_Grade
gf_117856,Si I,used,asplund,used,HOLD_independent_best_available_adjudication,external_membership_is_not_Reference_Grade
gf_117941,Si I,used,asplund,used,HOLD_independent_best_available_adjudication,external_membership_is_not_Reference_Grade
gf_118006,Si I,used,asplund,used,HOLD_independent_best_available_adjudication,external_membership_is_not_Reference_Grade
gf_118528,Si II,used,asplund,used,HOLD_independent_best_available_adjudication,external_membership_is_not_Reference_Grade
