filename,sha256,pages,text_extraction,same_bytes_as
0004190v1.pdf,cee3ea26e43cdf8544772e617cc5ad5f0a8935860b0b702242662f9b8b5c67a9,6,text_extracted_not_full_scientific_review,
0901.4451v2.pdf,2b6eef11ef23cbc6159d69aee05f8424c2c36eda17058036e7316775b3812911,7,text_extracted_not_full_scientific_review,
1002.4268v1.pdf,80c43103c58f7425e9516f038693b751890f7ec415efc1c46ac31253569cff74,19,text_extracted_not_full_scientific_review,BRUNTT2010.pdf
1212.2649v1 (1).pdf,ca5b750b706733ab5e86ffac7f9fc27c551ac5d58969a7415662ecd3dbd366e3,17,text_extracted_not_full_scientific_review,1212.2649v1.pdf
1212.2649v1.pdf,ca5b750b706733ab5e86ffac7f9fc27c551ac5d58969a7415662ecd3dbd366e3,17,text_extracted_not_full_scientific_review,1212.2649v1 (1).pdf
1309.1099v2.pdf,7558ee31ee6c804c921d7cc691656ae8077b1d237bbfbd871462198b6d383d7b,27,text_extracted_not_full_scientific_review,
1405.0279v2.pdf,db8bb59eddd79e3d327381b41c5e443f098624024e6340b8911da946250e97ef,19,text_extracted_not_full_scientific_review,
1506.06095v2.pdf,21539fb6082e7d3063464e6dd8525b3cee78f898eb036670705a16f53cb610be,34,text_extracted_not_full_scientific_review,
1603.05890v3.pdf,e5a61091367020ef26fa629f47664f8c4caf0f5cecb838333780f322ae416c83,69,text_extracted_not_full_scientific_review,
1609.07283v1 (1).pdf,fb29da26b2f4d83be086ef0f78dbfdff692e9f49c434d3362564d3a3a58141a6,11,text_extracted_not_full_scientific_review,1609.07283v1.pdf
1609.07283v1.pdf,fb29da26b2f4d83be086ef0f78dbfdff692e9f49c434d3362564d3a3a58141a6,11,text_extracted_not_full_scientific_review,1609.07283v1 (1).pdf
1708.01949v1.pdf,98eabebccbd740aa02b148f25e18b9395771cb2a564ccb255cbbb2557b7d58fd,20,text_extracted_not_full_scientific_review,
1709.08619v1.pdf,aada7980ea4b582c14e2a2e6a8de5ada6185993ab7c4e551a64ba6c5a6e1d047,9,text_extracted_not_full_scientific_review,
1806.02225v2.pdf,ced77022762c4207e73377a2320aeea7a4e9baabad724fb296ffe2a8ac226982,9,text_extracted_not_full_scientific_review,
1808.09478v1 (1).pdf,a9f293cd6da156b796861dfbf189fb3e08a7d78ac5a8b1cd88d5cddd87014e6f,27,text_extracted_not_full_scientific_review,1808.09478v1.pdf
1808.09478v1.pdf,a9f293cd6da156b796861dfbf189fb3e08a7d78ac5a8b1cd88d5cddd87014e6f,27,text_extracted_not_full_scientific_review,1808.09478v1 (1).pdf
20060052476.pdf,ccb7cca0b2d4b8cca2e0185d20c023f7f1a293b21c6b3fe74caa134f5e72cca2,5,text_extracted_not_full_scientific_review,
2101.09114v1.pdf,286d178151dfcd7fd2bf514092fa258bed46157e5850fb6c68b71c15bf763ce3,21,text_extracted_not_full_scientific_review,
2103.12764v1.pdf,b99e0b23d2305e11d91110d7cde8010109434c708c2d781ce03b18b50411adc7,13,text_extracted_not_full_scientific_review,
2208.11812v1.pdf,8c5e8121370576e9dd223fea0178645ec45b9e7c5585666f4a10d574214d331f,11,text_extracted_not_full_scientific_review,
2209.13449v3.pdf,884d798bb0c80908953573547931824a517bdced00e751706342506872a746a6,17,text_extracted_not_full_scientific_review,
2301.11391v1 (1).pdf,9634663d1e23a8607378d78c796af56491f32170bbb6616d1cd2ee61e28c132b,26,text_extracted_not_full_scientific_review,2301.11391v1 (2).pdf;2301.11391v1 (3).pdf;2301.11391v1.pdf
2301.11391v1 (2).pdf,9634663d1e23a8607378d78c796af56491f32170bbb6616d1cd2ee61e28c132b,26,text_extracted_not_full_scientific_review,2301.11391v1 (1).pdf;2301.11391v1 (3).pdf;2301.11391v1.pdf
2301.11391v1 (3).pdf,9634663d1e23a8607378d78c796af56491f32170bbb6616d1cd2ee61e28c132b,26,text_extracted_not_full_scientific_review,2301.11391v1 (1).pdf;2301.11391v1 (2).pdf;2301.11391v1.pdf
2301.11391v1.pdf,9634663d1e23a8607378d78c796af56491f32170bbb6616d1cd2ee61e28c132b,26,text_extracted_not_full_scientific_review,2301.11391v1 (1).pdf;2301.11391v1 (2).pdf;2301.11391v1 (3).pdf
2505.13607v1.pdf,fa6276789ac37529313d56da918f6e01620989a59fcd3a36cf58aeb1736d26ed,42,text_extracted_not_full_scientific_review,
2511.04254v2.pdf,2a1491f2af9bf45d8eb149241c98411bdf0c755529a67c4816e541bb1f219cf0,155,text_extracted_not_full_scientific_review,
2602.14294v1 (1).pdf,c82b00b562e9ec42bc1ec4e48ba8906433f7254f514c92185d5d24fa1d388d43,22,text_extracted_not_full_scientific_review,2602.14294v1.pdf
2602.14294v1.pdf,c82b00b562e9ec42bc1ec4e48ba8906433f7254f514c92185d5d24fa1d388d43,22,text_extracted_not_full_scientific_review,2602.14294v1 (1).pdf
2605.11095v1.pdf,ead9b63c20f87ed77ad5a64c8527f0689a01951b58d471fe9f9edc0aa41959c1,19,text_extracted_not_full_scientific_review,
2606.11329v1.pdf,d8d9b233ee0f272743b3a42786e9302b299b7e2158fc5f9d2ccc32996c752e14,16,text_extracted_not_full_scientific_review,
3D Hydrodynamical Model Atmospheres (Magic et al. 2013).pdf,9ddb45297120585c20c01f6ac8b37fe9f2b27fc29dd1d1dc7a9445cbd032d2d3,17,text_extracted_not_full_scientific_review,
AbundancesLodders.pdf,b37eef771e9378f9c88171fb116390d91dcd9898a6c1c6638d03b24e94b5fc5c,111,text_extracted_not_full_scientific_review,
Apslund 2021.pdf,bcd9e4527eec239df0f44ee3f2f64a7757896a8cf18eac1c343478489e959938,30,text_extracted_not_full_scientific_review,aa40445-21.pdf
Apslund2010.pdf,993c1092ac2333a2218cdda6c3cc15bb488da8518ef132b7701a91dcaabb9d7c,7,text_extracted_not_full_scientific_review,
BRUNTT2010.pdf,80c43103c58f7425e9516f038693b751890f7ec415efc1c46ac31253569cff74,19,text_extracted_not_full_scientific_review,1002.4268v1.pdf
Baker_2020_ApJS_247_24.pdf,1b6cee09d66d9a7ce62c865013467fdbd4ac226588bd4889cc09244434661dce,14,text_extracted_not_full_scientific_review,
Belmonte_2017_ApJ_848_125.pdf,11fad44b0b4a4b6ba4e6f035985fd9977a5878b44d303982479c7bd4b5a94b35,13,text_extracted_not_full_scientific_review,
Bergin_2024_ApJ_965_147.pdf,78ca625d0c11d531806dadcc814c892e998a9e9857d0c14200f96b1d24632842,12,text_extracted_not_full_scientific_review,
Brooke_2014_ApJS_210_23.pdf,7fd3329a6a441be1d811057fb481feebd63e2b094bb3e31d58e787df0fbf7310,15,text_extracted_not_full_scientific_review,
Buurman1986_Al.pdf,421574f850eaa017888dae073a0ff0b7dd7ccfa2111cd829be7c65b15dfc38cd,3,scan_or_sparse_text_needs_visual_review,
Buurman1990_Al.pdf,b0c58c9a0688d70cf2d2724ff3ba0babef2f8d04b89543ee433627d7e3d38607,2,scan_or_sparse_text_needs_visual_review,
C and O Abundances.pdf,7683b3a0ae57c70f8f1f3cb3a6fb785babed42d516f0fcf5954bfd44c45a0d41,16,text_extracted_not_full_scientific_review,
