ion,band,holding,wavelength_air_A,line_A,red_chi2,target_depth,n_in_window,deepest_interloper,deepest_species,deepest_wavelength_A,n_CH_in_window,contaminated,obs_depth,obs_ew_mA,obs_rew
II,VIS,solar_harps_molecfit_corrected,4233.162,7.619,122.616,0.869,61,0.918,Fe I,4233.60205,5,True,0.83205,191.66273950003261,-1.3441271975490552
II,VIS,solar_harps_molecfit_corrected,4351.762,7.197,96.542,0.886,56,0.888,Cr I,4351.811,18,True,0.86051,331.56168450004463,-1.1181007981571496
II,VIS,solar_harps_molecfit_corrected,4385.377,8.59,167.871,0.742,120,0.795,Cr I,4384.9751,14,True,0.74512,206.4194114998948,-1.327256398981323
II,VIS,solar_harps_molecfit_corrected,4416.819,7.92,65.47,0.776,115,0.548,Ti I,4417.2734,4,True,0.7346900000000001,109.76376449991758,-1.6046506090101225
II,VIS,solar_harps_molecfit_corrected,4508.28,7.897,66.6,0.775,20,0.27,Fe I,4508.68469,2,False,0.75397,99.71181199993035,-1.6552642728614213
II,VIS,solar_harps_molecfit_corrected,4522.628,8.366,89.709,0.801,75,0.771,Ti I,4522.797,2,True,0.77409,199.61415300002753,-1.3551995368665557
II,VIS,solar_harps_molecfit_corrected,4549.466,8.079,97.358,0.801,65,0.873,Ti II,4549.6217,3,True,0.78644,254.88151099983665,-1.2516220906516797
II,VIS,solar_harps_molecfit_corrected,4583.829,7.446,92.651,0.818,30,0.598,Fe I,4583.71925,0,True,0.79529,159.6689919999944,-1.4580078243090986
II,VIS,solar_harps_molecfit_corrected,4233.162,7.617,122.616,0.869,61,0.918,Fe I,4233.60205,5,True,0.83205,191.66273950003261,-1.3441271975490552
II,VIS,solar_harps_molecfit_corrected,4351.762,,96.542,0.886,56,0.888,Cr I,4351.811,18,True,0.86051,331.56168450004463,-1.1181007981571496
II,VIS,solar_harps_molecfit_corrected,4385.377,,167.871,0.742,120,0.795,Cr I,4384.9751,14,True,0.74512,206.4194114998948,-1.327256398981323
II,VIS,solar_harps_molecfit_corrected,4416.819,,65.47,0.776,115,0.548,Ti I,4417.2734,4,True,0.7346900000000001,109.76376449991758,-1.6046506090101225
II,VIS,solar_harps_molecfit_corrected,4508.28,,66.6,0.775,20,0.27,Fe I,4508.68469,2,False,0.75397,99.71181199993035,-1.6552642728614213
II,VIS,solar_harps_molecfit_corrected,4522.628,,89.709,0.801,75,0.771,Ti I,4522.797,2,True,0.77409,199.61415300002753,-1.3551995368665557
II,VIS,solar_harps_molecfit_corrected,4549.466,,97.358,0.801,65,0.873,Ti II,4549.6217,3,True,0.78644,254.88151099983665,-1.2516220906516797
II,VIS,solar_harps_molecfit_corrected,4583.829,7.444999999999999,92.651,0.818,30,0.598,Fe I,4583.71925,0,True,0.79529,159.6689919999944,-1.4580078243090986
II,VIS,solar_harps_molecfit_corrected,4233.162,7.641,123.014,0.869,61,0.918,Fe I,4233.60205,5,True,0.83205,191.66273950003261,-1.3441271975490552
II,VIS,solar_harps_molecfit_corrected,4351.762,7.2,98.073,0.886,56,0.888,Cr I,4351.811,18,True,0.86051,331.56168450004463,-1.1181007981571496
II,VIS,solar_harps_molecfit_corrected,4385.377,8.64,169.922,0.742,120,0.795,Cr I,4384.9751,14,True,0.74512,206.4194114998948,-1.327256398981323
II,VIS,solar_harps_molecfit_corrected,4416.819,7.961,68.332,0.776,115,0.548,Ti I,4417.2734,4,True,0.7346900000000001,109.76376449991758,-1.6046506090101225
II,VIS,solar_harps_molecfit_corrected,4508.28,7.89,66.798,0.775,20,0.27,Fe I,4508.68469,2,False,0.75397,99.71181199993035,-1.6552642728614213
II,VIS,solar_harps_molecfit_corrected,4522.628,8.367,90.002,0.801,75,0.771,Ti I,4522.797,2,True,0.77409,199.61415300002753,-1.3551995368665557
II,VIS,solar_harps_molecfit_corrected,4549.466,8.063,97.343,0.801,65,0.873,Ti II,4549.6217,3,True,0.78644,254.88151099983665,-1.2516220906516797
II,VIS,solar_harps_molecfit_corrected,4583.829,7.44,91.587,0.818,30,0.598,Fe I,4583.71925,0,True,0.79529,159.6689919999944,-1.4580078243090986
II,VIS,solar_kpno_kurucz2005_corrected,4233.162,7.465,96.71,0.869,61,0.918,Fe I,4233.60205,5,True,0.83205,191.66273950003261,-1.3441271975490552
II,VIS,solar_kpno_kurucz2005_corrected,4351.762,7.062,63.349,0.886,56,0.888,Cr I,4351.811,18,True,0.86051,331.56168450004463,-1.1181007981571496
II,VIS,solar_kpno_kurucz2005_corrected,4385.377,8.357,157.928,0.742,120,0.795,Cr I,4384.9751,14,True,0.74512,206.4194114998948,-1.327256398981323
II,VIS,solar_kpno_kurucz2005_corrected,4416.819,7.55,61.048,0.776,115,0.548,Ti I,4417.2734,4,True,0.7346900000000001,109.76376449991758,-1.6046506090101225
II,VIS,solar_kpno_kurucz2005_corrected,4508.28,7.591,15.388,0.775,20,0.27,Fe I,4508.68469,2,False,0.75397,99.71181199993035,-1.6552642728614213
II,VIS,solar_kpno_kurucz2005_corrected,4522.628,7.995,72.767,0.801,75,0.771,Ti I,4522.797,2,True,0.77409,199.61415300002753,-1.3551995368665557
II,VIS,solar_kpno_kurucz2005_corrected,4549.466,7.69,46.413,0.801,65,0.873,Ti II,4549.6217,3,True,0.78644,254.88151099983665,-1.2516220906516797
II,VIS,solar_kpno_kurucz2005_corrected,4583.829,7.186,40.236,0.818,30,0.598,Fe I,4583.71925,0,True,0.79529,159.6689919999944,-1.4580078243090986
II,VIS,solar_kpno_kurucz2005_corrected,4233.162,7.463,96.71,0.869,61,0.918,Fe I,4233.60205,5,True,0.83205,191.66273950003261,-1.3441271975490552
II,VIS,solar_kpno_kurucz2005_corrected,4351.762,,63.349,0.886,56,0.888,Cr I,4351.811,18,True,0.86051,331.56168450004463,-1.1181007981571496
II,VIS,solar_kpno_kurucz2005_corrected,4385.377,,157.928,0.742,120,0.795,Cr I,4384.9751,14,True,0.74512,206.4194114998948,-1.327256398981323
II,VIS,solar_kpno_kurucz2005_corrected,4416.819,,61.048,0.776,115,0.548,Ti I,4417.2734,4,True,0.7346900000000001,109.76376449991758,-1.6046506090101225
