element,ion,band,holding,tier,route,treatment,line_set,A,n_lines,perline_reachable,resolution,perline_artifact
Fe,II,VIS,solar_harps_molecfit_corrected,DEEPGRADED,SYNTH,1D-LTE,,7.909,8,True,resolved,FeII_4200_6908_harps_solar_harps_molecfit_corrected_SYNTH_DEEPGRADED_1D-LTE_lines.csv
Fe,II,VIS,solar_harps_molecfit_corrected,DEEPGRADED,SYNTH,ENGINE-A,,7.531,2,True,resolved,FeII_4200_6908_harps_solar_harps_molecfit_corrected_SYNTH_DEEPGRADED_ENGINE-A_lines.csv
Fe,II,VIS,solar_harps_molecfit_corrected,DEEPGRADED,SYNTH,synth-1D-LTE-gerber,,7.925,8,True,resolved,FeII_4200_6908_harps_solar_harps_molecfit_corrected_SYNTH_DEEPGRADED_synth-1D-LTE-gerber_lines.csv
Fe,II,VIS,solar_kpno_kurucz2005_corrected,DEEPGRADED,SYNTH,1D-LTE,,7.571,8,True,resolved,FeII_4200_6910_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_1D-LTE_lines.csv
Fe,II,VIS,solar_kpno_kurucz2005_corrected,DEEPGRADED,SYNTH,ENGINE-A,,7.324,2,True,resolved,FeII_4200_6910_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_ENGINE-A_lines.csv
Fe,II,VIS,solar_kpno_kurucz2005_corrected,DEEPGRADED,SYNTH,synth-1D-LTE-gerber,,7.567,8,True,resolved,FeII_4200_6910_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_synth-1D-LTE-gerber_lines.csv
Fe,II,VIS,solar_kpno_molecfit_corrected,DEEPGRADED,SYNTH,1D-LTE,,7.56,8,True,resolved,FeII_4200_6910_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_DEEPGRADED_1D-LTE_lines.csv
Fe,II,VIS,solar_kpno_molecfit_corrected,DEEPGRADED,SYNTH,ENGINE-A,,7.328,2,True,resolved,FeII_4200_6910_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_DEEPGRADED_ENGINE-A_lines.csv
Fe,II,VIS,solar_kpno_molecfit_corrected,DEEPGRADED,SYNTH,synth-1D-LTE-gerber,,7.556,8,True,resolved,FeII_4200_6910_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_DEEPGRADED_synth-1D-LTE-gerber_lines.csv
Fe,II,near-UV,solar_kpno_kurucz2005_corrected,DEEPGRADED,SYNTH,1D-LTE,,7.617,12,True,resolved,FeII_3000_3780_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_1D-LTE_lines.csv
Fe,II,near-UV,solar_kpno_kurucz2005_corrected,DEEPGRADED,SYNTH,ENGINE-A,,7.635,7,True,resolved,FeII_3000_3780_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_ENGINE-A_lines.csv
Fe,II,near-UV,solar_kpno_molecfit_corrected,DEEPGRADED,SYNTH,1D-LTE,,7.402,12,True,resolved,FeII_3000_3780_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_DEEPGRADED_1D-LTE_lines.csv
Fe,II,near-UV,solar_kpno_molecfit_corrected,DEEPGRADED,SYNTH,ENGINE-A,,7.404,7,True,resolved,FeII_3000_3780_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_DEEPGRADED_ENGINE-A_lines.csv
Fe,I,H,solar_crires_plus_h_rya1094,GRADED,SYNTH,1D-LTE,,7.552,20,True,resolved,FeI_15009_17491_crires_plus_solar_crires_plus_h_rya1094_SYNTH_GRADED_1D-LTE_lines.csv
Fe,I,H,solar_crires_plus_h_rya1094,GRADED,SYNTH,ENGINE-B-NLTE,,7.549,9,True,resolved,FeI_15009_17491_crires_plus_solar_crires_plus_h_rya1094_SYNTH_GRADED_ENGINE-B-NLTE_lines.csv
Fe,I,NIR,solar_crires_plus_y_wide_rya1054,GRADED,SYNTH,1D-LTE,,7.551,5,True,resolved,FeI_9801_10794_crires_plus_solar_crires_plus_y_wide_rya1054_SYNTH_GRADED_1D-LTE_lines.csv
Fe,I,NIR,solar_crires_plus_y_wide_rya1054,GRADED,SYNTH,ENGINE-A,,7.492,2,True,resolved,FeI_9801_10794_crires_plus_solar_crires_plus_y_wide_rya1054_SYNTH_GRADED_ENGINE-A_lines.csv
Fe,I,NIR,solar_iag,GRADED,SYNTH,1D-LTE,,7.546,25,False,"n_lines MISMATCH: product says 25, artifact(s) have 26",
Fe,I,NIR,solar_iag,GRADED,SYNTH,ENGINE-A,,7.599,6,False,"n_lines MISMATCH: product says 6, artifact(s) have 7",
Fe,I,NIR,solar_kpno_molecfit_corrected,GRADED,SYNTH,1D-LTE,,7.621,26,False,"n_lines MISMATCH: product says 26, artifact(s) have 23",
Fe,I,NIR,solar_kpno_molecfit_corrected,GRADED,SYNTH,ENGINE-A,,7.503,7,False,"n_lines MISMATCH: product says 7, artifact(s) have 6",
Fe,I,VIS,solar_harps_molecfit_corrected,ALL,SYNTH,ENGINE-A-3DNLTE,asplund,7.4771,21,False,no artifact on disk (band_products is gitignored; only force-added files are present),
