# host=Mac machine=arm64 python=3.12.13 numpy=2.2.6 ncalls=2 nlines=473
call_seq,wave,element,normal_abund
0,480.064900,Fe 1,7.75
0,492.430100,Fe 1,7.8769999999999998
0,496.257200,Fe 1,7.4859999999999998
0,496.492700,Cr 1,8.1549999999999994
0,496.991700,Fe 1,7.3659999999999997
0,497.764800,Fe 1,7.6580000000000004
0,498.460500,Fe 1,7.5519999999999996
0,498.462900,Fe 1,7.6109999999999998
0,498.598300,Fe 1,7.593
0,499.126800,Fe 1,7.6929999999999996
0,500.964500,Ti 1,7.2809999999999997
0,503.191400,Fe 1,7.6079999999999997
0,507.626400,Fe 1,7.8070000000000004
0,510.403000,Fe 1,7.8780000000000001
0,521.413100,Cr 1,5.7839999999999998
0,522.239500,Fe 1,7.601
0,522.552600,Fe 1,7.5
0,524.249100,Fe 1,7.4130000000000003
0,525.765500,Fe 1,7.75
0,526.726900,Fe 1,7.548
0,528.442500,Fe 1,7.758
0,529.877600,Fe 1,7.609
0,530.230000,Fe 1,7.2069999999999999
0,531.752500,Fe 1,7.6390000000000002
0,532.417900,Fe 1,7.1260000000000003
0,532.998900,Fe 1,7.7309999999999999
0,533.992900,Fe 1,7.1989999999999998
0,539.233100,Ni 1,8.7870000000000008
0,539.827900,Fe 1,7.4349999999999996
0,541.278400,Fe 1,7.4359999999999999
0,543.294800,Fe 1,7.7729999999999997
0,544.691600,Fe 1,7.1180000000000003
0,546.639600,Fe 1,7.4290000000000003
0,547.270900,Fe 1,7.5469999999999997
0,547.390000,Fe 1,7.4480000000000004
0,548.124300,Fe 1,8.0030000000000001
0,548.309900,Fe 1,7.5099999999999998
0,549.014800,Ti 1,5.0599999999999996
0,549.183200,Fe 1,7.4749999999999996
0,550.677900,Fe 1,7.2830000000000004
0,558.675600,Fe 1,7.1239999999999997
0,561.564400,Fe 1,7.0880000000000001
0,561.863200,Fe 1,7.4509999999999996
0,562.454200,Fe 1,7.2969999999999997
0,564.856500,Ti 1,6.2850000000000001
0,566.215000,Ti 1,6.9119999999999999
0,566.994300,Ni 1,7.2969999999999997
0,568.946000,Ti 1,5.0739999999999998
0,570.154400,Fe 1,7.5090000000000003
0,571.213100,Fe 1,7.5190000000000001
