band,holding,tier,route,treatment,grade,A,n_lines,sigma_stat,sigma_syst,sigma_reported,xi_state
VIS,solar_harps_molecfit_corrected,DEEPGRADED,SYNTH,1D-LTE,Deep Grade,7.966,9,0.2759,0.0697,0.293375,MEASURED
VIS,solar_harps_molecfit_corrected,DEEPGRADED,SYNTH,ENGINE-A,Deep Grade,7.617,3,0.8271,0.0697,0.831338,MEASURED
VIS,solar_kpno_kurucz2005_corrected,DEEPGRADED,SYNTH,1D-LTE,Deep Grade,7.592,9,0.3012,0.0697,0.316331,MEASURED
VIS,solar_kpno_kurucz2005_corrected,DEEPGRADED,SYNTH,ENGINE-A,Deep Grade,7.466,3,0.9146,0.0697,0.919288,MEASURED
VIS,solar_kpno_molecfit_corrected,DEEPGRADED,SYNTH,1D-LTE,Deep Grade,7.569,9,0.3019,0.0697,0.318958,MEASURED
VIS,solar_kpno_molecfit_corrected,DEEPGRADED,SYNTH,ENGINE-A,Deep Grade,7.46,3,0.9177,0.0697,0.921182,MEASURED
near-UV,solar_kpno_kurucz2005_corrected,DEEPGRADED,SYNTH,1D-LTE,Deep Grade,7.957,12,0.096,0.13,0.162195,MEASURED
near-UV,solar_kpno_kurucz2005_corrected,DEEPGRADED,SYNTH,ENGINE-A,Deep Grade,7.975,7,0.1329,0.13,0.186479,MEASURED
near-UV,solar_kpno_molecfit_corrected,DEEPGRADED,SYNTH,1D-LTE,Deep Grade,7.697,12,0.0986,0.13,0.164095,MEASURED
near-UV,solar_kpno_molecfit_corrected,DEEPGRADED,SYNTH,ENGINE-A,Deep Grade,7.738,7,0.121,0.13,0.17798,MEASURED
