wave_air_A,engine_b,lower,upper,band,log_gf,ep_eV,predicted_depth,instruments
9203.1649,NO-VALD-LEVELS,,,red-optical,0.199,5.0638,0.092,kpno_solar_atlas|iag_fts_solar_atlas
9210.024,AVAILABLE,UNIQUE,UNIQUE,red-optical,-2.404,2.845,0.39,kpno_solar_atlas|iag_fts_solar_atlas
9212.981,AVAILABLE,UNIQUE,UNIQUE,red-optical,-1.063,5.3342,0.114,kpno_solar_atlas|iag_fts_solar_atlas
9214.4993,AVAILABLE,UNIQUE,UNIQUE,red-optical,-0.743,4.913,0.277,kpno_solar_atlas|iag_fts_solar_atlas
9214.9758,AVAILABLE,UNIQUE,UNIQUE,red-optical,-1.425,5.3303,0.06,kpno_solar_atlas|iag_fts_solar_atlas
9217.5638,AVAILABLE,UNIQUE,UNIQUE,red-optical,-0.743,4.9913,0.259,kpno_solar_atlas|iag_fts_solar_atlas
9233.1905,AVAILABLE,UNIQUE,UNIQUE,red-optical,-1.293,5.3204,0.079,kpno_solar_atlas|iag_fts_solar_atlas
9242.3667,AVAILABLE,UNIQUE,UNIQUE,red-optical,-1.564,4.988,0.086,kpno_solar_atlas|iag_fts_solar_atlas
9246.5571,AVAILABLE,UNIQUE,UNIQUE,red-optical,-2.938,2.5881,0.342,kpno_solar_atlas|iag_fts_solar_atlas
9258.2671,AVAILABLE,UNIQUE,UNIQUE,red-optical,-0.725,4.6076,0.344,kpno_solar_atlas|iag_fts_solar_atlas
9259.0054,AVAILABLE,UNIQUE,UNIQUE,red-optical,-0.749,4.913,0.275,kpno_solar_atlas|iag_fts_solar_atlas
9289.448,AVAILABLE,UNIQUE,UNIQUE,red-optical,-1.193,5.0638,0.141,kpno_solar_atlas|iag_fts_solar_atlas
9294.5341,AVAILABLE,UNIQUE,UNIQUE,red-optical,-0.941,5.0331,0.204,kpno_solar_atlas|iag_fts_solar_atlas
9297.1505,AVAILABLE,UNIQUE,UNIQUE,red-optical,-1.9,4.7331,0.075,kpno_solar_atlas|iag_fts_solar_atlas
9308.0175,AVAILABLE,UNIQUE,UNIQUE,red-optical,-1.272,5.0331,0.13,kpno_solar_atlas|iag_fts_solar_atlas
9311.514,AVAILABLE,UNIQUE,UNIQUE,red-optical,-1.43,5.0856,0.092,kpno_solar_atlas|iag_fts_solar_atlas
9318.1786,AVAILABLE,UNIQUE,UNIQUE,red-optical,-1.085,4.9556,0.19,kpno_solar_atlas|iag_fts_solar_atlas
9334.0562,AVAILABLE,UNIQUE,UNIQUE,red-optical,-1.131,4.9913,0.169,kpno_solar_atlas|iag_fts_solar_atlas
9343.4158,AVAILABLE,UNIQUE,UNIQUE,red-optical,-1.516,5.0331,0.086,kpno_solar_atlas|iag_fts_solar_atlas
9350.4148,AVAILABLE,UNIQUE,UNIQUE,red-optical,-0.84,4.5485,0.334,kpno_solar_atlas|iag_fts_solar_atlas
9354.6285,REFUSED,UNIQUE,AMBIGUOUS,red-optical,-1.203,5.0856,0.134,kpno_solar_atlas|iag_fts_solar_atlas
9358.3887,AVAILABLE,UNIQUE,UNIQUE,red-optical,-3.735,3.0469,0.057,kpno_solar_atlas|iag_fts_solar_atlas
9359.4102,AVAILABLE,UNIQUE,UNIQUE,red-optical,-2.861,2.5592,0.363,kpno_solar_atlas|iag_fts_solar_atlas
9362.3597,AVAILABLE,UNIQUE,UNIQUE,red-optical,-3.152,2.2786,0.366,kpno_solar_atlas|iag_fts_solar_atlas
9372.8955,AVAILABLE,UNIQUE,UNIQUE,red-optical,-2.614,2.5592,0.406,kpno_solar_atlas|iag_fts_solar_atlas
9375.122,AVAILABLE,UNIQUE,UNIQUE,red-optical,-3.426,2.9904,0.116,kpno_solar_atlas|iag_fts_solar_atlas
9382.9329,AVAILABLE,UNIQUE,UNIQUE,red-optical,-1.591,4.985,0.084,kpno_solar_atlas|iag_fts_solar_atlas
9387.5144,REFUSED,UNIQUE,ABSENT,red-optical,-0.876,5.9471,0.052,kpno_solar_atlas|iag_fts_solar_atlas
9388.1835,AVAILABLE,UNIQUE,UNIQUE,red-optical,-1.187,4.988,0.159,kpno_solar_atlas|iag_fts_solar_atlas
9394.675,AVAILABLE,UNIQUE,UNIQUE,red-optical,-1.058,4.9556,0.196,kpno_solar_atlas|iag_fts_solar_atlas
9401.1127,AVAILABLE,UNIQUE,UNIQUE,red-optical,-0.415,5.0331,0.313,kpno_solar_atlas|iag_fts_solar_atlas
9404.3145,NO-VALD-LEVELS,,,red-optical,-1.629,4.988,0.076,kpno_solar_atlas|iag_fts_solar_atlas
9409.5524,AVAILABLE,UNIQUE,UNIQUE,red-optical,-1.642,5.0331,0.068,kpno_solar_atlas|iag_fts_solar_atlas
9410.1591,AVAILABLE,UNIQUE,UNIQUE,red-optical,-1.018,5.0995,0.171,kpno_solar_atlas|iag_fts_solar_atlas
9414.0421,AVAILABLE,UNIQUE,UNIQUE,red-optical,-0.323,5.0638,0.324,kpno_solar_atlas|iag_fts_solar_atlas
9415.0634,AVAILABLE,UNIQUE,UNIQUE,red-optical,-1.595,5.0638,0.07,kpno_solar_atlas|iag_fts_solar_atlas
9437.7933,AVAILABLE,UNIQUE,UNIQUE,red-optical,-1.405,4.6076,0.2,kpno_solar_atlas|iag_fts_solar_atlas
