wave_A,ep_eV,loggf,term_low,term_up,level_low,level_up,label_low,label_up,flag_low,flag_up,reason_low,reason_up,nlte
4200.101,3.079,-1.035,a3G,3F*,10,0,a3G,none,c,x,label,label-absent->energy-route-disabled,False
4201.438,3.648,-4.127,y5P*,e7F,19,116,y5P*,e7F,c,c,label,label,True
4202.521,2.544,-4.746,a5G,z5I*,4,53,a5G,z5I*,c,c,label,label,True
4203.041,3.0,-2.794,a3H,u5F*,8,78,a3H,u5F*,c,c,label,label,True
4203.238,2.987,-4.187,a3P,u5F*,7,78,a3P,u5F*,c,c,label,label,True
4203.242,2.545,-2.299,a5G,z5I*,4,53,a5G,z5I*,c,c,label,label,True
4203.29,2.545,-3.15,a5G,z5I*,4,53,a5G,z5I*,c,c,label,label,True
4203.589,2.544,-1.12,a5G,y5G*,4,54,a5G,y5G*,c,c,label,label,True
4204.204,2.544,-2.831,a5G,y5G*,4,54,a5G,y5G*,c,c,label,label,True
4205.062,3.648,-1.706,y5P*,h7D,19,113,y5P*,h7D,c,c,label,label,True
4208.52,2.967,-2.757,a3H,x5H*,8,77,a3H,x5H*,c,c,label,label,True
4210.759,3.0,-1.785,a3H,x5H*,8,77,a3H,x5H*,c,c,label,label,True
4211.366,3.087,-1.203,a3G,3F*,10,0,a3G,none,c,x,label,label-absent->energy-route-disabled,False
4211.527,2.983,-1.68,a3H,x5H*,8,77,a3H,x5H*,c,c,label,label,True
4211.901,2.545,-5.08,a5G,w5P*,4,52,a5G,w5P*,c,c,label,label,True
4211.948,3.385,-3.854,z7D*,h5S,15,101,z7D*,h5S,c,c,label,label,True
4212.529,3.011,-0.959,b5D,u5F*,9,78,b5D,u5F*,c,c,label,label,True
4213.175,3.079,-0.72,a3G,x3G*,10,83,a3G,x3G*,c,c,label,label,True
4213.351,3.375,-2.379,b3P,w3F*,14,100,b3P,w3F*,c,c,label,label,True
4213.66,2.544,-2.69,a5G,z5I*,4,53,a5G,z5I*,c,c,label,label,True
4214.145,2.545,-3.452,a5G,z5I*,4,53,a5G,z5I*,c,c,label,label,True
4214.191,2.545,-4.826,a5G,z5I*,4,53,a5G,z5I*,c,c,label,label,True
4214.44,2.987,-2.695,a3P,v5D*,7,76,a3P,v5D*,c,c,label,label,True
4215.735,3.369,-2.65,b3P,w3F*,14,100,b3P,w3F*,c,c,label,label,True
4216.248,2.967,-4.057,a3H,v5F*,8,72,a3H,v5F*,c,c,label,label,True
4216.358,3.013,-1.998,b5D,u5F*,9,78,b5D,u5F*,c,c,label,label,True
4217.164,2.967,-4.338,a3H,v5F*,8,72,a3H,v5F*,c,c,label,label,True
4217.608,3.011,-0.765,b5D,u5F*,9,78,b5D,u5F*,c,c,label,label,True
4217.984,3.698,-3.239,y5P*,e7F,19,116,y5P*,e7F,c,c,label,label,True
4218.268,3.668,-2.763,y5P*,h7D,19,113,y5P*,h7D,c,c,label,label,True
4218.668,3.435,-2.736,b3G,z1H*,16,103,b3G,z1H*,c,c,label,label,True
4219.032,3.092,-2.666,a3F,3F*,11,0,a3F,none,c,x,label,label-absent->energy-route-disabled,False
4219.105,3.668,-2.794,y5P*,e7F,19,116,y5P*,e7F,c,c,label,label,True
4219.471,2.987,-3.495,a3P,v5D*,7,76,a3P,v5D*,c,c,label,label,True
4219.609,3.011,-2.159,b5D,u5F*,9,78,b5D,u5F*,c,c,label,label,True
4220.127,3.422,-2.327,b3G,w3P*,16,102,b3G,w3P*,c,c,label,label,True
4220.447,2.967,-1.564,a3H,x5H*,8,77,a3H,x5H*,c,c,label,label,True
4221.935,2.987,-3.641,a3P,v5D*,7,76,a3P,v5D*,c,c,label,label,True
4222.728,3.013,-0.98,b5D,u5F*,9,78,b5D,u5F*,c,c,label,label,True
4223.452,3.013,-2.19,b5D,u5F*,9,78,b5D,u5F*,c,c,label,label,True
4224.078,3.375,-2.837,b3P,w3F*,14,100,b3P,w3F*,c,c,label,label,True
4224.306,2.544,-5.183,a5G,w5P*,4,52,a5G,w5P*,c,c,label,label,True
4224.51,3.087,-1.688,,,0,0,none,none,x,x,no-label->energy-route-disabled,no-label->energy-route-disabled,False
4226.555,3.395,-3.988,z7D*,h5S,15,101,z7D*,h5S,c,c,label,label,True
4226.75,2.967,-1.139,a3H,z3I*,8,73,a3H,z3I*,c,c,label,label,True
4230.28,2.983,-1.75,a3H,x5H*,8,77,a3H,x5H*,c,c,label,label,True
4230.471,3.011,-1.16,b5D,u5F*,9,78,b5D,u5F*,c,c,label,label,True
4230.545,3.668,-2.92,y5P*,e7F,19,116,y5P*,e7F,c,c,label,label,True
4231.651,3.079,-3.129,a3G,x3P*,10,81,a3G,x3P*,c,c,label,label,True
4232.851,3.013,-1.62,b5D,u5F*,9,78,b5D,u5F*,c,c,label,label,True
4232.961,3.826,-1.618,z5F*,e5F,22,148,z5F*,e5F,c,c,label,label,True
4233.581,3.013,-3.864,b5D,u5F*,9,78,b5D,u5F*,c,c,label,label,True
4234.219,3.668,-1.85,y5P*,h7D,19,113,y5P*,h7D,c,c,label,label,True
4234.516,3.122,-1.19,a3F,x3G*,11,83,a3F,x3G*,c,c,label,label,True
