wave_A,ep_eV,loggf,term_low,term_up,level_low,level_up,label_low,label_up,flag_low,flag_up,reason_low,reason_up,nlte
4201.143,6.285,-3.433,d2F,x4P*,182,222,d2F,x4P*,c,c,label,label,True
4204.826,5.67,-3.803,c2D,4F*,176,0,c2D,none,c,x,label,label-absent->energy-route-disabled,False
4207.363,3.827,-2.731,b4P,z4D*,157,186,b4P,z4D*,c,c,label,label,True
4209.094,5.319,-2.379,b2D,z2P*,174,200,b2D,z2P*,c,c,label,label,True
4209.601,6.285,-3.236,d2F,x2F*,182,218,d2F,x2F*,c,c,label,label,True
4209.807,5.67,-2.838,c2D,4F*,176,0,c2D,none,c,x,label,label-absent->energy-route-disabled,False
4211.08,5.33,-2.976,b2D,y4P*,174,199,b2D,y4P*,c,c,label,label,True
4215.738,3.104,-3.168,b4D,z4P*,154,180,b4D,z4P*,c,c,label,label,True
4217.056,3.105,-2.821,b4D,z4P*,154,180,b4D,z4P*,c,c,label,label,True
4221.996,5.662,-2.247,c2D,2D*,176,0,c2D,none,c,x,label,label-absent->energy-route-disabled,False
4224.087,3.858,-3.475,a4F,z4D*,158,186,a4F,z4D*,c,c,label,label,True
4224.86,5.33,-1.254,b2D,z2P*,174,200,b2D,z2P*,c,c,label,label,True
4227.74,5.011,-3.958,a2S,y4D*,173,193,a2S,y4D*,c,c,label,label,True
4229.812,3.827,-3.44,b4P,z4D*,157,186,b4P,z4D*,c,c,label,label,True
4232.435,4.988,-4.729,b2I,z4H*,172,192,b2I,z4H*,c,c,label,label,True
4232.938,5.67,-3.503,c2D,2D*,176,0,c2D,none,c,x,label,label-absent->energy-route-disabled,False
4233.243,3.864,-1.94,a4F,z4D*,158,186,a4F,z4D*,c,c,label,label,True
4236.379,3.104,-3.606,b4D,z6P*,154,179,b4D,z6P*,c,c,label,label,True
4238.725,3.105,-4.301,b4D,z6P*,154,179,b4D,z6P*,c,c,label,label,True
4242.364,3.871,-1.17,a4F,z4D*,158,186,a4F,z4D*,c,c,label,label,True
4246.409,3.854,-3.239,a4F,z4D*,158,186,a4F,z4D*,c,c,label,label,True
4246.932,8.168,-1.897,d4P,y4P*,198,199,d4P,y4P*,c,c,label,label,True
4252.632,3.858,-1.81,a4F,z4D*,158,186,a4F,z4D*,c,c,label,label,True
4254.521,5.871,-1.294,d2D,y2F*,178,215,d2D,y2F*,c,c,label,label,True
4254.565,8.184,-1.888,d4P,y4P*,198,199,d4P,y4P*,c,c,label,label,True
4256.108,6.487,-1.52,d2G,w2G*,184,225,d2G,w2G*,c,c,label,label,True
4257.415,8.353,-1.582,y4G*,e4F,202,254,y4G*,e4F,c,c,label,label,True
4261.847,3.104,-3.518,b4D,z6P*,154,179,b4D,z6P*,c,c,label,label,True
4261.913,3.864,-1.34,a4F,z4D*,158,186,a4F,z4D*,c,c,label,label,True
4261.949,5.319,-3.55,b2D,y4P*,174,199,b2D,y4P*,c,c,label,label,True
4263.71,6.282,-3.091,d2F,x2F*,182,218,d2F,x2F*,c,c,label,label,True
4264.222,3.105,-4.961,b4D,z6P*,154,179,b4D,z6P*,c,c,label,label,True
4266.18,3.887,-4.28,a2D,z4D*,159,186,a2D,z4D*,c,c,label,label,True
4268.883,6.484,-1.753,d2G,w2G*,184,225,d2G,w2G*,c,c,label,label,True
4269.277,3.854,-2.02,a4F,z4D*,158,186,a4F,z4D*,c,c,label,label,True
4271.866,8.363,-1.608,y4F*,e4F,201,254,y4F*,e4F,c,c,label,label,True
4274.715,5.011,-4.041,a2S,y4D*,173,193,a2S,y4D*,c,c,label,label,True
4275.567,3.858,-1.52,a4F,z4D*,158,186,a4F,z4D*,c,c,label,label,True
4277.314,8.351,-1.839,y4G*,e4F,202,254,y4G*,e4F,c,c,label,label,True
4278.114,5.33,-2.549,b2D,y4P*,174,199,b2D,y4P*,c,c,label,label,True
4278.967,3.104,-5.244,b4D,z6P*,154,179,b4D,z6P*,c,c,label,label,True
4280.325,3.105,-4.372,b4D,z6P*,154,179,b4D,z6P*,c,c,label,label,True
4281.049,3.105,-4.005,b4D,z6P*,154,179,b4D,z6P*,c,c,label,label,True
4284.188,3.854,-1.67,a4F,z4D*,158,186,a4F,z4D*,c,c,label,label,True
4295.299,3.887,-4.471,a2D,z4D*,159,186,a2D,z4D*,c,c,label,label,True
4296.198,5.33,-4.389,b2D,y4P*,174,199,b2D,y4P*,c,c,label,label,True
4299.864,7.773,-1.5,e2G,v2G*,191,238,e2G,v2G*,c,c,label,label,True
4303.562,5.871,-2.668,d2D,y2F*,178,215,d2D,y2F*,c,c,label,label,True
4306.259,8.356,-1.81,y4F*,e4F,201,254,y4F*,e4F,c,c,label,label,True
4306.916,5.874,-1.602,d2D,y2F*,178,215,d2D,y2F*,c,c,label,label,True
4309.791,8.215,-1.468,d4P,y4P*,198,199,d4P,y4P*,c,c,label,label,True
4314.986,8.35,-1.936,y4G*,e4F,202,254,y4G*,e4F,c,c,label,label,True
4315.53,8.215,-1.977,d4P,y4P*,198,199,d4P,y4P*,c,c,label,label,True
4316.897,8.273,-2.069,y4P*,f4D,199,251,y4P*,f4D,c,c,label,label,True
4318.697,3.887,-3.092,a2D,z4D*,159,186,a2D,z4D*,c,c,label,label,True
4325.405,5.67,-3.747,c2D,y4H*,176,209,c2D,y4H*,c,c,label,label,True
4328.84,3.909,-4.717,a2D,z4D*,159,186,a2D,z4D*,c,c,label,label,True
4330.485,8.273,-2.005,y4P*,f4D,199,251,y4P*,f4D,c,c,label,label,True
4332.925,5.871,-3.022,d2D,x4G*,178,214,d2D,x4G*,c,c,label,label,True
4332.968,5.493,-3.45,b2S,z2D*,175,203,b2S,z2D*,c,c,label,label,True
4341.072,5.67,-1.645,c2D,z2F*,176,208,c2D,z2F*,c,c,label,label,True
4342.548,8.215,-2.164,y4P*,e4P,199,249,y4P*,e4P,c,c,label,label,True
4349.997,8.227,-2.066,y4P*,e4P,199,249,y4P*,e4P,c,c,label,label,True
4352.607,3.909,-3.377,a2D,z4D*,159,186,a2D,z4D*,c,c,label,label,True
4357.143,5.874,-2.358,d2D,x4G*,178,214,d2D,x4G*,c,c,label,label,True
4362.924,5.662,-1.794,c2D,z2F*,176,208,c2D,z2F*,c,c,label,label,True
4365.637,8.227,-2.208,y4P*,e4P,199,249,y4P*,e4P,c,c,label,label,True
4368.107,3.909,-3.103,a2D,z4D*,159,186,a2D,z4D*,c,c,label,label,True
