band,lo_A,hi_A,product,n,min,median,pct_below_0.5,pct_below_0.95
O2 B-band,6867.0,6884.0,kp1984,1981,-0.0065,0.9132,15.80,71.48
O2 B-band,6867.0,6884.0,kurucz2005,1981,0.7644,0.9935,0.00,7.52
O2 B-band,6867.0,6884.0,iag,2386,0.7602,0.9951,0.00,6.62
H2O,7160.0,7340.0,kp1984,18863,0.0133,0.9680,2.77,36.82
H2O,7160.0,7340.0,kurucz2005,18863,0.3775,0.9915,0.24,11.41
H2O,7160.0,7340.0,iag,22727,0.3694,0.9930,0.18,10.59
O2 A-band,7594.0,7685.0,kp1984,10966,-0.0068,0.7440,32.83,77.92
O2 A-band,7594.0,7685.0,kurucz2005,10966,0.1662,0.9959,0.28,8.79
O2 A-band,7594.0,7685.0,iag,10347,0.3575,0.9960,0.18,6.82
H2O,8100.0,8400.0,kp1984,31007,0.0008,0.9725,3.58,31.60
H2O,8100.0,8400.0,kurucz2005,31008,0.1930,0.9896,0.29,7.92
H2O,8100.0,8400.0,iag,29257,0.1923,0.9919,0.29,6.78
H2O,9280.0,9600.0,kp1984,25261,-0.0016,0.7498,29.12,95.24
H2O,9280.0,9600.0,kurucz2005,25260,0.4685,0.9912,0.02,13.89
H2O,9280.0,9600.0,iag,23834,0.5468,0.9945,0.00,9.51
H2O,11120.0,11560.0,kp1984,29646,-0.0041,0.6988,33.86,98.36
H2O,11120.0,11560.0,kurucz2005,0,,,,
H2O,11120.0,11560.0,iag,0,,,,
clean control,6600.0,6650.0,kp1984,6274,0.4194,0.9931,0.14,6.73
clean control,6600.0,6650.0,kurucz2005,6274,0.4252,0.9951,0.14,6.71
clean control,6600.0,6650.0,iag,7559,0.4151,0.9900,0.15,7.17
clean control,6690.0,6702.0,kp1984,1474,0.7456,0.9934,0.00,5.36
clean control,6690.0,6702.0,kurucz2005,1474,0.7518,0.9962,0.00,5.16
clean control,6690.0,6702.0,iag,1776,0.7428,0.9884,0.00,5.74
clean control,5160.0,5200.0,kp1984,6258,0.0682,0.9022,12.03,71.48
clean control,5160.0,5200.0,kurucz2005,6259,0.0707,0.9213,11.62,61.89
clean control,5160.0,5200.0,iag,9892,0.0648,0.8976,12.16,73.00
