canon_index,to_tier,log_gf,sigma_dex,loggf_reference,lab_source_tag,nist_grade,gf_source_doi,adjudication_status,delta,from_tier,kept
52459,LAB,-1.33,0.03,PRIMARY LAB Belmonte2017,BEL17,,10.3847/1538-4357/aa8cd3,lab_rya945,-0.039000000000000146,VALD3,True
52474,LAB,-1.53,0.06,PRIMARY LAB DenHartog2014,DH14,,10.1088/0067-0049/215/2/23,lab_rya945,0.014999999999999902,VALD3,True
52487,LAB,-1.13,0.04,PRIMARY LAB DenHartog2014,DH14,,10.1088/0067-0049/215/2/23,lab_rya945,-0.20799999999999985,VALD3,True
52540,LAB,-1.84,0.07,PRIMARY LAB Belmonte2017,BEL17,,10.3847/1538-4357/aa8cd3,lab_rya945,0.09699999999999998,VALD3,True
52542,LAB,-1.17,0.04,PRIMARY LAB Belmonte2017,BEL17,,10.3847/1538-4357/aa8cd3,lab_rya945,-0.010999999999999899,VALD3,True
52545,LAB,-1.5,0.08,PRIMARY LAB DenHartog2014,DH14,,10.1088/0067-0049/215/2/23,lab_rya945,0.052999999999999936,VALD3,True
52558,LAB,-1.01,0.02,PRIMARY LAB Belmonte2017,BEL17,,10.3847/1538-4357/aa8cd3,lab_rya945,0.06400000000000006,VALD3,True
52601,LAB,-1.044,0.03,PRIMARY LAB Belmonte2017,BEL17,,10.3847/1538-4357/aa8cd3,lab_rya945,0.052999999999999936,VALD3,True
52657,LAB,-0.98,0.03,PRIMARY LAB Belmonte2017,BEL17,,10.3847/1538-4357/aa8cd3,lab_rya945,0.052000000000000046,VALD3,True
52673,LAB,-1.82,0.03,PRIMARY LAB Belmonte2017,BEL17,,10.3847/1538-4357/aa8cd3,lab_rya945,-0.04200000000000004,VALD3,True
52697,LAB,-0.21,0.02,PRIMARY LAB Belmonte2017,BEL17,,10.3847/1538-4357/aa8cd3,lab_rya945,0.031,VALD3,True
52960,LAB,-1.04,0.05,PRIMARY LAB Ruffoni2014,RU14,,10.1093/mnras/stu780,lab_rya945,-0.12,VALD3,True
