arm,instrument,verdict,n,of_candidates
harps_molecfit_corrected,harps,OVER-PHYSICAL-WIDTH,1319,2359
harps_molecfit_corrected,harps,FEATURE-VERIFICATION,425,2359
harps_molecfit_corrected,harps,REW-SATURATED,303,2359
harps_molecfit_corrected,harps,IN-AGGREGATE,257,2359
harps_molecfit_corrected,harps,CONTINUUM-UNPHYSICAL,38,2359
harps_molecfit_corrected,harps,BAND-POLICY,17,2359
kpno_solar_atlas,kpno_solar_atlas,OVER-PHYSICAL-WIDTH,1192,2359
kpno_solar_atlas,kpno_solar_atlas,FEATURE-VERIFICATION,530,2359
kpno_solar_atlas,kpno_solar_atlas,IN-AGGREGATE,318,2359
kpno_solar_atlas,kpno_solar_atlas,REW-SATURATED,302,2359
kpno_solar_atlas,kpno_solar_atlas,BAND-POLICY,17,2359
